"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Betula","Brassicaceae","Cannabaceae","Carya","Caryophyllaceae","Celtis","Cerealia","Corylus","Cupressaceae","Cyperaceae","Dalea","Ephedra","Ericaceae","Fabaceae.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Herbs.undiff.","Impatiens","Indeterminable","Iva.annua.type","Iva.undiff.","Iva.xanthifolia.type","Juglans.cinerea","Juglans.undiff.","Lamiaceae","Larix","Liliaceae","Liquidambar","Lycopodium.type","Malvaceae","Menyanthes.trifoliata","Morus","Nuphar","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae.undiff.","Polemoniaceae","Polygonaceae.undiff.","Populus","Quercus","Ranunculaceae.undiff.","Rhamnaceae.Vitaceae","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia","Sphagnum","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus","Unknown"
470,6120,1,0,0,1,0,0,23,97,0,0,21,0,0,28,0,1,0,0,0,0,0,0,0,24,0,0,0,2,0,2,0,0,0,18,6,0,1,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,12,0,0,87,0,0,0,15,2,0,0,0,12,1,0,0,4,0,0,0,3,4,3
480,6207,0,0,0,0,0,0,27,107,1,0,13,17,0,0,0,0,0,0,1,0,0,0,0,13,2,1,0,2,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,17,0,0,86,0,0,0,8,0,0,0,1,13,2,0,0,2,0,0,0,2,4,3
500,6382,0,0,0,0,0,0,37,131,2,2,9,10,0,0,0,1,0,0,0,0,0,0,0,7,1,0,0,3,0,3,0,0,0,19,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,1,9,0,0,68,1,0,0,10,3,0,0,0,12,1,0,0,0,0,0,0,4,4,2
510,6470,0,0,0,0,0,0,20,69,0,0,22,13,0,0,0,0,0,0,1,0,0,0,0,42,2,0,0,2,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,88,0,0,0,18,0,0,1,0,22,0,0,0,0,0,0,0,5,2,4
520,6557,0,0,0,0,0,0,48,86,1,0,15,14,0,0,1,0,0,0,0,0,0,0,0,33,0,0,0,1,1,2,0,0,0,9,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,15,0,0,78,1,0,0,8,0,0,1,2,31,0,0,0,6,0,0,0,4,3,1
530,6645,0,0,0,0,0,0,15,95,0,1,13,0,0,22,0,0,0,0,0,0,0,0,0,13,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,81,0,0,0,16,1,0,0,0,30,0,0,0,6,0,0,0,9,6,1
540,6732,0,0,0,0,0,0,15,109,1,1,18,6,0,0,0,0,0,1,0,0,0,0,0,22,0,0,0,0,0,2,0,0,0,12,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,11,0,0,94,0,0,0,10,0,0,1,0,19,0,0,0,7,0,0,0,3,6,1
550,6820,0,0,0,0,0,2,11,113,1,0,14,13,0,0,1,4,0,1,0,0,0,0,0,21,1,0,0,1,0,1,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,95,0,0,0,8,3,0,1,0,21,2,0,0,4,0,0,0,1,4,1
560,6907,0,0,0,0,0,0,33,63,2,1,16,12,0,0,0,0,0,0,0,0,0,0,0,37,2,0,0,4,0,3,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,0,0,120,0,0,0,6,0,0,0,0,21,0,0,0,3,0,0,0,2,2,4
570,6995,0,0,0,0,0,0,21,116,2,1,11,26,1,0,1,0,0,0,0,0,0,0,0,28,1,0,0,3,0,0,0,0,0,27,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,11,0,0,74,1,0,0,8,2,0,0,0,27,0,0,0,0,0,0,0,0,3,2
