"sample.depths","sample.ages","Abies","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cyperaceae","Ostrya.Carpinus","Picea","Salix","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Alnus","Pinus","Poaceae","Ambrosia.type","Potentilla.type","Quercus","Ranunculaceae.undiff.","Populus","Larix","Sarcobatus.vermiculatus","Galium","Rumex","Ulmus","Lamiaceae","Rosaceae.undiff.","Myrica","Ranunculus","Fraxinus","Fabaceae","Polygonum","Shepherdia.argentea","Saxifragaceae","Shepherdia.canadensis","Juglans","Ericaceae","Primulaceae","Acer","Caryophyllaceae","Apiaceae","Rubus","Urticaceae","Asteraceae.subf..Cichorioideae","Lonicera","Elaeagnus","Cupressaceae","Plantago"
0,-1,0.00245700245700246,0.105651105651106,0.221130221130221,0.0417690417690418,0.00245700245700246,0.00982800982800983,0.00245700245700246,0.0638820638820639,0.0294840294840295,0.00245700245700246,0.00245700245700246,0.103194103194103,0.4004914004914,0.0122850122850123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,51,0,0.111111111111111,0.19047619047619,0.0126984126984127,0.00634920634920635,0.0222222222222222,0,0.0857142857142857,0.0126984126984127,0,0.00317460317460317,0.0857142857142857,0.431746031746032,0.019047619047619,0.00634920634920635,0.00317460317460317,0.00317460317460317,0.00317460317460317,0.00317460317460317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,512,0,0.128065395095368,0.182561307901907,0.0108991825613079,0.00272479564032698,0.00272479564032698,0,0.0681198910081744,0.0272479564032698,0.00544959128065395,0.00544959128065395,0.130790190735695,0.419618528610354,0.00544959128065395,0.00544959128065395,0,0,0,0,0.00272479564032698,0.00272479564032698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,973,0.00367647058823529,0.106617647058824,0.0735294117647059,0.00735294117647059,0.00367647058823529,0.0183823529411765,0,0.0551470588235294,0.0147058823529412,0,0.0183823529411765,0.0955882352941176,0.569852941176471,0.0110294117647059,0.00367647058823529,0,0,0,0,0,0,0.00367647058823529,0.00367647058823529,0.00735294117647059,0.00367647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1434,0,0.121468926553672,0.15819209039548,0.0112994350282486,0.00282485875706215,0.0112994350282486,0,0.0706214689265537,0.0225988700564972,0,0.00282485875706215,0.096045197740113,0.494350282485876,0.00847457627118644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1896,0,0.127450980392157,0.133986928104575,0,0.00980392156862745,0.0196078431372549,0,0.101307189542484,0.0522875816993464,0.0065359477124183,0.0130718954248366,0.124183006535948,0.336601307189543,0.0522875816993464,0.0065359477124183,0.00326797385620915,0,0,0.00326797385620915,0,0,0,0,0,0,0.00326797385620915,0.00326797385620915,0.00326797385620915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2357,0,0.0897435897435897,0.0673076923076923,0.00641025641025641,0.00320512820512821,0.00641025641025641,0,0.0480769230769231,0.0544871794871795,0.00320512820512821,0.00320512820512821,0.0993589743589744,0.573717948717949,0.0288461538461538,0,0,0,0,0.00641025641025641,0,0,0,0,0.00320512820512821,0,0,0.00320512820512821,0,0.00320512820512821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2818,0,0.114441416893733,0.149863760217984,0.0163487738419619,0.00817438692098093,0.0272479564032698,0,0.11716621253406,0.0681198910081744,0.0108991825613079,0.00272479564032698,0.111716621253406,0.299727520435967,0.0354223433242507,0.00272479564032698,0,0.00272479564032698,0,0.00544959128065395,0,0.00544959128065395,0.00272479564032698,0.00272479564032698,0,0,0.00272479564032698,0.0108991825613079,0.00272479564032698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3279,0,0.230529595015576,0.252336448598131,0.0155763239875389,0.0124610591900312,0.0249221183800623,0,0.0404984423676012,0.0404984423676012,0,0.0124610591900312,0.180685358255452,0.155763239875389,0.0218068535825545,0.00623052959501558,0,0,0,0,0,0,0,0,0,0.00311526479750779,0.00311526479750779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,3740,0,0.173913043478261,0.199488491048593,0.00767263427109974,0.010230179028133,0.0434782608695652,0,0.0741687979539642,0.0358056265984655,0,0.0127877237851662,0.115089514066496,0.240409207161125,0.0537084398976982,0.0051150895140665,0,0,0,0.0051150895140665,0,0.00255754475703325,0.00255754475703325,0,0.00255754475703325,0,0.0051150895140665,0.00255754475703325,0.00255754475703325,0,0.00255754475703325,0.00255754475703325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,4201,0,0.238244514106583,0.272727272727273,0.0156739811912226,0.00313479623824451,0.0125391849529781,0,0.0376175548589342,0.0250783699059561,0.00940438871473354,0.0188087774294671,0.206896551724138,0.119122257053292,0.0156739811912226,0.0125391849529781,0,0,0,0.00313479623824451,0,0.00626959247648903,0,0,0,0,0.00313479623824451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,4662,0,0.144694533762058,0.257234726688103,0.0160771704180064,0.00964630225080386,0.0321543408360129,0,0.0482315112540193,0.0385852090032154,0.00643086816720257,0.0160771704180064,0.260450160771704,0.0964630225080386,0.0514469453376206,0,0,0,0,0.00321543408360129,0,0.00964630225080386,0,0,0,0,0.00321543408360129,0.00321543408360129,0,0,0,0,0.00321543408360129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,5123,0,0.263157894736842,0.273026315789474,0.0296052631578947,0.00328947368421053,0.0197368421052632,0,0.0197368421052632,0.0230263157894737,0.00986842105263158,0.0230263157894737,0.108552631578947,0.111842105263158,0.0789473684210526,0.0131578947368421,0,0,0,0.00328947368421053,0,0.00328947368421053,0,0,0,0,0,0.00328947368421053,0,0,0,0,0.00328947368421053,0.00328947368421053,0.00328947368421053,0.00328947368421053,0,0,0,0,0,0,0,0,0,0,0,0
