"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Caprifoliaceae","Carya","Castanea","Celtis","Cephalanthus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myricaceae","Nyssa","Ostrya.Carpinus","Picea","Pinus.strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnaceae","Rhus","Salix","Taxus","Tilia","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Cannabaceae","Caryophyllaceae","Chenopodiaceae.Amaranthaceae","Commelinaceae","Cyperaceae","Fabaceae","Galium","Hepatica","Liliaceae","Plantago","Poaceae.undiff.","Polygonum","Ranunculaceae.undiff.","Rosaceae","Rumex","Saxifragaceae","Thalictrum","Urticaceae","Zea.mays"
0,-40,0,0.0094876660341556,0.0531309297912713,0.157495256166983,0,0.0455407969639469,0.0170777988614801,0,0.00759013282732448,0,0,0.00379506641366224,0.0227703984819734,0.0341555977229602,0.00189753320683112,0.00379506641366224,0.00379506641366224,0.00379506641366224,0,0.00379506641366224,0.00189753320683112,0,0.00759013282732448,0,0.0189753320683112,0.0284629981024668,0.00569259962049336,0,0.278937381404175,0,0.00189753320683112,0.00189753320683112,0,0,0.0341555977229602,0.015180265654649,0.0834914611005693,0.00379506641366224,0,0.0113851992409867,0.00379506641366224,0,0.00569259962049336,0,0.00189753320683112,0,0.0170777988614801,0,0,0,0,0.0113851992409867,0.0740037950664137,0,0,0,0.0246679316888046,0,0,0,0
5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,201,0,0.0132890365448505,0.079734219269103,0.111295681063123,0.00166112956810631,0.0382059800664452,0.0199335548172757,0,0.00830564784053156,0,0,0,0.0166112956810631,0.0166112956810631,0,0.00830564784053156,0,0.00166112956810631,0.00166112956810631,0,0.00166112956810631,0.00332225913621262,0.00830564784053156,0,0.0149501661129568,0.0282392026578073,0.00332225913621262,0,0.260797342192691,0,0.00166112956810631,0,0,0,0.0315614617940199,0.0166112956810631,0.141196013289037,0.0132890365448505,0,0.00332225913621262,0,0,0,0,0.00166112956810631,0,0.0199335548172757,0,0,0,0,0.00996677740863787,0.101328903654485,0,0,0,0.0199335548172757,0,0,0,0.00166112956810631
25,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,321,0,0.0164203612479475,0.103448275862069,0.0870279146141215,0,0.0229885057471264,0.0426929392446634,0,0.00656814449917898,0.00164203612479475,0,0.00492610837438424,0.0213464696223317,0.00492610837438424,0.00164203612479475,0.00328407224958949,0.00492610837438424,0.00492610837438424,0,0,0.00492610837438424,0.00164203612479475,0.00492610837438424,0.00164203612479475,0.0410509031198686,0.0180623973727422,0.00164203612479475,0.00164203612479475,0.243021346469622,0,0.00164203612479475,0,0,0.00164203612479475,0.0459770114942529,0.00821018062397373,0.12807881773399,0.00656814449917898,0,0.00985221674876847,0,0,0.00328407224958949,0,0.00164203612479475,0,0.0164203612479475,0,0,0,0,0.00492610837438424,0.0788177339901478,0,0,0,0.0459770114942529,0,0,0.00164203612479475,0
35,381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,441,0,0.0200729927007299,0.133211678832117,0.0766423357664234,0,0.0474452554744526,0.0273722627737226,0,0,0,0,0.00547445255474453,0.0401459854014599,0.00912408759124088,0.00182481751824818,0,0,0.00364963503649635,0.00182481751824818,0,0.00182481751824818,0,0.0127737226277372,0,0.0401459854014599,0.0401459854014599,0.00182481751824818,0,0.355839416058394,0,0,0,0,0,0.0912408759124088,0.0072992700729927,0.00912408759124088,0,0,0.00182481751824818,0,0,0.00182481751824818,0,0,0,0.0346715328467153,0,0,0,0,0,0.0255474452554745,0,0,0,0.0072992700729927,0,0,0.00182481751824818,0
45,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
