"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Corylus","Cupressaceae","Ephedra","Ericaceae","Fraxinus.nigra","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea","Pinus.undiff.","Populus.balsamifera","Populus.tremuloides","Quercus","Ribes","Salix","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Tilia","Ulmus","Viburnum","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Campanula","Caryophyllaceae","cf..Lysimachia","Chenopodiaceae.Amaranthaceae","Cyperaceae","Dalea","Euphorbia","Fabaceae","Humulus","Iva.annua.type","Iva.xanthifolia","Lamiaceae","Liliaceae","Onagraceae","Plantago","Poaceae","Polygala","Polygonum","Potentilla","Ranunculaceae.undiff.","Ranunculus","Rosaceae","Rumex","Saxifraga.oppositifolia","Thalictrum","Urtica","Xanthium","Botrychium","Dryopteris.type","Equisetum","Lycopodium","Selaginella.selaginoides","Sphagnum","Acorus.calamus","Brasenia.schreberi","Calla.palustris","Hippuris.vulgaris","Lemna","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Sagittaria","Sparganium.type","Typha.latifolia","Utricularia","Indeterminable..crumpled.","Indeterminable..degraded.","Indeterminable..hidden.","Indeterminable.undiff.","Unknown.spore"
45,1809,0,1,0,0,8,20,1,0,3,0,0,0,0,3,2,11,155,0,2,33,0,11,0,0,0,0,3,0,92,2,36,64,5,2,0,0,0,63,246,2,0,1,0,0,0,1,0,0,0,262,0,1,0,0,1,2,0,0,1,0,2,0,2,2,0,0,1,26,0,2,0,45,1,1,0,3,0,14,18,0,0,0,0,0,0
65,2618,0,0,0,2,28,35,1,4,11,0,0,4,1,1,2,17,158,0,25,43,0,19,0,0,0,0,6,0,38,1,40,32,2,0,0,0,0,20,538,0,0,1,0,0,0,1,0,0,1,839,1,1,7,0,3,3,1,0,2,0,0,0,22,27,0,0,1,0,0,0,0,20,2,2,2,60,8,23,16,3,1,9,1,4,0
90,3630,0,0,0,0,17,30,0,2,6,0,0,6,0,1,0,8,82,0,6,37,0,11,2,0,0,2,5,1,22,3,38,29,0,0,0,1,0,6,289,0,0,0,0,0,2,1,0,0,0,1453,1,2,2,0,5,2,0,0,0,0,1,0,0,25,0,0,1,0,0,0,0,10,5,1,0,129,2,22,14,0,0,3,0,4,0
110,4439,0,0,0,0,12,24,0,7,1,0,0,2,0,0,1,11,94,0,5,33,0,8,0,0,0,0,11,0,15,2,55,34,1,0,0,0,0,7,290,0,0,1,0,0,0,0,1,0,0,1447,0,1,0,0,6,0,6,0,2,0,0,0,1,27,0,0,4,0,0,0,0,6,4,0,0,126,2,21,18,1,1,0,0,4,0
130,5249,0,1,1,0,12,11,0,4,5,1,0,5,1,1,2,4,74,0,8,22,0,5,0,0,0,0,5,0,19,2,48,31,0,0,0,1,0,15,288,0,0,2,0,0,0,2,2,0,0,1479,0,1,0,0,2,0,2,0,0,0,2,0,2,33,2,0,2,0,0,0,0,0,11,0,0,121,6,19,24,0,0,5,0,2,0
155,6261,0,0,0,0,9,5,0,2,1,0,0,2,0,2,0,4,37,0,1,16,0,6,0,0,0,0,3,0,7,7,35,16,0,1,0,0,0,11,184,1,0,2,0,0,0,1,0,1,0,1567,0,2,0,0,1,0,3,0,0,0,3,0,2,4,0,0,0,0,0,0,0,1,3,0,0,51,2,10,15,0,0,3,0,1,0
175,7070,0,0,0,0,8,5,0,5,2,0,0,2,0,1,1,4,38,0,3,17,0,3,0,0,0,0,6,0,30,7,46,19,0,0,0,0,0,18,314,0,0,0,0,1,0,3,1,1,0,1495,0,2,0,0,10,0,2,0,1,0,1,0,3,1,0,0,3,0,0,0,0,0,7,0,0,53,5,11,34,0,1,7,1,1,0
195,7879,0,0,0,0,3,5,0,2,2,0,0,2,0,0,0,14,36,0,5,10,0,3,0,0,0,0,2,0,40,6,55,20,0,0,0,0,0,19,325,3,0,0,0,3,0,1,0,0,0,1285,0,0,0,1,0,0,0,1,1,0,3,1,2,1,0,0,4,0,0,0,0,4,4,0,0,34,10,3,9,0,0,22,0,2,0
217,8770,0,0,0,0,3,8,0,4,0,0,0,4,0,0,0,33,76,0,5,21,0,3,1,1,0,0,4,0,122,4,86,29,1,0,0,2,0,26,490,2,0,0,0,0,0,0,1,0,0,1122,0,0,0,0,5,3,1,0,1,0,2,0,39,12,0,0,1,0,0,0,0,6,10,0,0,41,8,23,26,0,2,10,0,6,0
233,9417,1,2,0,0,5,19,1,4,9,0,0,3,0,5,0,70,118,0,23,35,0,10,2,1,0,1,14,0,218,6,135,36,3,6,0,0,0,58,659,5,0,0,0,4,0,0,0,0,1,470,0,2,0,0,1,0,1,0,2,0,3,0,30,0,0,0,2,0,0,0,0,5,3,1,0,104,3,2,40,0,4,25,1,10,0
