"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Arceuthobium","Betula","Carya","Celtis","Corylus","Cupressaceae","Ephedra.nevadensis.type","Ericaceae","Fagus","Fraxinus","Juglans.cinerea","Juglans.nigra","Larix","Morus","Myrica","Ostrya","Picea","Pinus","Platanus","Populus","Quercus","Salix","Shepherdia.argentea","Shepherdia.canadensis","Taxus","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Chenopodiineae","Cyperaceae","Iva.annua.type","Onagraceae","Plantago","Poaceae","Ranunculus","Rosaceae.undiff.","Rumex","Sanguisorba","Thalictrum"
0,-30,0.00366300366300366,0,0.0402930402930403,0.0146520146520147,0,0.153846153846154,0,0,0.00366300366300366,0.0256410256410256,0,0,0.0146520146520147,0.0476190476190476,0.00366300366300366,0.00732600732600733,0.010989010989011,0,0,0.0402930402930403,0.00366300366300366,0.168498168498169,0.00366300366300366,0,0.117216117216117,0,0,0,0,0.00366300366300366,0.0256410256410256,0.0622710622710623,0.00366300366300366,0.157509157509158,0,0,0.00366300366300366,0,0,0.0293040293040293,0,0,0,0.0476190476190476,0,0,0.00732600732600733,0,0
10,79,0.00389105058365759,0,0.0311284046692607,0.0233463035019455,0,0.182879377431907,0.00389105058365759,0,0,0,0,0,0.0350194552529183,0.0272373540856031,0.00778210116731518,0,0.0194552529182879,0,0,0.0155642023346304,0.00389105058365759,0.214007782101167,0,0,0.120622568093385,0,0,0,0,0.0155642023346304,0.0466926070038911,0.0505836575875486,0,0.105058365758755,0.00389105058365759,0.00778210116731518,0.00389105058365759,0,0.0155642023346304,0,0,0.0116731517509728,0,0.0466926070038911,0,0,0.00389105058365759,0,0
20,187,0.00343642611683849,0,0.0309278350515464,0.0171821305841924,0,0.13745704467354,0.013745704467354,0,0,0.0481099656357388,0,0,0.0171821305841924,0.0343642611683849,0,0,0.0206185567010309,0,0,0.0309278350515464,0.0103092783505155,0.171821305841924,0,0.00343642611683849,0.0824742268041237,0.00687285223367698,0,0,0,0.0103092783505155,0.0515463917525773,0.0206185567010309,0.00687285223367698,0.15807560137457,0,0.00687285223367698,0.00343642611683849,0,0.013745704467354,0.0171821305841924,0,0,0.00343642611683849,0.0721649484536082,0.00343642611683849,0,0,0,0.00343642611683849
30,296,0,0,0.05,0.0181818181818182,0,0.1,0.00454545454545455,0,0,0,0,0,0.0409090909090909,0.0181818181818182,0.00454545454545455,0,0.0136363636363636,0,0.00454545454545455,0.0409090909090909,0.00909090909090909,0.295454545454545,0,0,0.227272727272727,0.00454545454545455,0,0,0,0,0.0727272727272727,0.0318181818181818,0,0.0227272727272727,0,0,0.00454545454545455,0,0.00909090909090909,0.00454545454545455,0,0,0,0.0181818181818182,0,0,0.00454545454545455,0,0
40,405,0,0,0.033175355450237,0.014218009478673,0,0.170616113744076,0.004739336492891,0,0,0.037914691943128,0,0,0.023696682464455,0.037914691943128,0.004739336492891,0,0.018957345971564,0,0.004739336492891,0.0616113744075829,0.009478672985782,0.255924170616114,0,0,0.170616113744076,0,0,0,0,0.004739336492891,0.0900473933649289,0.023696682464455,0,0.018957345971564,0,0,0,0,0,0,0,0,0,0.014218009478673,0,0,0,0,0
50,514,0,0,0.027906976744186,0.00465116279069767,0,0.116279069767442,0.00930232558139535,0,0,0.00465116279069767,0,0,0.0232558139534884,0.0558139534883721,0.00465116279069767,0,0.0232558139534884,0,0,0.0372093023255814,0.00465116279069767,0.283720930232558,0.00930232558139535,0,0.213953488372093,0,0,0,0,0.00465116279069767,0.0744186046511628,0.0372093023255814,0,0.027906976744186,0,0.00465116279069767,0,0,0,0.0232558139534884,0,0,0,0.00465116279069767,0.00465116279069767,0,0,0,0
60,624,0.00471698113207547,0,0.0566037735849057,0.00943396226415094,0,0.099056603773585,0.0188679245283019,0,0,0.0377358490566038,0,0,0.0518867924528302,0.0188679245283019,0.00471698113207547,0,0.00943396226415094,0,0,0.0377358490566038,0,0.235849056603774,0,0.00471698113207547,0.226415094339623,0.00943396226415094,0,0,0,0,0.0849056603773585,0.0518867924528302,0,0.00471698113207547,0,0.00471698113207547,0,0,0,0.00943396226415094,0,0,0,0.0141509433962264,0,0,0,0,0.00471698113207547
70,733,0,0,0.037914691943128,0.014218009478673,0,0.113744075829384,0.014218009478673,0,0,0.009478672985782,0,0,0.0616113744075829,0.037914691943128,0.014218009478673,0,0.014218009478673,0,0,0.033175355450237,0.004739336492891,0.270142180094787,0,0,0.165876777251185,0.004739336492891,0,0,0,0.014218009478673,0.104265402843602,0.0521327014218009,0,0.004739336492891,0,0,0,0,0,0.018957345971564,0,0,0,0.004739336492891,0,0,0,0,0.004739336492891
80,844,0.00483091787439614,0,0.0434782608695652,0.0144927536231884,0,0.115942028985507,0,0,0,0.0241545893719807,0,0,0.1256038647343,0.0434782608695652,0,0,0.0338164251207729,0,0,0.0579710144927536,0.00483091787439614,0.159420289855072,0.00483091787439614,0,0.217391304347826,0,0,0,0,0.00483091787439614,0.0821256038647343,0.0434782608695652,0,0.00966183574879227,0,0.00483091787439614,0,0,0,0,0,0,0,0.00483091787439614,0,0,0,0,0
90,954,0,0,0.0628019323671498,0.00966183574879227,0,0.1256038647343,0.00966183574879227,0,0,0.0144927536231884,0,0,0.0869565217391304,0.0338164251207729,0.00483091787439614,0,0.00483091787439614,0,0,0.0434782608695652,0,0.198067632850242,0,0,0.193236714975845,0,0,0,0,0.0193236714975845,0.101449275362319,0.0676328502415459,0,0,0,0,0,0,0,0.0193236714975845,0,0,0,0.00483091787439614,0,0,0,0,0
100,1065,0,0,0.0676328502415459,0.0144927536231884,0,0.111111111111111,0,0,0,0.0193236714975845,0,0,0.193236714975845,0.0579710144927536,0,0.00483091787439614,0.00483091787439614,0,0,0.0338164251207729,0.00483091787439614,0.1256038647343,0.00483091787439614,0.00483091787439614,0.193236714975845,0,0,0,0,0.00483091787439614,0.0869565217391304,0.0483091787439614,0,0.00966183574879227,0,0,0.00483091787439614,0,0,0.00483091787439614,0,0,0,0,0,0,0,0,0
110,1177,0,0,0.0497512437810945,0.00497512437810945,0,0.144278606965174,0.00497512437810945,0,0,0.00497512437810945,0,0,0.109452736318408,0.0298507462686567,0.00497512437810945,0,0.0248756218905473,0,0,0.0298507462686567,0,0.228855721393035,0,0,0.169154228855721,0,0,0,0,0.0099502487562189,0.109452736318408,0.0746268656716418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1290,0,0,0.0728155339805825,0.00970873786407767,0,0.0728155339805825,0,0,0,0.00970873786407767,0,0,0.150485436893204,0.058252427184466,0.00970873786407767,0,0.00970873786407767,0,0,0.058252427184466,0.0145631067961165,0.179611650485437,0,0,0.160194174757282,0,0,0,0,0.0194174757281553,0.106796116504854,0.0485436893203883,0,0,0,0.00485436893203883,0,0,0,0.00970873786407767,0,0,0,0,0,0,0,0,0.00485436893203883
130,1403,0,0,0.102439024390244,0,0.0048780487804878,0.117073170731707,0.0195121951219512,0,0,0.0097560975609756,0,0,0.15609756097561,0.0341463414634146,0,0,0.0292682926829268,0,0,0.0780487804878049,0.0097560975609756,0.136585365853659,0,0,0.146341463414634,0,0,0,0,0,0.0878048780487805,0.048780487804878,0,0.0048780487804878,0,0.0048780487804878,0,0,0,0.0048780487804878,0,0,0,0.0048780487804878,0,0,0,0,0
140,1517,0,0,0.072463768115942,0.00483091787439614,0,0.130434782608696,0.0193236714975845,0,0,0.00966183574879227,0,0,0.173913043478261,0.0386473429951691,0,0,0.0144927536231884,0,0,0.0676328502415459,0.00966183574879227,0.169082125603865,0,0,0.159420289855072,0,0,0,0,0.00483091787439614,0.0483091787439614,0.0483091787439614,0,0,0,0.00483091787439614,0,0,0,0.0241545893719807,0,0,0,0,0,0,0,0,0
150,1632,0,0.00495049504950495,0.0693069306930693,0,0,0.128712871287129,0.0643564356435644,0,0,0,0,0,0.202970297029703,0.0247524752475248,0,0,0.00495049504950495,0,0,0.0297029702970297,0,0.148514851485149,0,0,0.193069306930693,0,0,0,0,0.0099009900990099,0.0693069306930693,0.0396039603960396,0,0,0,0,0,0,0.00495049504950495,0,0,0,0,0.00495049504950495,0,0,0,0,0
