"sample.depths","sample.ages","upland.sum","Acer.negundo","Betula","Carya","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.undiff.","Juglans.cinerea","Platanus","Quercus","Rumex","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Alnus","Ambrosia","Pinus","Populus","Poaceae","Humulus","Plantago","Rosaceae","Acer.saccharum","Fraxinus.nigra","Ostrya","Artemisia","Picea","Fraxinus.pennsylvanica","Tilia","Larix","Asteraceae.subf..Cichorioideae","Morus","Thalictrum","Iva.annua","Abies","Ranunculus.undiff.","Myrica","Ephedra.nevadensis.type","Celtis","Juglans.nigra","Ericaceae","Galium","Brassicaceae","Lamiaceae","Acer.rubrum","Sarcobatus.vermiculatus","Iva.xanthifolia","Castanea","Ranunculus.subg..Batrachium","Apiaceae"
1,-27,301,1,33,1,5,1,1,2,5,1,5,1,105,1,12,4,2,5,5,4,24,45,1,16,1,6,1,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-15,301,4,43,2,2,0,4,1,0,2,2,0,100,0,3,2,0,8,0,0,30,61,4,18,0,0,0,9,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-1,304,0,33,2,0,0,2,3,2,4,0,0,101,0,9,2,1,15,0,3,36,51,4,18,1,1,3,2,2,2,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,12,302,1,32,0,2,0,0,4,2,2,0,1,74,1,3,2,1,5,0,4,55,59,3,26,0,2,0,9,0,6,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,26,303,0,30,0,5,0,1,2,0,4,0,1,69,3,0,5,3,8,0,4,64,51,2,38,0,0,0,5,1,1,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,39,304,0,33,5,3,1,4,1,7,4,0,0,59,3,1,4,2,13,1,2,28,89,2,24,0,1,0,4,2,5,1,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,53,301,0,27,6,1,1,3,2,7,3,3,0,59,0,0,14,0,12,0,2,19,103,0,12,0,0,0,9,1,11,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,66,308,0,22,4,0,0,3,3,6,4,1,0,44,2,1,8,1,10,0,8,20,130,0,21,0,0,0,8,1,7,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,80,300,0,40,0,3,0,1,0,7,0,0,1,47,3,4,13,1,7,0,7,25,104,1,11,0,0,0,12,0,9,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90,93,304,0,29,3,1,0,4,3,15,4,0,0,44,0,0,17,1,14,0,4,6,121,1,6,1,0,0,10,1,13,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100,425,303,0,7,1,0,0,1,12,12,3,0,0,26,0,3,20,1,6,0,40,0,135,2,9,0,0,0,11,2,5,0,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
120,1036,309,0,16,5,0,0,3,17,14,8,1,2,62,0,3,19,1,19,1,8,1,82,12,5,0,0,0,8,7,11,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,1113,308,0,17,3,0,0,0,4,12,8,2,1,48,0,0,36,1,16,0,5,0,104,1,5,0,0,0,11,3,15,1,4,5,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1190,309,0,13,8,0,0,4,0,47,9,1,1,45,0,0,26,5,14,0,3,0,82,1,1,0,0,0,19,7,5,1,12,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1267,308,0,6,9,1,1,0,2,23,8,4,1,55,0,1,46,3,15,0,12,1,70,1,4,0,0,0,18,3,5,1,2,5,7,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
160,1343,312,0,7,7,0,0,3,2,15,12,2,4,59,0,2,29,4,9,0,5,0,112,2,1,0,0,0,7,8,16,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,1420,303,0,9,6,0,0,0,7,39,3,2,1,50,0,1,56,0,10,0,5,0,74,0,2,0,0,0,11,2,7,0,7,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
180,1497,295,0,10,3,0,0,0,2,39,5,4,0,52,0,3,39,1,11,0,7,0,79,0,6,0,0,0,9,2,7,1,4,3,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,1574,303,0,50,3,0,1,5,5,17,3,3,2,52,0,0,11,0,20,0,6,0,86,2,4,0,0,0,14,2,7,1,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,1651,306,0,16,3,0,0,16,4,41,6,2,1,43,0,0,20,1,26,0,3,0,72,0,5,0,0,0,14,4,14,1,2,2,6,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
210,1727,311,0,27,7,0,0,5,11,12,11,6,0,50,0,0,20,2,21,0,13,1,88,0,2,0,0,0,12,6,7,0,2,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
220,1804,308,0,18,13,0,0,6,3,38,8,0,2,33,0,1,11,2,17,0,2,2,82,1,4,0,0,0,30,5,9,3,12,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
230,1881,312,0,18,3,0,0,2,5,32,11,1,1,76,0,1,14,0,11,0,2,0,68,0,0,0,0,0,27,4,14,0,9,7,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,1958,300,0,20,11,0,0,0,0,4,0,1,0,52,0,1,2,4,4,0,14,2,124,0,2,0,0,0,2,0,5,1,11,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,2035,304,0,11,2,0,0,7,12,5,4,0,3,48,0,1,6,3,10,0,13,0,134,1,4,0,0,0,13,2,4,2,14,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
260,2112,309,0,24,4,0,0,2,2,21,9,5,2,70,0,3,18,1,31,0,9,0,67,1,1,0,0,0,13,5,12,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,2188,305,0,16,7,0,0,0,8,14,5,0,2,97,0,1,4,3,6,0,4,0,98,0,3,0,0,0,15,2,9,0,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,2265,302,0,17,3,0,0,11,9,4,2,0,0,22,0,0,2,3,8,0,19,2,157,0,15,0,0,0,2,2,8,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
290,2342,308,0,34,5,0,0,3,0,28,8,0,1,83,0,1,19,0,16,0,7,2,58,1,1,0,0,0,16,5,12,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,2409,309,0,38,5,2,0,2,0,36,9,6,1,57,0,0,15,0,20,1,6,0,65,0,1,0,0,0,21,2,11,0,3,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,2459,308,0,29,5,1,1,3,0,52,8,2,1,50,0,0,38,0,30,0,2,0,54,0,1,0,0,0,14,3,6,1,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
320,2509,312,0,34,7,1,0,3,2,32,12,1,1,48,0,0,23,0,13,0,3,0,91,0,2,0,0,0,10,7,12,0,1,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,2534,314,0,31,6,0,0,0,3,31,14,2,0,52,0,0,12,0,15,0,4,0,92,0,0,0,0,0,22,10,10,1,0,4,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,2559,308,0,29,7,1,0,0,1,39,8,2,3,55,0,0,20,0,28,0,3,1,73,0,2,0,0,0,10,3,13,0,1,5,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
340,2610,316,0,42,3,0,1,2,3,39,15,2,0,45,0,0,22,0,21,0,2,0,59,0,0,0,0,0,23,4,16,0,1,11,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
350,2660,310,0,36,8,0,1,0,0,62,10,1,1,36,0,0,34,0,29,0,1,0,51,0,0,0,0,0,15,2,9,0,1,8,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
360,2710,352,0,31,5,0,0,5,2,90,9,0,0,31,0,1,14,0,26,0,2,0,86,0,5,0,0,0,21,6,10,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,2760,310,0,36,3,0,0,5,2,78,10,1,3,41,0,1,8,0,14,0,3,0,40,0,1,0,0,0,30,6,16,0,1,4,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,2810,312,0,37,4,0,0,2,1,65,13,3,2,36,0,0,6,0,13,0,2,1,67,0,3,0,0,0,27,6,11,0,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,2860,319,0,26,4,0,0,2,2,51,19,1,2,66,0,2,7,1,23,0,6,0,46,0,3,2,0,0,19,7,13,1,1,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,2911,308,0,29,3,1,0,1,1,60,8,1,0,60,0,0,11,0,17,0,6,2,62,0,5,0,0,0,12,0,11,2,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,2961,304,0,28,7,0,0,1,2,38,4,1,1,59,0,0,6,0,23,1,6,4,89,0,1,0,0,0,15,2,12,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,3011,316,0,29,6,1,0,2,3,34,16,0,2,78,0,0,3,2,19,0,4,0,71,0,2,0,0,0,14,10,11,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,3066,312,0,31,10,2,0,4,0,28,12,1,3,76,0,0,9,0,22,0,12,0,62,0,2,0,0,0,14,5,8,1,2,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,3126,303,0,35,5,0,0,0,1,34,3,0,1,57,0,0,12,1,13,0,5,1,105,0,4,0,0,0,15,0,4,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,3147,388,0,28,4,1,1,7,3,45,4,0,2,66,0,1,7,1,17,0,7,2,77,0,82,0,0,0,15,2,8,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,3212,6339,0,30,3,0,1,3,1,38,11,1,1,53,0,0,3,0,17,0,14,0,90,0,6030,0,0,0,18,5,10,1,1,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,3262,5791,0,32,2,0,0,0,0,29,3,0,1,62,0,0,15,1,9,0,8,0,108,0,5488,0,0,0,21,3,5,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
