"sample.depths","sample.ages","Acer.saccharum.type","Acer.rubrum","Alnus.incana.type","Ambrosia.type","Artemisia","Betula","Carya","Castanea","Cyperaceae","Ericaceae","Fagus","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Herbs.undiff.","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Ostrya.Carpinus","Picea","Platanus","Quercus","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Anacardiaceae","Pinus","Populus","Amaranthaceae","Caprifoliaceae","Plantago","Prunus.Sorbus","Myrica","Cerealia","Fraxinus.nigra.type","Nyssa","Apiaceae","Corylus","Celtis","Diospyros.type","Rhamnaceae","Acer.negundo","Thalictrum","Salix","Cornus","Cupressaceae","Ilex","Rubiaceae.undiff.","Galium","Polygonum","Tilia","Rhamnaceae.Vitaceae.undiff.","Taxus","Abies","Urtica.type","Alnus.viridis.type","Morus","Sanguisorba","Shrubs.undiff.","Moraceae.undiff.","Caryophyllaceae"
20,29,0.00675675675675676,0.0135135135135135,0.121621621621622,0.152027027027027,0.00337837837837838,0.138513513513514,0.0236486486486486,0.00337837837837838,0.00675675675675676,0.00675675675675676,0.0202702702702703,0.0101351351351351,0.0135135135135135,0.00337837837837838,0.00337837837837838,0.00675675675675676,0.00337837837837838,0.0101351351351351,0.00337837837837838,0.0135135135135135,0.0202702702702703,0.246621621621622,0.00675675675675676,0.0202702702702703,0.0101351351351351,0.0135135135135135,0.00337837837837838,0.00337837837837838,0.0810810810810811,0.00337837837837838,0.00675675675675676,0.00337837837837838,0.0135135135135135,0.00337837837837838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,70,0,0.00671140939597315,0.0268456375838926,0.312080536912752,0,0.063758389261745,0.0167785234899329,0.0436241610738255,0.0570469798657718,0.023489932885906,0.0100671140939597,0,0.0167785234899329,0.0335570469798658,0.00671140939597315,0,0.0167785234899329,0,0.00671140939597315,0.0302013422818792,0.00335570469798658,0.191275167785235,0.023489932885906,0.0134228187919463,0,0.00671140939597315,0,0.00335570469798658,0.0503355704697987,0,0.00335570469798658,0,0.0100671140939597,0.00671140939597315,0.00335570469798658,0.0134228187919463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,119,0.00628930817610063,0.00314465408805031,0.0251572327044025,0.270440251572327,0,0.0911949685534591,0.0125786163522013,0.0440251572327044,0.0125786163522013,0.0345911949685535,0.0125786163522013,0,0.0345911949685535,0.0691823899371069,0.00314465408805031,0,0.0125786163522013,0,0.00314465408805031,0.0157232704402516,0,0.182389937106918,0.0251572327044025,0.0188679245283019,0.00314465408805031,0.00628930817610063,0,0.00314465408805031,0.0786163522012579,0,0,0,0.00314465408805031,0,0,0.0188679245283019,0.00314465408805031,0.00314465408805031,0.00314465408805031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,179,0.0120845921450151,0.00604229607250755,0.0151057401812689,0.0845921450151057,0,0.0694864048338369,0.0241691842900302,0.0181268882175227,0.0241691842900302,0.00906344410876133,0.027190332326284,0.00302114803625378,0.00302114803625378,0.13595166163142,0.00302114803625378,0.00302114803625378,0.00302114803625378,0,0.00604229607250755,0.0362537764350453,0.00906344410876133,0.238670694864048,0.0181268882175227,0.0422960725075529,0.00906344410876133,0.00302114803625378,0,0,0.166163141993958,0,0,0,0.00302114803625378,0,0.00604229607250755,0.0120845921450151,0,0.00604229607250755,0,0.00302114803625378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,254,0,0.0114613180515759,0.00573065902578797,0.0286532951289398,0,0.0916905444126074,0.0143266475644699,0,0.0487106017191977,0.00286532951289398,0.0257879656160458,0.00859598853868195,0.00573065902578797,0.171919770773639,0,0.00573065902578797,0.0114613180515759,0.00286532951289398,0.00286532951289398,0.0200573065902579,0,0.171919770773639,0,0.140401146131805,0.00286532951289398,0.00286532951289398,0,0,0.206303724928367,0,0,0,0,0,0.00286532951289398,0,0.00286532951289398,0,0.00286532951289398,0,0.00286532951289398,0.00286532951289398,0.00286532951289398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,347,0,0,0.0616438356164384,0.00342465753424658,0,0.0753424657534247,0.0342465753424658,0.023972602739726,0.00342465753424658,0.0273972602739726,0.0376712328767123,0.0102739726027397,0,0.0308219178082192,0,0.00684931506849315,0,0.00342465753424658,0.00342465753424658,0.0171232876712329,0.00342465753424658,0.352739726027397,0,0.0821917808219178,0.00684931506849315,0.0102739726027397,0,0,0.178082191780822,0,0,0,0,0.00342465753424658,0.00342465753424658,0,0.0102739726027397,0,0,0.00342465753424658,0,0,0,0.00342465753424658,0.00342465753424658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,438,0.0026246719160105,0.0026246719160105,0.0078740157480315,0,0,0.0656167979002625,0.0288713910761155,0.0131233595800525,0.0078740157480315,0.0026246719160105,0.031496062992126,0,0,0.220472440944882,0,0,0,0,0.0078740157480315,0.0026246719160105,0.0026246719160105,0.401574803149606,0,0.068241469816273,0.0026246719160105,0.0131233595800525,0,0,0.083989501312336,0.015748031496063,0,0.0026246719160105,0,0.0026246719160105,0.005249343832021,0,0,0,0,0,0,0,0.0026246719160105,0,0,0.0026246719160105,0.0026246719160105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,563,0,0.00641025641025641,0.0224358974358974,0,0,0.0641025641025641,0.0352564102564103,0.0224358974358974,0.00961538461538462,0.00641025641025641,0.0641025641025641,0,0,0.0416666666666667,0.00320512820512821,0,0.00320512820512821,0,0,0.00961538461538462,0.00320512820512821,0.496794871794872,0,0.0673076923076923,0,0.016025641025641,0,0,0.118589743589744,0,0,0,0,0,0,0,0.00320512820512821,0.00320512820512821,0,0,0,0,0,0,0,0.00320512820512821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,715,0.0133779264214047,0.0100334448160535,0.0234113712374582,0.00334448160535117,0,0.110367892976589,0.0568561872909699,0.0167224080267559,0.0234113712374582,0,0.0501672240802676,0.00668896321070234,0.00334448160535117,0,0.00334448160535117,0,0,0,0.00334448160535117,0.0167224080267559,0,0.441471571906354,0,0.0735785953177258,0,0.0167224080267559,0,0,0.11371237458194,0.00334448160535117,0,0.00334448160535117,0,0,0,0,0.00334448160535117,0,0,0,0,0,0,0,0,0,0,0.00334448160535117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,886,0.0101694915254237,0.00338983050847458,0.0576271186440678,0,0,0.0983050847457627,0.0338983050847458,0.0203389830508475,0.0169491525423729,0,0.0305084745762712,0.00338983050847458,0.00677966101694915,0.0338983050847458,0,0,0.0101694915254237,0.00338983050847458,0.0101694915254237,0,0,0.420338983050847,0,0.0440677966101695,0.00677966101694915,0.00677966101694915,0,0,0.152542372881356,0,0,0.00338983050847458,0,0,0.00338983050847458,0,0.00338983050847458,0.00338983050847458,0,0.00338983050847458,0,0,0,0,0,0,0,0,0.0101694915254237,0.00338983050847458,0,0,0,0,0,0,0,0,0,0,0,0,0
