"sample.depths","sample.ages","upland.sum","Betula","Carya","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fagus","Poaceae.undiff.","Juglans.cinerea","Ostrya.Carpinus","Picea","Quercus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Rosaceae.undiff.","Pinus","Plantago","Acer.saccharum","Ilex.Nemopanthus","Fraxinus.nigra","Fraxinus.americana","Salix","Tilia","Populus","Brassicaceae","Abies","Artemisia","Larix","Rumex","Celtis","Zea.mays","Asteraceae.subf..Cichorioideae","Platanus","Thalictrum","Castanea","Juglans.nigra","Humulus","Ericaceae","Sarcobatus.vermiculatus","Corylus","Shepherdia.canadensis","Iva.annua","Caryophyllaceae","Sanguisorba"
1,-26,199,29,1,2,5,1,10,16,4,5,3,15,7,3,10,3,33,1,41,1,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,13,200,28,5,0,1,2,5,11,0,9,1,23,8,0,7,3,34,0,46,2,2,0,0,2,3,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,57,196,32,1,2,0,1,6,9,0,5,1,26,9,1,2,2,27,0,59,0,3,0,1,1,3,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,100,200,30,6,1,9,2,3,13,0,5,1,20,8,1,6,4,30,0,43,0,4,0,1,3,3,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,144,200,27,2,1,1,3,6,8,3,4,2,19,12,0,10,2,35,0,56,0,4,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,187,200,28,1,0,0,1,4,11,0,2,1,24,11,2,14,1,40,0,50,0,6,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,231,200,22,1,1,5,2,5,8,0,6,2,21,10,2,7,5,34,0,47,0,4,0,2,2,3,2,2,0,0,0,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
70,274,200,23,4,1,6,0,11,15,1,7,3,26,11,0,16,5,13,0,48,0,5,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,317,200,30,2,0,13,0,8,18,0,8,2,27,7,0,4,0,12,0,42,0,7,0,2,3,1,5,0,0,0,0,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90,361,196,26,1,0,4,0,9,3,1,7,4,43,19,0,13,0,1,0,51,0,4,0,0,2,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,404,199,30,5,0,3,0,10,1,1,7,1,45,10,0,9,1,0,0,53,0,14,0,3,1,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110,448,201,31,4,0,7,1,11,0,0,7,2,54,12,0,5,4,1,0,40,0,7,0,2,4,0,2,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
120,491,200,31,1,0,12,1,6,0,1,7,0,51,10,0,8,3,0,0,48,0,6,0,8,2,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,535,200,19,4,0,15,2,5,0,0,2,1,52,18,0,3,2,0,0,52,0,4,0,6,3,0,4,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,578,200,19,3,0,18,0,6,0,1,15,1,38,18,0,7,1,1,0,43,0,7,0,13,2,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,621,200,37,3,0,17,3,6,0,0,3,0,55,13,0,6,0,0,0,37,0,9,0,0,2,0,0,5,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
