"sample.depths","sample.ages","Acer.rubrum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fabaceae.undiff.","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Corylus.cornuta","Pinus.banksiana.type","Pinus.strobus","Rumex.type","cf..Taxus","Tsuga.canadensis","Picea.undiff.","Ericaceae","Juglans.cinerea","Larix","Populus.tremuloides.type","Taxus","Amaranthaceae","Carya.ovata","Juniperus.communis.Thuja.occidentalis.type","Salix.undiff.","Rosaceae.undiff.","Castanea.dentata","Myrica.gale","Ribes","Viburnum.edule","Morus.rubra.type","Tilia","Acer.saccharinum","Viburnum.undiff.","Salix.herbacea.type","Asteraceae.subf..Cichorioideae","Populus.balsamifera.type","Impatiens","Liliaceae","Cornus","Shepherdia.canadensis","Potentilla.palustris.type","Prunus.pensylvanica","Rhus.typhina","Saxifraga.cernua.type","Onagraceae.undiff.","Polygonaceae.undiff.","Epilobium","Apiaceae","Brassicaceae","Ranunculaceae","Oxytropis.maydelliana.type","cf..Oxyria.digyna","cf..Diapensia.lapponica"
5,121,0.00207900207900208,0.00207900207900208,0.0249480249480249,0.00415800415800416,0.0644490644490645,0.00207900207900208,0.498960498960499,0.00207900207900208,0.00415800415800416,0.051975051975052,0.0103950103950104,0.00207900207900208,0.00207900207900208,0.0103950103950104,0.00415800415800416,0.0228690228690229,0.0706860706860707,0.0353430353430353,0.00415800415800416,0.00623700623700624,0.0103950103950104,0.0207900207900208,0.00207900207900208,0.0291060291060291,0.00415800415800416,0.00207900207900208,0.0602910602910603,0.00207900207900208,0.00207900207900208,0.0103950103950104,0.0311850311850312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,606,0.0030441400304414,0,0.0228310502283105,0,0.0060882800608828,0,0.436834094368341,0,0.0106544901065449,0.0669710806697108,0.0076103500761035,0.0106544901065449,0,0.0030441400304414,0,0.0502283105022831,0.0791476407914764,0.0213089802130898,0.0030441400304414,0.0121765601217656,0.0045662100456621,0.0060882800608828,0.0030441400304414,0.0228310502283105,0.0060882800608828,0.0030441400304414,0.115677321156773,0,0,0.0669710806697108,0.015220700152207,0.0015220700152207,0.0045662100456621,0.0030441400304414,0.0015220700152207,0.0060882800608828,0.0015220700152207,0.0015220700152207,0.0015220700152207,0.0015220700152207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1212,0.00550660792951542,0.00110132158590308,0.0187224669603524,0.00330396475770925,0.00110132158590308,0.00220264317180617,0.459251101321586,0,0.0121145374449339,0.079295154185022,0.00881057268722467,0.00440528634361234,0,0.00440528634361234,0,0.0286343612334802,0.052863436123348,0.026431718061674,0.00110132158590308,0.0286343612334802,0.00550660792951542,0.0143171806167401,0.00440528634361234,0.0308370044052863,0.00220264317180617,0.00110132158590308,0.0969162995594714,0,0,0.0715859030837004,0.0066079295154185,0,0.00110132158590308,0.00440528634361234,0,0.0066079295154185,0,0.00440528634361234,0.00220264317180617,0.00220264317180617,0.00110132158590308,0.00110132158590308,0.00550660792951542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1585,0.0112781954887218,0.0018796992481203,0.0112781954887218,0.0056390977443609,0,0.0056390977443609,0.484962406015038,0,0.0263157894736842,0.105263157894737,0.0112781954887218,0.0037593984962406,0,0.0018796992481203,0,0.0037593984962406,0.056390977443609,0.0131578947368421,0.0037593984962406,0.018796992481203,0.0037593984962406,0.0056390977443609,0.0018796992481203,0.0319548872180451,0.0056390977443609,0,0.0488721804511278,0,0,0.114661654135338,0.0037593984962406,0,0,0.0093984962406015,0.0018796992481203,0,0,0.0018796992481203,0.0018796992481203,0,0,0,0,0.0018796992481203,0.0018796992481203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1958,0.00533333333333333,0,0.0106666666666667,0,0,0,0.497333333333333,0.00133333333333333,0.00666666666666667,0.0946666666666667,0.0186666666666667,0.0106666666666667,0,0.008,0,0.00133333333333333,0.056,0.0413333333333333,0,0.0226666666666667,0,0.0106666666666667,0,0.044,0.00266666666666667,0.00133333333333333,0.0453333333333333,0,0,0.0813333333333333,0.0146666666666667,0.00133333333333333,0.00133333333333333,0.00533333333333333,0.00533333333333333,0,0,0.004,0.00266666666666667,0.00266666666666667,0.00133333333333333,0,0.00133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2330,0.00975177304964539,0,0.0159574468085106,0.00177304964539007,0.00177304964539007,0.00177304964539007,0.425531914893617,0,0.00797872340425532,0.109042553191489,0.00531914893617021,0.00709219858156028,0,0.00531914893617021,0.000886524822695035,0.00886524822695036,0.0771276595744681,0.0221631205673759,0,0.0230496453900709,0.00443262411347518,0.00709219858156028,0.00709219858156028,0.0363475177304965,0.00354609929078014,0.000886524822695035,0.13031914893617,0,0,0.0726950354609929,0.00531914893617021,0,0,0.00443262411347518,0,0,0.000886524822695035,0.00177304964539007,0.000886524822695035,0,0,0.000886524822695035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2703,0.00785854616895874,0,0.00392927308447937,0.00196463654223969,0,0.00196463654223969,0.465618860510805,0.00392927308447937,0.0157170923379175,0.102161100196464,0.0176817288801572,0.00392927308447937,0,0.00392927308447937,0,0,0.0726915520628684,0.0216110019646365,0.00196463654223969,0.0294695481335953,0.0117878192534381,0.00785854616895874,0.0117878192534381,0.0392927308447937,0.00196463654223969,0.00589390962671906,0.0569744597249509,0,0,0.0805500982318271,0.00392927308447937,0,0.00392927308447937,0.00392927308447937,0,0.00392927308447937,0.00196463654223969,0,0.00589390962671906,0.00196463654223969,0.00392927308447937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,3076,0.00211416490486258,0.00211416490486258,0.0126849894291755,0.00422832980972516,0.00211416490486258,0.00634249471458774,0.437632135306554,0,0.0169133192389006,0.0930232558139535,0.0147991543340381,0.00634249471458774,0,0,0,0.00634249471458774,0.080338266384778,0.0338266384778013,0.00845665961945032,0.0169133192389006,0.0169133192389006,0.0105708245243129,0.00422832980972516,0.0465116279069767,0.00211416490486258,0,0.0887949260042283,0,0,0.0528541226215645,0.00422832980972516,0,0,0.00422832980972516,0.00422832980972516,0.00211416490486258,0,0,0.0126849894291755,0.00422832980972516,0,0,0.00211416490486258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3449,0.00411522633744856,0,0.00685871056241427,0,0.00548696844993141,0,0.471879286694102,0.00137174211248285,0.0137174211248285,0.0809327846364883,0.0205761316872428,0.00137174211248285,0,0.00137174211248285,0,0,0.0960219478737997,0.0301783264746228,0.00137174211248285,0.0178326474622771,0.00274348422496571,0.0164609053497942,0.00137174211248285,0.046639231824417,0,0.00137174211248285,0.10562414266118,0,0,0.0480109739368999,0.0109739368998628,0,0.00274348422496571,0.00274348422496571,0.00274348422496571,0,0.00137174211248285,0,0,0.00137174211248285,0,0,0.00137174211248285,0,0,0.00137174211248285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,3821,0.00389863547758285,0,0.00194931773879142,0,0.00194931773879142,0,0.477582846003899,0,0.00974658869395711,0.0701754385964912,0.0116959064327485,0.00779727095516569,0,0.00779727095516569,0,0.00194931773879142,0.0838206627680312,0.0331384015594542,0,0.00974658869395711,0.0175438596491228,0.00194931773879142,0.00779727095516569,0.0428849902534113,0,0,0.124756335282651,0,0,0.0409356725146199,0.00389863547758285,0,0,0.00194931773879142,0.00584795321637427,0,0,0.00194931773879142,0.0233918128654971,0,0,0.00389863547758285,0,0,0,0,0.00194931773879142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
