"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Carya","Castanea","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex.Nemopanthus","Juglans","Larix","Moraceae","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Asteraceae.undiff.","Chenopodiaceae","Cyperaceae","Poaceae","Ranunculaceae","Rosaceae","Rumex","Lycopodium","Osmunda","Pteridium","Sphagnum"
0,-33,7,17,15,103,0,0,0,2,1,0,1,0,0,4,0,4,11,8,40,66,0,8,15,0,0,23,6,22,3,0,7,0,8,0,0,4,2,1,3,0
5,9,10,13,8,123,0,0,1,0,1,2,3,2,0,3,0,3,12,6,44,60,1,5,12,0,1,37,9,34,1,2,0,1,7,0,0,2,1,0,1,3
10,50,10,5,12,134,1,0,0,7,0,0,1,0,2,5,0,6,16,7,44,128,0,7,18,1,4,63,8,13,4,6,2,0,3,0,0,1,4,0,0,2
15,91,9,9,9,98,0,0,2,2,0,1,0,1,1,2,0,1,11,11,39,114,0,3,10,0,0,47,9,14,0,1,2,0,11,0,0,2,1,1,1,1
20,133,13,5,4,93,0,0,0,4,0,1,1,0,0,5,0,0,15,4,46,85,1,1,13,0,2,71,9,4,4,0,0,0,1,0,0,0,1,0,1,0
25,174,7,15,8,111,2,0,0,4,0,0,1,0,0,0,0,3,15,4,46,89,1,0,12,0,0,64,13,2,2,1,1,1,3,0,0,0,0,0,0,0
30,216,10,12,6,125,0,0,0,7,0,0,4,0,0,3,0,5,18,6,44,146,0,0,19,0,0,91,5,8,1,1,0,1,1,0,0,0,1,0,1,1
35,257,4,14,3,97,0,0,0,3,1,0,0,0,0,2,0,6,5,3,47,109,1,0,9,0,0,57,9,1,4,1,0,1,0,0,0,0,1,0,0,0
40,299,7,11,5,111,0,0,1,5,1,2,0,0,0,6,0,3,9,2,48,128,1,5,12,0,0,76,17,3,3,0,0,0,4,0,0,0,1,0,0,1
45,340,11,13,4,150,2,0,0,1,0,2,1,0,0,3,0,2,15,5,45,146,1,0,19,0,0,62,9,2,1,1,0,0,1,0,0,0,1,0,0,1
50,382,5,7,6,80,0,0,0,7,0,1,1,1,1,1,0,2,5,2,48,78,1,4,10,0,0,63,2,4,4,0,0,0,0,0,0,0,0,0,0,0
65,506,6,16,6,240,2,0,2,0,0,0,2,3,0,0,0,0,13,37,246,0,0,0,28,1,0,66,18,7,6,4,1,0,5,0,0,0,0,0,1,0
80,631,0,9,7,249,1,0,0,0,0,0,2,0,0,0,0,6,6,20,184,206,2,0,31,0,0,55,14,7,8,4,2,2,2,0,0,0,0,0,0,3
115,921,1,18,23,285,0,0,4,1,0,0,5,3,2,0,0,2,3,33,184,261,2,1,32,0,6,60,19,9,7,2,5,1,4,0,2,0,3,0,1,8
185,1502,4,18,11,231,0,0,2,0,0,0,6,1,0,0,0,5,6,5,138,162,1,0,10,1,0,50,13,1,8,3,1,1,1,0,0,0,0,0,0,2
