"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Adiantum","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Caryophyllaceae","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ephedra.nevadensis.type","Equisetum","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Ilex.Nemopanthus","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Myrica","Myriophyllum","Nymphaea","Osmunda","Ostrya","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Plantago","Platanus","Poaceae","Populus","Pteridium","Quercus","Rumex","Salix","Sarcobatus.vermiculatus","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown"
1,-15,2,0,10,0,13,2,13,0,0,1,0,65,0,0,0,2,2,1,0,0,0,2,0,0,3,10,0,0,0,7,0,0,0,0,0,4,5,8,52,1,1,3,2,2,13,1,1,0,0,2,0,0,20,0,7,1
20,266,4,0,14,0,4,0,9,0,0,1,0,64,0,0,0,1,1,1,0,0,0,3,0,0,1,3,0,0,0,2,1,0,1,0,0,5,6,3,66,1,0,10,0,0,10,3,0,0,0,0,0,0,16,0,6,1
40,562,1,0,4,0,8,0,1,0,0,0,0,66,0,0,0,6,0,0,0,0,0,13,1,3,1,6,0,0,0,3,2,0,0,1,0,8,3,0,47,0,0,0,1,0,3,0,0,0,0,1,0,0,33,0,8,1
60,858,0,1,10,0,3,0,0,0,1,2,0,67,1,0,0,4,1,0,0,0,0,14,2,3,1,3,0,0,1,0,0,0,0,0,0,2,1,6,51,0,0,0,0,0,4,0,0,0,0,0,0,0,22,0,11,1
80,1154,0,0,10,0,4,0,1,0,1,0,0,47,0,0,0,0,2,0,0,0,0,11,1,0,0,1,0,1,0,1,0,0,0,0,0,4,3,5,68,0,1,1,0,0,6,0,1,0,0,6,0,0,39,0,3,0
100,1450,0,0,4,0,5,0,0,0,0,1,0,58,0,0,0,1,1,0,0,0,0,9,2,1,1,8,0,0,0,1,1,0,0,0,0,2,3,7,63,0,0,1,0,1,12,0,1,0,0,4,0,0,30,0,5,0
120,1746,1,0,5,0,1,0,0,0,0,0,0,56,0,0,0,4,1,1,0,0,0,8,3,1,0,6,0,0,0,3,0,0,0,1,2,5,1,0,74,0,0,0,0,0,9,0,0,0,0,1,0,0,21,0,9,1
140,2042,0,0,5,0,1,0,0,0,1,0,0,31,2,0,0,1,0,1,0,0,0,10,1,2,1,6,0,1,0,0,0,0,0,0,1,6,2,4,85,0,0,2,2,0,11,0,0,0,0,2,0,0,23,0,14,0
160,2338,0,0,9,0,1,0,0,0,0,0,0,43,1,0,0,2,0,1,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,3,72,0,0,1,0,0,12,0,0,0,0,5,0,0,38,0,5,1
180,2634,1,0,5,0,1,0,0,0,0,1,0,43,1,0,0,1,1,1,0,0,0,11,2,0,1,5,0,1,0,1,0,0,0,0,0,1,5,9,87,0,0,0,0,0,4,0,0,0,0,3,0,0,16,0,10,0
200,2930,3,0,5,0,4,0,0,0,0,0,0,42,0,0,0,0,1,0,0,0,0,3,0,1,1,3,0,0,0,2,0,0,0,0,0,2,3,4,100,0,1,0,0,0,6,0,1,0,0,2,0,0,18,0,9,0
220,3226,1,0,3,0,0,0,0,0,0,0,0,46,0,0,0,0,0,1,0,0,1,6,0,0,0,4,0,0,0,1,1,0,0,0,0,2,1,10,110,0,0,1,0,0,4,0,0,0,0,0,0,0,14,0,3,1
240,3523,1,0,4,0,5,1,1,0,0,0,0,44,0,0,0,2,0,1,0,0,0,7,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,10,102,0,0,0,0,1,13,0,0,0,0,2,0,0,10,0,5,0
260,3819,1,0,5,0,1,0,0,0,2,0,0,42,1,0,0,0,0,0,0,0,0,5,0,2,0,2,0,1,0,1,1,0,0,0,0,1,5,12,109,0,0,0,0,0,8,0,0,0,0,5,0,1,6,0,0,0
280,4115,1,0,6,0,5,0,0,0,1,0,0,44,0,0,0,1,0,1,0,0,0,5,1,0,0,7,0,0,0,3,0,0,0,1,0,3,3,11,97,0,0,0,0,1,9,0,0,0,0,2,0,0,7,0,9,0
300,4411,1,0,7,0,2,0,2,0,0,0,0,47,0,0,0,2,1,2,0,0,0,6,1,1,1,5,0,1,0,0,0,0,0,0,0,4,1,6,95,0,1,1,0,0,13,0,0,0,0,2,0,0,4,0,10,0
320,4707,0,0,7,0,2,0,0,0,1,0,0,54,1,0,0,1,3,1,0,0,0,4,1,1,0,4,0,0,0,1,0,0,0,1,2,1,3,7,88,0,0,1,0,0,19,0,0,0,0,1,0,2,4,0,6,0
340,5003,1,0,3,0,2,0,0,0,0,0,0,54,0,0,1,1,0,0,0,1,0,6,1,1,1,2,0,0,0,0,0,0,0,0,1,1,1,9,101,0,0,0,0,1,12,0,0,0,0,0,0,1,9,0,4,0
360,5299,1,0,4,0,1,0,0,0,3,0,0,65,0,0,0,0,1,2,0,0,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,2,1,9,78,0,0,0,0,0,20,0,0,0,0,1,0,0,5,0,6,0
380,5628,0,0,4,0,0,0,2,0,0,0,0,44,0,0,0,0,0,0,0,0,0,3,0,2,1,2,0,0,0,1,0,0,0,0,1,0,6,11,86,0,0,1,0,1,9,0,0,0,0,1,0,0,28,0,6,0
400,6013,0,0,9,0,3,1,1,0,1,0,0,48,0,0,0,1,1,2,0,0,0,6,0,2,2,2,0,0,0,1,0,0,0,0,0,4,0,11,79,0,1,0,0,0,18,0,0,0,0,0,0,0,17,0,3,0
420,6398,0,0,4,0,2,0,0,0,0,0,0,24,0,0,0,1,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,14,102,0,0,1,0,1,18,0,0,0,0,0,0,0,24,0,3,0
440,6782,0,0,5,0,1,0,0,0,0,0,0,10,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,12,135,0,0,1,0,1,14,0,0,1,0,0,0,0,15,0,4,0
460,7167,0,0,1,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,11,158,0,0,1,0,2,7,0,0,0,0,0,0,1,7,0,0,0
480,7552,1,0,2,0,0,0,0,0,0,0,0,7,0,0,0,2,1,1,0,0,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,30,123,0,0,0,0,2,25,0,0,0,0,0,0,0,3,0,2,0
500,7937,2,0,3,0,1,0,1,0,0,0,0,4,0,0,0,0,0,2,0,0,0,3,0,2,1,5,0,0,0,0,0,0,0,0,0,0,2,21,134,0,0,1,0,2,21,0,0,0,0,0,0,0,4,0,4,0
520,8441,4,0,0,0,0,0,1,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,4,32,128,0,1,0,0,1,10,0,0,0,0,0,0,0,0,0,5,0
540,8984,0,0,0,0,0,1,1,0,2,0,0,12,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,4,73,94,0,1,0,0,4,8,0,0,0,0,0,0,0,1,2,2,2
560,9528,3,0,0,0,0,0,0,0,1,0,0,29,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,115,29,0,0,0,0,5,16,0,0,0,0,0,0,0,0,1,3,1
580,10072,4,0,0,0,2,0,0,0,0,0,0,21,2,0,0,2,2,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,7,139,6,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,3,0
600,10616,1,0,0,0,0,1,0,0,1,1,0,23,1,0,0,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,134,10,0,0,0,0,2,11,0,1,0,0,0,0,1,3,0,9,0
620,11159,0,0,0,0,0,0,0,1,1,0,0,16,0,0,0,2,2,1,0,0,0,0,0,4,0,7,0,0,0,2,0,0,0,0,0,1,10,145,6,0,0,0,0,1,13,0,1,0,0,0,0,0,0,0,1,1
640,NA,0,0,0,0,1,0,1,0,0,0,0,17,1,0,0,1,9,1,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,79,68,7,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0,6,0
660,NA,1,0,0,0,2,0,2,0,0,1,0,14,0,0,0,2,17,11,0,0,0,0,0,1,0,10,5,1,0,0,5,0,0,0,0,1,33,102,18,0,0,2,1,0,17,0,7,0,0,1,0,0,2,0,7,1
680,NA,0,0,2,0,9,1,0,0,13,1,0,61,1,2,0,1,18,0,0,0,0,0,0,13,0,10,0,0,0,2,0,0,0,0,0,0,11,35,3,0,0,3,5,0,13,0,3,0,0,1,0,0,2,0,11,5
700,NA,0,0,0,0,9,1,4,0,18,2,1,29,1,3,0,2,48,0,0,0,4,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,23,111,2,0,0,12,1,0,23,0,11,0,0,3,0,0,4,0,14,3
