"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Ostrya.Carpinus","Picea","Quercus","Salix","Sarcobatus.vermiculatus","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Fraxinus.americana.type","Populus","Poaceae","Iva.xanthifolia","Acer.saccharum","Pinus.strobus","Pinus.banksiana.P..resinosa","Fraxinus.nigra","Impatiens","Larix","Rumex","Iva.annua","Urtica","Thalictrum","Plantago","Platanus","Tsuga","Amorpha","Carya","Juglans.nigra","Xanthium","Dalea.purpurea","Polygonum.persicaria.type","Apiaceae","Rosaceae","Celtis","Humulus","Pinus.undiff.","Acer.negundo","Asteraceae.subf..Cichorioideae","Fagus","Juglans.cinerea","Dalea.candida.type","Shepherdia.canadensis","Vitis","Ericaceae"
1,25,435,5,1,6,56,8,1,6,8,1,10,53,4,1,1,4,7,19,41,3,4,33,1,5,41,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,155,444,8,0,9,59,15,6,9,10,1,9,25,2,0,0,1,8,21,37,2,4,26,2,3,20,156,5,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,299,380,3,0,4,41,5,1,8,6,3,9,19,2,0,3,2,1,14,21,1,1,18,3,2,62,143,5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,371,375,2,1,4,47,1,2,4,5,5,7,23,2,0,1,2,1,18,22,2,1,8,0,4,33,175,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,443,402,2,0,7,45,1,1,6,5,5,9,16,4,0,0,1,4,14,12,0,2,11,0,5,106,135,2,0,3,0,1,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,515,351,2,0,7,57,0,2,6,4,7,2,14,2,0,1,0,1,7,4,0,2,3,0,3,69,146,1,0,4,0,0,0,1,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,586,364,2,0,5,58,1,2,7,5,2,6,11,0,1,1,2,6,8,6,0,1,5,0,0,78,150,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,730,319,4,0,10,48,0,2,3,2,4,3,9,2,0,0,2,2,22,3,0,1,3,0,2,72,117,0,0,4,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,872,361,5,1,4,36,0,0,4,3,5,3,12,0,0,2,0,1,10,2,0,2,9,0,0,127,127,3,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1156,334,1,0,1,49,2,1,2,1,7,1,17,2,0,3,2,2,23,3,0,2,10,0,2,107,91,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1436,383,3,0,5,64,1,3,9,2,3,4,19,0,2,0,3,5,20,6,0,2,11,0,2,141,73,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
115,1643,373,3,0,8,55,2,1,10,3,3,2,19,1,0,0,1,4,14,3,1,6,14,0,0,96,122,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1983,357,1,1,8,60,1,1,3,2,3,6,20,0,0,0,0,2,10,7,0,1,3,0,1,169,53,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2248,340,1,0,3,54,1,0,0,3,2,1,22,0,2,1,2,2,15,4,1,0,11,0,2,105,105,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2507,322,0,0,2,29,2,0,0,2,4,1,25,0,0,0,1,3,5,2,0,0,2,0,0,134,104,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2758,345,3,0,5,39,0,2,0,5,1,4,11,2,0,1,2,5,16,3,0,0,4,1,0,123,113,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,3001,377,6,0,7,49,0,1,0,2,5,5,17,1,0,1,1,5,8,2,0,2,6,0,1,145,105,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,3234,406,3,0,11,37,2,3,2,7,7,1,15,0,0,2,5,3,15,5,0,3,9,0,0,169,103,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,3458,353,1,0,4,46,2,3,1,0,6,0,15,0,0,0,3,5,12,5,0,0,4,0,0,185,59,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,3671,349,1,1,5,38,1,3,0,2,8,2,26,1,0,2,0,5,17,6,1,0,6,0,0,189,26,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
290,3773,387,0,0,11,44,3,4,1,11,16,1,35,1,0,0,0,3,9,5,0,1,8,0,1,183,43,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
300,3872,388,0,0,8,78,1,4,2,3,10,2,47,1,1,2,6,1,26,13,0,1,8,0,2,107,60,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
310,3968,404,0,0,17,55,3,5,4,12,16,1,71,3,1,2,13,5,38,15,5,0,13,0,0,51,65,2,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,4061,398,0,0,17,63,3,9,1,9,10,0,60,6,0,1,9,5,34,16,3,4,16,0,0,30,85,4,0,10,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,4152,468,1,0,24,56,2,6,0,14,15,1,83,2,0,2,5,9,34,20,2,3,92,0,0,0,0,8,0,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0
340,4240,490,1,0,27,54,7,3,3,16,13,0,75,8,0,5,8,7,23,15,1,6,77,0,0,55,69,6,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
360,4410,463,0,0,38,53,11,3,2,12,8,2,48,5,1,3,12,6,41,15,1,0,32,0,1,41,102,14,0,4,0,3,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,4575,407,1,0,26,48,11,1,6,6,13,3,93,4,0,1,3,10,36,12,2,0,18,0,0,0,0,5,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,1,1,0,0,0,0
400,4738,417,0,0,28,35,5,7,4,13,7,0,106,6,0,1,9,7,22,10,2,3,34,0,0,0,0,5,0,4,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,103,0,0,0,0,2,0,0,0
410,4819,442,0,0,34,30,9,6,0,16,19,1,105,5,0,3,11,5,30,19,2,2,41,0,1,0,0,6,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,92,1,0,0,0,0,1,0,0
420,4901,423,1,0,27,48,8,5,3,8,34,2,65,5,0,7,3,25,15,17,5,2,27,0,3,0,0,6,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0
430,4984,390,1,0,21,43,6,4,0,3,64,0,92,4,0,4,4,31,12,8,1,1,15,0,2,0,0,13,0,9,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,49,0,0,0,0,0,0,0,0
440,5067,404,1,0,16,41,7,5,0,13,57,0,84,1,1,3,5,21,9,12,15,4,21,0,0,0,0,17,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,2,0,0,0
