"sample.depths","sample.ages","upland.sum","Acer.rubrum","Ambrosia.type","Artemisia","Betula","Carya","Castanea","Cephalanthus","Cyperaceae","Ericaceae","Liquidambar","Nyssa","Ostrya.Carpinus","Platanus","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Fraxinus","Juglans","Pinus","Poaceae","Polygonum.cf..P..hydropiperoides","Itea","Asteraceae.subf..Cichorioideae","Fagus","Tsuga","Apiaceae","Amaranthaceae","Acer.saccharum.type","Myrica","Ilex","Fabaceae","Picea","Thalictrum","Abies","Vitis","Juniperus.type","Caryophyllaceae","Tilia","Cornus","Salix","Sanguisorba","Arceuthobium"
25,NA,702,2,33,1,1,8,3,3,4,8,20,390,2,1,85,7,4,2,1,1,96,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,NA,585,0,10,0,0,4,3,5,0,15,18,285,3,0,102,0,0,1,2,0,106,28,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,NA,767,0,0,0,0,5,3,2,1,12,26,465,0,0,91,1,0,0,1,0,129,25,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,NA,863,0,0,0,0,6,23,1,0,2,23,560,0,0,97,1,0,1,0,1,125,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,NA,963,0,0,0,1,5,2,8,1,1,61,660,0,0,96,2,0,2,0,0,113,3,0,4,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,NA,565,0,0,1,0,1,2,5,0,0,74,265,0,0,165,0,0,0,0,0,45,1,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,NA,380,0,0,1,0,1,0,2,1,0,65,80,0,0,203,0,0,3,0,0,21,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,NA,301,0,0,0,0,1,0,3,7,0,58,6,1,0,149,1,0,1,0,0,14,31,0,15,0,1,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0
100,NA,302,0,0,1,1,9,0,8,7,0,54,2,1,0,159,3,1,0,0,0,33,13,0,0,0,4,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0
110,NA,302,0,0,1,0,4,0,11,23,0,51,18,1,0,140,2,0,1,0,0,21,13,0,0,0,6,0,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,0
120,NA,308,0,5,0,5,9,0,0,8,0,0,0,8,0,108,8,0,1,0,0,119,8,0,0,0,0,0,0,0,0,3,0,0,22,1,2,1,0,0,0,0,0,0,0
130,NA,309,0,1,1,4,14,0,1,25,0,1,2,13,1,98,9,0,2,0,1,105,7,0,0,0,1,0,0,0,2,3,0,0,15,1,0,0,2,0,0,0,0,0,0
140,NA,306,0,2,0,6,11,0,0,13,0,0,0,10,0,75,3,0,0,0,3,146,1,0,0,0,1,0,3,0,0,4,0,0,25,0,1,0,0,1,1,0,0,0,0
150,NA,312,0,5,1,0,6,0,0,31,0,1,2,3,0,45,7,0,1,0,0,187,9,0,0,0,2,0,1,0,0,0,0,1,6,2,0,0,2,0,0,0,0,0,0
160,NA,303,0,8,1,0,4,0,0,11,0,0,1,2,1,36,3,1,0,0,0,207,11,0,0,0,0,0,0,1,0,0,0,0,14,1,1,0,0,0,0,0,0,0,0
170,16621,306,0,1,0,0,2,0,0,16,0,0,0,1,0,22,4,0,0,1,0,240,7,0,0,0,0,0,1,0,0,1,0,0,6,2,0,0,2,0,0,0,0,0,0
180,16861,311,0,3,0,1,1,0,0,18,0,0,0,5,0,16,7,1,1,0,0,235,13,0,0,0,0,0,3,1,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0
200,17342,305,0,2,0,4,0,0,0,14,0,0,0,4,0,20,4,0,0,0,0,234,15,0,0,0,0,0,1,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0
220,17823,312,0,4,0,0,4,0,0,7,0,0,0,5,0,29,6,1,0,0,0,212,15,0,0,0,0,0,6,1,0,1,0,0,17,1,0,0,3,0,0,0,0,0,0
240,18304,305,0,0,1,0,0,0,0,6,0,0,0,6,0,25,2,1,3,4,0,230,15,0,0,0,1,0,3,0,0,0,0,0,6,1,0,0,0,0,0,1,0,0,0
260,18785,311,0,0,1,2,1,0,0,7,0,0,0,4,0,16,5,1,1,0,0,239,17,0,0,0,0,0,6,0,0,0,0,0,4,1,1,0,3,0,0,0,1,1,0
280,19266,302,0,3,2,0,2,0,0,8,0,0,2,4,0,26,1,0,2,0,0,226,16,0,0,0,0,1,1,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1
300,19747,301,0,0,0,1,1,0,0,8,0,0,0,1,1,16,0,1,1,0,0,249,12,0,0,0,0,0,1,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0
320,20228,306,0,1,0,2,2,0,0,14,0,0,0,8,0,22,4,0,1,1,0,224,17,0,0,0,1,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0
340,20709,310,0,1,1,1,3,0,0,15,0,0,0,3,0,21,4,0,0,0,0,231,19,0,0,0,0,0,6,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
350,20949,303,0,2,1,0,2,0,0,10,0,0,0,5,0,15,3,1,1,2,0,249,6,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
