"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Acer.undiff.","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Corylus","Cupressaceae","Cyperaceae","Dryas.type","Dryopteris.type","Equisetum","Ericaceae","Eriocaulon","Fabaceae","Fagus","Fraxinus","Galium","Ilex","Impatiens","Isoëtes","Juglans","Larix","Liliaceae","Liriodendron","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae","Polygonum","Polypodium.type","Pontederiaceae","Populus","Potamogetonaceae","Potentilla.type","Pteridium.type","Pteridophyta.undiff.","Quercus","Ranunculaceae.undiff.","Rhamnaceae","Rhamnaceae.Vitaceae.undiff.","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Shepherdia.canadensis","Sphagnum","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus","Unknown","Viburnum"
7.5,27,0,42,3,0,135,0,76,0,0,3,0,73,0,42,0,35,0,31,0,3,42,0,0,0,7,0,7,31,0,0,7,0,7,3,0,0,0,0,3,0,0,7,0,0,3,14,0,33,0,0,87,3,0,7,0,0,0,7,24,263,0,0,0,21,21,0,0,0,3,0,0,0,7,7,7,21,0
17.5,89.5,0,8,4,0,129,2,66,0,0,30,2,33,0,28,0,57,0,32,0,0,61,0,0,0,0,0,0,4,21,0,4,0,4,0,0,0,0,0,6,0,0,2,0,0,10,2,1,33,0,0,34,0,0,0,4,0,0,0,72,324,0,0,0,0,13,0,0,0,13,2,0,0,19,4,6,25,0
22.5,127,0,23,5,0,100,0,79,0,0,23,0,20,0,19,0,23,0,42,0,0,70,0,0,0,0,0,0,19,8,0,0,0,9,0,0,0,0,0,5,0,5,0,0,0,14,5,2,58,0,0,25,0,0,0,0,0,0,0,74,418,0,0,0,5,9,0,0,0,5,0,0,0,9,5,4,9,0
32,216,0,16,8,0,160,0,20,0,0,32,0,48,0,40,0,52,0,4,0,0,5,0,0,0,0,0,4,24,8,0,8,0,0,0,0,0,0,0,16,0,0,16,0,0,12,16,4,46,0,0,16,0,0,0,0,0,0,0,40,343,0,0,4,4,4,0,8,0,4,4,4,0,12,12,4,50,0
37.5,281,0,21,0,0,144,0,10,0,0,25,0,88,0,42,0,28,0,0,0,0,42,0,0,0,7,0,0,10,7,0,7,0,0,0,0,0,0,0,0,0,0,4,4,0,14,0,7,46,0,0,0,0,0,0,0,0,0,0,49,465,0,0,0,0,0,0,0,0,0,0,0,0,21,0,7,14,0
47.4,420,0,6,3,0,128,0,10,0,0,20,0,95,0,39,0,36,0,3,0,6,26,0,0,0,3,0,0,16,26,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,10,6,3,49,0,0,3,0,3,0,0,0,0,0,29,477,0,0,0,0,0,0,0,0,6,0,0,0,16,6,0,3,3
58,594,0,20,0,0,135,0,10,0,0,10,0,70,0,30,0,35,0,0,0,0,25,0,0,0,0,0,0,15,15,0,0,5,5,0,0,0,0,0,10,0,0,0,5,0,10,0,0,57,0,0,45,0,0,0,0,0,0,0,65,434,0,0,0,5,0,0,0,0,0,0,0,0,20,0,30,25,0
68.5,783.5,0,5,12,0,124,0,0,0,0,8,0,73,0,61,0,23,0,0,0,0,46,0,0,0,0,0,0,25,18,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,14,5,4,28,0,2,10,0,0,0,0,0,0,0,76,503,0,0,0,0,0,0,0,0,5,0,0,0,25,8,13,10,0
79,982,0,20,4,0,153,2,4,0,0,18,0,91,0,43,0,32,0,2,0,7,23,0,0,0,4,0,0,23,18,0,0,0,7,0,0,0,0,2,0,0,0,2,0,0,12,7,1,59,0,0,2,0,0,2,2,0,0,0,34,409,0,0,0,14,0,0,0,0,2,2,2,0,32,2,7,11,0
94.6,1274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1371,0,6,3,0,113,0,3,0,0,6,0,100,0,42,0,29,0,0,0,6,12,0,0,0,3,0,0,29,6,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,95,0,2,3,0,0,0,0,0,0,0,32,572,0,0,0,6,0,0,0,0,0,0,0,0,6,0,3,3,0
122.6,1719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157.5,2101,0,16,1,0,114,0,0,0,0,3,0,71,0,38,0,10,0,1,0,0,35,0,0,0,3,0,0,39,13,0,3,0,15,0,0,0,0,0,0,3,0,10,0,0,3,13,0,52,0,0,6,0,0,0,0,0,0,0,16,481,0,0,0,1,0,0,0,0,0,0,0,0,22,3,0,55,0
172.5,2238,3,9,6,0,103,3,0,0,0,3,0,112,0,45,0,15,0,3,0,0,58,0,0,0,0,0,3,58,12,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,3,30,0,0,18,0,0,0,3,0,0,0,33,482,0,0,0,2,0,0,3,0,3,0,0,0,9,3,6,0,0
197.5,2464,0,0,21,0,96,0,3,0,0,3,0,51,0,9,0,9,0,0,0,6,42,0,0,0,3,0,0,81,9,0,0,0,0,6,0,0,0,0,3,0,0,6,0,0,0,6,0,60,0,0,3,0,0,0,6,3,0,0,15,516,0,0,0,3,0,0,3,0,3,0,0,0,21,0,9,15,3
222.2,2707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270.5,3268.5,0,11,6,0,116,0,6,0,0,6,0,65,0,48,0,11,0,3,0,3,28,0,0,0,0,0,0,37,11,0,0,0,9,0,0,0,0,0,3,0,0,6,3,0,6,0,0,30,0,3,14,0,0,3,6,0,3,0,31,513,3,0,0,9,0,0,3,0,6,0,3,0,25,0,17,17,0
295,3503,0,11,11,0,145,0,0,0,0,0,0,40,3,48,0,0,0,0,0,0,14,0,0,0,8,0,0,40,11,0,3,0,0,3,0,0,0,0,0,0,0,8,6,0,8,0,6,31,0,0,3,0,0,0,8,0,0,0,11,596,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,6,0
320.5,3681,0,14,3,0,129,0,3,0,0,0,0,44,3,34,0,0,0,0,0,0,24,0,0,0,0,0,0,31,27,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,3,0,61,0,0,10,0,0,0,0,0,0,0,14,578,0,0,0,7,0,0,0,0,3,0,0,3,3,3,3,10,0
354.5,3976,0,13,13,0,114,0,0,0,0,0,0,48,0,35,0,0,0,4,0,4,18,0,0,0,4,0,0,18,26,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,44,0,4,9,0,0,0,4,0,0,0,18,586,0,0,0,0,0,0,0,0,9,0,0,0,9,4,18,13,0
384.5,4361,0,22,7,0,150,0,0,0,0,11,0,34,0,48,0,7,0,0,0,0,15,0,0,0,0,0,0,19,26,0,4,0,22,0,0,0,0,0,0,0,0,21,0,0,4,0,0,32,0,0,15,0,0,0,0,0,0,0,15,579,0,4,0,0,0,0,7,0,0,4,0,0,0,4,0,11,0
409.5,4672.5,0,2,5,0,94,0,2,0,0,13,0,58,5,69,0,0,0,8,0,0,28,0,0,0,2,0,0,33,25,0,2,0,0,0,0,0,0,0,0,0,0,8,2,0,18,10,2,42,0,2,8,0,0,0,0,0,0,0,33,556,0,0,0,5,2,0,0,0,0,0,2,0,8,0,10,5,0
424.5,4823,0,11,5,0,84,0,0,0,0,8,0,52,3,57,0,0,0,0,0,5,11,0,0,0,0,0,0,33,11,0,5,0,8,0,0,0,0,0,5,0,0,5,3,0,3,5,0,31,0,0,8,0,0,0,3,0,0,5,27,598,0,0,0,5,3,0,0,0,0,0,3,3,16,3,14,14,0
461.5,5135,0,11,11,0,86,0,0,0,0,0,0,43,0,40,0,3,0,3,3,3,8,0,0,3,3,0,3,46,32,0,3,0,8,3,0,0,0,0,3,0,0,6,0,0,8,3,0,34,0,3,21,0,0,3,3,0,0,0,17,582,0,0,0,0,11,0,0,0,3,3,0,0,8,6,13,19,0
486.5,5367,0,8,14,0,94,0,3,0,0,3,0,65,0,76,0,3,0,0,0,0,3,0,0,0,0,0,3,54,11,0,3,0,3,5,0,0,0,0,3,0,0,0,5,0,5,5,3,43,0,0,30,0,0,0,8,0,0,0,22,497,0,0,0,0,0,0,0,0,3,8,3,0,38,3,11,3,0
511.5,5622,0,15,2,0,119,0,2,0,0,4,0,37,0,35,0,6,0,7,0,0,6,0,0,0,0,0,0,31,7,0,0,0,6,4,0,0,6,0,0,0,2,4,7,0,7,2,0,41,0,6,6,0,0,0,0,0,0,0,42,590,0,0,0,0,0,0,0,0,0,0,0,0,29,2,11,7,0
542.5,5918,0,24,5,0,138,0,0,0,0,2,0,55,0,31,0,16,0,3,0,0,7,0,0,0,2,0,0,43,41,0,0,0,9,2,0,0,0,0,5,0,0,9,2,0,5,10,1,40,0,0,7,0,0,0,2,0,0,0,16,515,0,0,0,0,0,0,0,0,2,0,2,0,36,2,2,12,2
566.5,6097.5,0,10,15,0,147,2,0,0,3,5,0,31,2,26,0,5,0,2,0,5,5,0,0,0,0,0,0,54,13,0,0,0,10,0,0,0,0,2,7,0,0,2,10,0,5,2,0,41,0,28,7,0,0,0,2,0,0,0,21,504,0,0,2,0,0,0,0,0,0,2,0,0,23,0,13,10,0
585.5,6194,0,0,17,0,97,0,0,0,0,3,0,38,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7,0,30,0,0,0,0,0,0,0,0,0,0,3,657,0,0,7,0,0,0,0,0,0,0,0,0,45,0,7,14,0
606,6293,0,8,3,0,138,0,9,0,3,5,0,61,2,17,0,2,0,8,0,6,5,0,0,0,0,0,0,47,26,0,2,0,58,5,0,0,2,0,2,0,0,6,6,0,14,8,0,30,0,5,8,0,0,2,0,0,0,0,31,507,0,0,2,0,0,0,5,0,0,3,2,0,34,2,28,0,0
