"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Corylus","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.undiff.","Larix","Ostrya.Carpinus","Picea","Pinus.undiff.","Platanus","Quercus","Rumex","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus.incana","Alnus.viridis","Juniperus.Thuja","Populus","Poaceae","Pinus.strobus","Salix","Taxus","Ericales","Acer.undiff.","Celtis","Myrica","Juglans.cinerea","Juglans.nigra","Impatiens","Rosaceae","Ilex.Nemopanthus","Rubiaceae.undiff.","Liquidambar","Brassicaceae","Castanea","Thalictrum","Sarcobatus.vermiculatus","Ephedra","Cephalanthus","Apiaceae","Shepherdia.canadensis","Cornus","Polygonum.viviparum"
905,0,1019,8,21,7,1,509,1,2,1,10,27,4,2,7,19,27,148,6,37,1,1,29,2,4,28,1,15,4,4,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
912,126,1069,11,16,0,0,545,1,1,2,6,8,2,3,9,8,24,163,2,40,0,1,41,1,9,15,1,27,2,2,126,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,271,1031,33,20,0,0,346,0,1,2,8,5,1,0,15,20,23,281,2,26,0,1,37,1,14,24,0,52,1,5,108,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
928,418,998,3,13,1,5,531,1,1,1,2,12,14,2,7,26,13,132,1,36,0,3,21,1,16,35,0,10,4,8,93,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
936,566,939,12,17,4,2,308,0,5,5,14,7,6,1,7,10,28,255,0,35,0,0,41,1,13,33,1,31,2,6,79,10,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944,717,922,7,36,1,3,381,0,0,1,10,25,6,1,6,9,12,136,3,17,0,1,100,0,2,16,1,62,3,4,71,0,4,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
952,869,1007,14,21,1,5,406,2,0,0,7,16,4,4,5,14,17,190,4,37,0,1,109,0,18,27,1,17,2,6,66,0,1,2,1,0,5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
960,1022,1034,8,33,1,1,397,2,1,1,5,20,8,0,6,10,5,190,1,27,0,1,108,2,24,10,1,40,1,3,120,2,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
968,1177,1105,5,50,2,2,366,2,0,0,6,23,1,0,6,7,12,209,2,29,0,0,215,1,9,18,0,51,3,3,77,1,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
976,1334,1042,7,20,1,4,396,2,0,0,5,14,7,6,5,14,19,162,1,34,0,0,158,1,14,15,0,25,2,2,115,0,4,0,2,0,2,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0
