"sample.depths","sample.ages","Abies","Betula","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea","Platanus","Quercus","Rumex","Salix","Thalictrum","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Acer","Ambrosia","Myrica","Populus","Poaceae","Fraxinus.nigra","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Artemisia","Celtis","Cornus","Fraxinus.americana","Tilia","Ephedra.nevadensis.type","Amaranthaceae","Ilex","Lamiaceae","Humulus","Xanthium","Carya","Ephedra.torreyana.type","Morus","Shepherdia.canadensis","Castanea","Plantago.lanceolata","Polygonum","Vitis","Juglans.nigra","Galium","Liquidambar","Fabaceae","Ribes","Rosaceae"
1,-10,0.0276923076923077,0.184615384615385,0.00923076923076923,0.0153846153846154,0.0153846153846154,0.00307692307692308,0.00615384615384615,0.00307692307692308,0.00923076923076923,0.0153846153846154,0.0246153846153846,0.00307692307692308,0.0184615384615385,0.00307692307692308,0.00307692307692308,0.00307692307692308,0.0246153846153846,0.00307692307692308,0.00923076923076923,0.0461538461538462,0.0123076923076923,0.0307692307692308,0.00307692307692308,0.00923076923076923,0.00923076923076923,0.0153846153846154,0.123076923076923,0.369230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,22,0.00609756097560976,0.170731707317073,0.00304878048780488,0.0213414634146341,0.0121951219512195,0,0.0182926829268293,0,0.00914634146341463,0.00914634146341463,0.024390243902439,0,0.0457317073170732,0,0,0,0.0121951219512195,0.00304878048780488,0.0152439024390244,0.0396341463414634,0.00304878048780488,0.0365853658536585,0.00304878048780488,0.00609756097560976,0.00304878048780488,0.0182926829268293,0.097560975609756,0.426829268292683,0.00609756097560976,0.00304878048780488,0.00304878048780488,0.00304878048780488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,61,0.0172413793103448,0.213793103448276,0.00344827586206897,0.0344827586206897,0.0103448275862069,0,0,0,0.00689655172413793,0,0.0413793103448276,0.00344827586206897,0.0137931034482759,0,0,0,0.0103448275862069,0.00344827586206897,0.0172413793103448,0.0379310344827586,0,0.0275862068965517,0,0.00689655172413793,0.00689655172413793,0,0.0517241379310345,0.475862068965517,0,0,0,0.00344827586206897,0.00689655172413793,0.00344827586206897,0.00344827586206897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,101,0.0133333333333333,0.223333333333333,0.02,0.03,0.0133333333333333,0,0.01,0,0.00666666666666667,0.00666666666666667,0.0233333333333333,0,0.01,0,0,0,0.00333333333333333,0.00333333333333333,0.00666666666666667,0.04,0.00333333333333333,0.0266666666666667,0,0.00333333333333333,0.00666666666666667,0.00666666666666667,0.06,0.453333333333333,0.00333333333333333,0,0,0.0133333333333333,0,0,0,0.00666666666666667,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,152,0.0194805194805195,0.162337662337662,0.0064935064935065,0.0454545454545455,0.00324675324675325,0,0.00324675324675325,0.00324675324675325,0.00974025974025974,0.00324675324675325,0.0487012987012987,0,0.012987012987013,0,0.00324675324675325,0,0.0194805194805195,0.00324675324675325,0.012987012987013,0.0324675324675325,0,0.0064935064935065,0,0.0194805194805195,0.00974025974025974,0.025974025974026,0.0779220779220779,0.461038961038961,0,0,0,0.00324675324675325,0,0,0.00324675324675325,0.00324675324675325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,216,0.0110192837465565,0.176308539944904,0.00826446280991736,0.0137741046831956,0,0,0.00550964187327824,0,0.0165289256198347,0.00550964187327824,0.0358126721763085,0.00275482093663912,0.0330578512396694,0,0.00550964187327824,0,0.0247933884297521,0.00275482093663912,0.0165289256198347,0.0192837465564738,0.0137741046831956,0.00550964187327824,0,0.0110192837465565,0.00275482093663912,0.00826446280991736,0.0771349862258953,0.490358126721763,0.00275482093663912,0,0,0.00826446280991736,0,0,0,0,0,0.00275482093663912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,344,0.0204678362573099,0.157894736842105,0.00292397660818713,0.0380116959064327,0.00584795321637427,0,0.0116959064327485,0,0.0116959064327485,0.0116959064327485,0.0292397660818713,0.00292397660818713,0.0233918128654971,0,0,0,0.0233918128654971,0,0.00584795321637427,0.0409356725146199,0.0087719298245614,0,0.00292397660818713,0.0087719298245614,0.00292397660818713,0.00584795321637427,0.128654970760234,0.450292397660819,0,0,0,0,0,0,0,0.00584795321637427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,473,0.0174418604651163,0.183139534883721,0.00872093023255814,0.0406976744186047,0.00290697674418605,0,0.0174418604651163,0,0.0116279069767442,0.00290697674418605,0.0319767441860465,0.00290697674418605,0.0174418604651163,0,0,0,0.0290697674418605,0,0.00872093023255814,0.0232558139534884,0.00290697674418605,0.00290697674418605,0,0.0203488372093023,0,0.0261627906976744,0.0494186046511628,0.48546511627907,0.00290697674418605,0,0,0,0,0,0,0.00581395348837209,0,0.00290697674418605,0.00290697674418605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,601,0.0232558139534884,0.201550387596899,0.0129198966408269,0.0439276485788114,0.00775193798449612,0,0.00516795865633075,0,0.0180878552971576,0.00516795865633075,0.0284237726098191,0.00516795865633075,0.0232558139534884,0,0,0,0.0335917312661499,0,0.0180878552971576,0.0568475452196382,0.0129198966408269,0,0,0.00516795865633075,0.00258397932816537,0.00775193798449612,0.147286821705426,0.335917312661499,0,0,0,0,0,0,0,0,0,0,0,0.00258397932816537,0.00258397932816537,0,0,0,0,0,0,0,0,0,0,0,0
65,729,0.00589970501474926,0.165191740412979,0,0.0412979351032448,0.00589970501474926,0,0.0117994100294985,0,0.00589970501474926,0.00589970501474926,0.0501474926253687,0,0.0265486725663717,0,0.00294985250737463,0,0.0412979351032448,0,0.0176991150442478,0.0530973451327434,0.0117994100294985,0,0.00294985250737463,0.0088495575221239,0,0.00294985250737463,0.115044247787611,0.415929203539823,0.00294985250737463,0,0,0,0.00294985250737463,0,0,0,0,0,0,0.00294985250737463,0,0,0,0,0,0,0,0,0,0,0,0,0
