"sample.depths","sample.ages","Acer.rubrum","Ambrosia.type","Betula","Carya","Castanea","Cyperaceae","Fagus","Herbs.undiff.","Juglans.nigra","Nyssa","Quercus","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Alnus","Pinus","Poaceae","Plantago","Polygonum","Rubiaceae","Fraxinus.nigra.type","Ostrya.Carpinus","Picea","Acer.saccharum.type","Myrica","Artemisia","Liquidambar","Iva.annua.type","Populus","Platanus","Corylus","Juglans.cinerea","Rhamnaceae","Abies","Cupressaceae","Salix","Caprifoliaceae","Ilex","Thalictrum","Ranunculus","Potentilla.type","Anacardiaceae","Lamiaceae","Sanguisorba","Cornus","Rumex","Brassicaceae","Larix","Shepherdia","Polygonaceae.undiff.","Caryophyllaceae","Asteraceae.subf..Cichorioideae","Shrubs.undiff.","Onagraceae","Ericaceae","Campanulaceae","Amaranthaceae"
15,10,0.016025641025641,0.0641025641025641,0.0256410256410256,0.0448717948717949,0.016025641025641,0.0576923076923077,0.00641025641025641,0.016025641025641,0.00961538461538462,0.00961538461538462,0.44551282051282,0.00320512820512821,0.00961538461538462,0.00961538461538462,0.00641025641025641,0.00320512820512821,0.00320512820512821,0.182692307692308,0.0224358974358974,0.00641025641025641,0.00320512820512821,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,155,0.0152905198776758,0.0244648318042813,0.00611620795107034,0.0336391437308868,0.0244648318042813,0.0764525993883792,0,0.0428134556574924,0,0.0091743119266055,0.474006116207951,0,0.018348623853211,0,0.00305810397553517,0,0.00305810397553517,0.17737003058104,0.0275229357798165,0,0.00305810397553517,0.0458715596330275,0.0091743119266055,0.00305810397553517,0.00305810397553517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,300,0.00923076923076923,0.0123076923076923,0.00307692307692308,0.0246153846153846,0.0492307692307692,0.116923076923077,0.00615384615384615,0.0430769230769231,0.00307692307692308,0,0.433846153846154,0,0.00615384615384615,0.00307692307692308,0,0,0.00307692307692308,0.178461538461538,0.0276923076923077,0.00307692307692308,0.00307692307692308,0.0430769230769231,0.00307692307692308,0.0184615384615385,0,0.00307692307692308,0.00615384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1400,0.0125391849529781,0.00313479623824451,0.0125391849529781,0.0156739811912226,0.0595611285266458,0.0846394984326019,0.00626959247648903,0.00626959247648903,0.00313479623824451,0.00313479623824451,0.457680250783699,0,0.00940438871473354,0.00940438871473354,0,0,0.00940438871473354,0.150470219435737,0.0626959247648903,0,0,0.0532915360501567,0.00940438871473354,0.0125391849529781,0,0,0.0125391849529781,0.00313479623824451,0.00313479623824451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2500,0.00934579439252336,0.00934579439252336,0.0124610591900312,0.0342679127725857,0.059190031152648,0.0467289719626168,0,0.0249221183800623,0.00934579439252336,0,0.43613707165109,0,0.00623052959501558,0.0155763239875389,0.00623052959501558,0,0.00623052959501558,0.190031152647975,0.0623052959501558,0,0.00311526479750779,0.059190031152648,0,0.00311526479750779,0,0,0,0,0,0.00311526479750779,0.00311526479750779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,3600,0.00632911392405063,0.00632911392405063,0.00316455696202532,0.0411392405063291,0.0316455696202532,0.0854430379746835,0.00316455696202532,0.00316455696202532,0.00316455696202532,0.00316455696202532,0.506329113924051,0,0.00316455696202532,0.00632911392405063,0.00316455696202532,0,0.0126582278481013,0.158227848101266,0.0664556962025316,0,0.00316455696202532,0.0474683544303797,0,0.00316455696202532,0,0.00316455696202532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,4150,0.0120772946859903,0.00483091787439614,0.0072463768115942,0.0217391304347826,0.00483091787439614,0.202898550724638,0.00966183574879227,0,0,0.0072463768115942,0.458937198067633,0,0.0072463768115942,0,0,0,0.00483091787439614,0.181159420289855,0.0265700483091787,0,0.00483091787439614,0.0338164251207729,0.00483091787439614,0.00241545893719807,0,0,0,0,0,0,0.00241545893719807,0.00241545893719807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,4699,0.0212121212121212,0.00303030303030303,0.00606060606060606,0.0181818181818182,0.0424242424242424,0.139393939393939,0,0,0,0,0.378787878787879,0,0.00909090909090909,0,0.00606060606060606,0.00606060606060606,0,0.206060606060606,0.0545454545454545,0,0.00909090909090909,0.090909090909091,0.00303030303030303,0.00606060606060606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,5973,0.00319488817891374,0.00319488817891374,0.012779552715655,0.0287539936102236,0.0223642172523962,0.086261980830671,0.00958466453674121,0,0,0.00319488817891374,0.5814696485623,0,0.0287539936102236,0.00319488817891374,0,0.00319488817891374,0.00638977635782748,0.105431309904153,0.0447284345047923,0,0.00638977635782748,0.0383386581469649,0.00319488817891374,0.00638977635782748,0,0.00319488817891374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,6610,0.00769230769230769,0.00256410256410256,0.0153846153846154,0.0384615384615385,0.0153846153846154,0.0846153846153846,0.0128205128205128,0.0153846153846154,0,0.0153846153846154,0.553846153846154,0,0.0179487179487179,0.0153846153846154,0.0102564102564103,0.00256410256410256,0.00256410256410256,0.0538461538461538,0.0717948717948718,0,0.0256410256410256,0.0282051282051282,0,0.00256410256410256,0,0,0,0,0.00512820512820513,0,0,0.00256410256410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
