"sample.depths","sample.ages","Acer","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Betula","Castanea","Celtis","Cornus","Corylus","Cupressaceae","Cyperaceae","Ephedra","Ericaceae","Fraxinus","Herbs.undiff.","Ilex","Juglans","Liliaceae","Malvaceae","Myrica","Nyssa","Onagraceae","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Plantago","Poaceae","Populus","Quercus","Rhus","Salix","Sparganium.type","Tilia","Typha.latifolia","Ulmus","Unknown"
5,11,0,0,0,3,1,0,0,10,0,0,0,0,0,2,12,0,0,5,0,0,0,0,0,0,11,0,0,0,6,0,0,118,0,30,0,0,0,0,0,0,2
15,1022,0,0,0,17,0,2,0,35,0,0,0,0,0,4,19,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,66,9,3,0,0,1,0,1,2,2
25,2032,0,0,0,3,1,0,0,19,0,0,0,0,0,2,15,0,0,6,0,0,0,0,0,0,2,0,0,0,1,0,0,116,0,28,0,0,0,0,0,0,7
35,3043,0,0,0,9,0,1,0,14,0,0,0,0,0,0,18,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,105,0,37,0,0,0,0,0,0,10
45,4053,0,0,0,7,0,2,0,30,0,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,3,0,0,0,1,0,0,100,1,28,0,0,0,0,0,0,12
55,4396,0,0,0,11,0,0,0,33,0,0,0,0,0,0,29,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,84,0,32,0,0,0,0,1,0,3
65,4738,0,0,0,10,2,2,0,20,0,0,0,0,0,0,17,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,95,0,20,0,0,1,0,2,0,2
75,5081,0,0,2,6,5,1,0,22,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,127,0,20,0,0,0,0,0,0,9
85,5423,0,0,0,9,4,0,0,29,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,125,0,10,0,0,0,0,0,0,8
95,5766,0,1,0,13,3,3,0,37,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,83,2,17,0,0,0,0,0,0,21
