"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Larix","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae.undiff.","Juniperus.type","Amaranthaceae","Poaceae","Abies.balsamea","Acer.saccharum","Morus.rubra.type","Myrica.gale","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Plantaginaceae","Rhamnus.cathartica","Rumex.type","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Salix.undiff.","Ilex.Nemopanthus.undiff.","Fraxinus.pennsylvanica.type","Acer.cf..A..pensylvanicum","Carya.ovata","Rhamnus.alnifolia.R..frangula","Ostrya.Carpinus","Picea.glauca.type","Taxus","Tilia","Corylus.cornuta","Nemopanthus.mucronatus","Juglans.cinerea","Populus.balsamifera.type","Lamiaceae","Potentilla.palustris.type","Acer.saccharinum","Prunus.pensylvanica","Rubiaceae","Viburnum.nudum","Sambucus","Thalictrum","Castanea.dentata","Campanula.type","Cornus.canadensis","Acer.pensylvanicum","Polygonum.lapathifolium.type","cf..Taxus","Impatiens","Rhamnus.Vitis.undiff.","Shepherdia.canadensis","Urtica.type","Prunus.undiff.","Fabaceae","cf..Oxyria.digyna","Saxifragaceae","Ranunculaceae.undiff.","Brassicaceae","Salix.vestita.type","Polygonum.viviparum","Salix.herbacea.type","Armeria.maritima","Asteraceae.undiff.","Onagraceae"
5,41,616,3,2,36,8,32,1,337,2,6,1,15,1,1,14,32,2,17,4,5,1,4,1,18,6,7,1,1,8,1,21,1,1,3,1,11,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,203,490,2,0,10,2,2,0,331,0,4,0,22,2,3,8,7,0,15,2,6,0,0,0,2,0,8,0,0,22,0,20,0,0,0,0,15,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,405,749,2,2,5,4,0,1,419,0,17,1,16,6,7,33,31,5,20,2,10,0,6,2,3,5,21,0,6,1,0,28,0,0,0,6,42,25,6,0,2,0,3,0,4,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,608,563,3,0,14,0,1,4,331,0,9,4,32,6,3,8,11,0,14,0,7,0,0,1,1,0,17,0,0,16,0,44,0,0,0,0,30,3,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,811,478,2,0,11,1,0,0,272,0,6,2,40,6,3,4,10,0,9,0,5,0,2,1,0,2,11,0,0,16,0,16,0,0,0,0,33,3,1,0,2,0,4,0,13,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1013,434,0,0,10,0,1,0,308,0,0,1,20,5,1,1,6,0,6,0,4,5,0,0,4,4,8,0,1,5,0,23,0,0,0,0,14,1,0,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1216,397,0,2,4,3,2,0,221,0,8,2,18,2,5,2,24,7,14,0,4,3,1,0,1,0,15,0,5,19,0,5,0,0,0,1,17,2,0,0,0,0,0,0,3,0,0,1,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,1419,790,2,4,1,15,0,0,417,0,15,0,35,8,8,7,49,2,18,2,12,0,0,0,6,23,30,0,9,8,0,42,0,0,0,1,36,5,3,0,3,0,4,1,9,0,1,4,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,1621,504,2,1,6,6,1,2,283,0,11,1,32,5,3,5,30,2,9,0,5,1,5,0,4,6,9,0,9,3,0,25,0,0,0,4,16,2,1,0,3,0,0,0,1,0,0,0,6,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,1824,485,3,0,6,0,2,0,315,0,0,0,29,7,4,2,8,0,19,0,4,3,0,0,4,0,13,0,2,10,0,27,0,0,0,0,20,1,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,2027,485,0,4,1,9,0,1,239,0,13,1,27,2,1,14,26,1,13,2,5,1,3,0,7,12,16,0,4,2,0,27,0,0,0,0,24,16,5,1,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,2229,778,5,0,14,2,2,0,459,0,12,2,45,8,3,12,15,3,13,1,11,0,0,1,6,0,23,0,3,19,0,74,0,0,0,0,32,1,0,1,4,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,2432,384,0,1,0,10,1,1,156,1,22,0,10,5,0,6,17,1,21,2,5,0,5,0,1,0,5,0,12,4,0,60,0,0,0,4,20,0,1,0,1,0,0,0,3,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,2635,802,3,4,6,7,0,1,396,0,15,1,60,7,4,1,45,4,24,1,9,0,4,0,4,23,16,0,6,27,0,55,0,0,0,2,46,2,8,0,3,0,2,0,3,0,2,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
