"sample.depths","sample.ages","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Artemisia","Betula","Ostrya.Carpinus","Carya","Caryophyllaceae","Celtis","Cephalanthus","Chenopodiaceae.Amaranthaceae","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Corylus","Cyperaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Poaceae","Juglans.cinerea","Juglans.nigra","Lamiaceae","Liquidambar","Morus","Nyssa","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Polygonum.lapathifolium","Populus","Quercus","Rosaceae","Rumex","Salix","Thalictrum","Juniperus.Thuja","Tilia","Tsuga","Ulmus","Apiaceae","Viburnum"
5,47,0,0,0.00531914893617021,0,0.127659574468085,0.0141843971631206,0.00886524822695036,0.00709219858156028,0.00531914893617021,0,0.00177304964539007,0,0.0106382978723404,0,0.00531914893617021,0,0.0673758865248227,0.00886524822695036,0.00354609929078014,0,0.324468085106383,0.00354609929078014,0.00531914893617021,0.00354609929078014,0,0.00177304964539007,0.00354609929078014,0.00177304964539007,0.00531914893617021,0.0336879432624113,0,0.00531914893617021,0,0.00354609929078014,0.308510638297872,0.00177304964539007,0.00531914893617021,0.00531914893617021,0,0,0,0,0.0195035460992908,0.00177304964539007,0
15,208,0,0,0.00345423143350604,0.00172711571675302,0.117443868739206,0.0103626943005181,0.0120898100172712,0.00172711571675302,0.0207253886010363,0,0.00172711571675302,0,0.00863557858376511,0,0.00690846286701209,0,0.134715025906736,0.00690846286701209,0.00518134715025907,0,0.302245250431779,0.00172711571675302,0.00345423143350604,0,0,0.00172711571675302,0,0.0103626943005181,0.00518134715025907,0.0345423143350604,0,0.0103626943005181,0,0.00172711571675302,0.265975820379965,0,0.00172711571675302,0.00690846286701209,0,0,0,0.00518134715025907,0.0155440414507772,0.00172711571675302,0
35,529,0,0,0.00705882352941176,0.00235294117647059,0.235294117647059,0.0188235294117647,0.00705882352941176,0.00705882352941176,0,0,0.00235294117647059,0.00235294117647059,0.0282352941176471,0.00235294117647059,0.00705882352941176,0,0.0494117647058823,0,0.0117647058823529,0,0.171764705882353,0,0,0,0.00235294117647059,0.00470588235294118,0,0.00235294117647059,0,0.0117647058823529,0.00705882352941176,0.00235294117647059,0.00235294117647059,0.00470588235294118,0.367058823529412,0,0.00705882352941176,0.0235294117647059,0,0,0,0,0.0117647058823529,0,0
45,689,0.0015527950310559,0.0031055900621118,0.0077639751552795,0,0.139751552795031,0.0108695652173913,0.015527950310559,0.0062111801242236,0.0186335403726708,0.0015527950310559,0.0031055900621118,0.0031055900621118,0.0093167701863354,0,0.0062111801242236,0.0015527950310559,0.0745341614906832,0.0062111801242236,0.0062111801242236,0,0.293478260869565,0.0015527950310559,0.0031055900621118,0,0,0,0,0.0124223602484472,0,0.0279503105590062,0,0.0031055900621118,0,0.0015527950310559,0.304347826086957,0,0,0.0170807453416149,0,0,0,0.0015527950310559,0.0186335403726708,0,0
55,850,0,0,0.0074487895716946,0.00558659217877095,0.134078212290503,0.0074487895716946,0.0074487895716946,0.00931098696461825,0.00558659217877095,0,0.00186219739292365,0,0.00558659217877095,0,0.0111731843575419,0,0.104283054003724,0.0130353817504655,0.00558659217877095,0.00186219739292365,0.2756052141527,0,0.00186219739292365,0,0,0,0,0.0111731843575419,0.00558659217877095,0.0260707635009311,0,0.00558659217877095,0,0.00186219739292365,0.31098696461825,0.00186219739292365,0.00558659217877095,0.00931098696461825,0,0,0,0,0.0242085661080074,0,0
70,1091,0,0,0.0053475935828877,0.0053475935828877,0.122994652406417,0.0071301247771836,0,0,0.0196078431372549,0,0,0.0017825311942959,0.0053475935828877,0,0.0071301247771836,0.0017825311942959,0.176470588235294,0.0089126559714795,0,0,0.213903743315508,0.0017825311942959,0.0017825311942959,0,0.0017825311942959,0,0,0.0196078431372549,0.0053475935828877,0.0855614973262032,0,0,0,0.0017825311942959,0.279857397504456,0,0,0.0017825311942959,0.0017825311942959,0,0,0,0.0231729055258467,0,0
100,1572,0.00182815356489945,0,0.00548446069469835,0.00182815356489945,0.0109689213893967,0.00731261425959781,0.0109689213893967,0.00548446069469835,0.0109689213893967,0,0,0.00182815356489945,0,0.00182815356489945,0.0109689213893967,0.00182815356489945,0.0457038391224863,0.0164533820840951,0.00548446069469835,0,0.330895795246801,0,0.00182815356489945,0.00182815356489945,0.00548446069469835,0,0,0.0274223034734918,0.020109689213894,0.137111517367459,0,0.0127970749542962,0.00182815356489945,0.00731261425959781,0.277879341864717,0,0,0.0036563071297989,0.0036563071297989,0,0,0.00182815356489945,0.0255941499085923,0,0.00182815356489945
120,1893,0,0,0.0068649885583524,0.0022883295194508,0.0091533180778032,0.011441647597254,0.0091533180778032,0.0068649885583524,0.0137299771167048,0,0,0,0,0,0.0045766590389016,0.0022883295194508,0.0297482837528604,0.0274599542334096,0.0068649885583524,0,0.221967963386728,0.0045766590389016,0.0068649885583524,0.0022883295194508,0.0022883295194508,0,0,0.0617848970251716,0.0137299771167048,0.155606407322654,0,0.011441647597254,0,0.0022883295194508,0.336384439359268,0,0,0.0045766590389016,0,0,0.0022883295194508,0.0045766590389016,0.0366132723112128,0.0022883295194508,0
137.5,NA,0.00239234449760766,0,0.0191387559808612,0.00478468899521531,0.00717703349282297,0.00717703349282297,0,0.0143540669856459,0.0239234449760766,0,0,0,0.00239234449760766,0,0.00239234449760766,0,0.0287081339712919,0.0119617224880383,0.0215311004784689,0,0.155502392344498,0.00239234449760766,0,0.00239234449760766,0.00478468899521531,0,0,0.11244019138756,0.0143540669856459,0.169856459330144,0,0.00956937799043062,0,0.0143540669856459,0.337320574162679,0,0,0.00239234449760766,0.00478468899521531,0.00478468899521531,0.00239234449760766,0.00478468899521531,0.0119617224880383,0,0
