"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Larix","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Poaceae","Onagraceae","Corylus.cornuta","Pinus.banksiana.type","Pinus.strobus","Picea.undiff.","Salix.undiff.","Fagus","Rosaceae.undiff.","Acer.saccharum","Tsuga.canadensis","Rubus.chamaemorus","Juniperus.communis.Thuja.occidentalis.type","Asteraceae.subf..Cichorioideae","Viburnum","Myrica.gale","Ranunculaceae","Carya.ovata","Potentilla.palustris.type","Picea.glauca.type","cf..Oxyria.digyna","Brassicaceae","Populus.balsamifera.type","Fraxinus.nigra.type","Populus.tremuloides.type","Juglans.cinerea","Salix.herbacea.type","Amaranthaceae","Ilex.Nemopanthus","Caryophyllaceae","Fabaceae","Taxus","Fraxinus.americana.type"
10,565,508,1,102,2,4,166,41,6,7,1,93,12,1,1,2,3,10,1,2,11,1,37,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,848,423,2,73,0,3,153,35,6,4,0,112,2,0,2,0,2,3,0,1,11,2,8,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1414,572,0,103,0,3,168,38,4,3,0,130,5,0,1,0,1,4,0,0,12,0,97,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1979,882,4,57,2,5,203,54,17,6,0,320,6,1,0,1,0,9,0,0,25,0,160,7,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2093,564,0,105,0,4,152,22,3,0,0,210,4,0,0,0,0,7,0,0,13,0,37,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2223,563,4,70,0,5,106,11,5,2,0,194,3,0,0,2,0,2,0,0,8,4,143,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2385,625,1,176,1,2,179,25,7,0,0,136,3,2,1,0,3,4,0,0,10,1,70,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2499,565,0,121,0,4,147,19,5,0,0,208,2,0,0,1,1,4,0,0,9,0,39,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
75,2629,611,0,176,0,2,150,8,8,2,0,117,4,1,0,0,3,9,0,0,7,0,121,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
85,2792,524,2,139,1,4,168,10,4,1,0,158,1,0,2,0,0,8,0,1,9,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
92,2906,545,1,187,0,3,152,12,3,0,0,124,2,0,1,0,0,7,0,0,5,0,46,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3190,654,0,229,0,3,138,16,2,2,0,146,2,0,1,0,2,3,0,1,4,0,103,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
107,3519,628,0,285,0,1,145,5,4,0,0,118,3,0,1,0,1,7,0,0,10,0,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
115,3895,618,0,277,0,1,106,5,3,0,1,168,1,2,1,0,0,0,0,1,1,0,46,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,4365,670,1,258,1,1,132,3,2,1,0,172,1,1,0,0,1,2,0,0,1,0,85,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
135,4835,808,4,387,1,2,202,9,6,4,0,125,0,1,1,0,1,3,1,2,7,2,44,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
142,5165,955,3,447,0,0,347,15,12,5,0,85,0,0,2,0,0,10,1,0,2,1,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
150,5541,817,0,379,0,1,349,16,15,4,0,14,0,0,5,0,1,8,0,0,7,1,6,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
155,5776,1273,0,683,0,3,442,28,15,2,0,40,4,2,2,0,0,14,0,0,13,1,11,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
160,6011,856,2,464,0,3,290,12,4,1,0,49,3,1,1,0,2,8,0,0,5,2,3,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,NA,1170,7,205,2,11,756,79,7,1,0,26,3,0,1,0,2,6,0,0,18,0,9,22,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,8,0,0,1,0,1,0,0,0
170,NA,400,2,48,2,6,114,59,3,1,0,43,0,0,0,0,3,64,0,0,1,0,4,41,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,1,2,0,0
175,NA,410,0,87,0,23,49,17,0,0,1,63,13,0,13,0,3,18,0,0,88,3,15,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,3,0,0,0,1,1
