"sample.depths","sample.ages","Acer","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Castanea","Cerealia","Corylus","Cupressaceae","Fagus","Fraxinus","Herbs.undiff.","Indeterminable","Juglans","Liquidambar","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Quercus","Rosaceae","Rumex","Salix","Tilia","Tsuga","Ulmus","Unknown"
1,-17,3,45,0,15,0,0,34,8,1,0,0,0,6,6,14,18,0,1,6,0,0,1,13,1,0,16,89,7,4,0,0,0,1,9
5,-4,4,36,0,19,0,0,50,4,3,0,0,0,4,4,13,17,1,0,8,0,0,1,16,2,0,31,81,6,5,0,0,2,3,7
9,9,4,42,2,24,0,0,30,7,9,0,0,0,10,5,12,16,0,0,7,2,0,0,15,2,0,23,78,2,10,1,0,2,3,7
13,21,2,49,0,19,0,0,20,8,2,1,4,3,8,0,9,9,0,0,3,2,0,5,17,2,0,25,82,2,18,0,0,3,4,8
17,34,4,41,0,19,0,0,20,2,1,0,1,1,9,3,15,9,0,0,9,0,0,2,17,2,1,27,70,0,19,2,0,6,1,15
21,47,1,62,0,27,0,0,22,4,2,0,1,1,5,2,17,10,0,1,5,2,0,1,9,0,0,20,84,2,24,1,0,2,1,5
25,59,2,37,0,21,1,0,19,6,2,0,0,0,4,2,16,13,0,1,6,3,0,2,16,2,1,40,86,0,21,0,0,3,0,9
29,72,6,52,0,27,0,0,30,7,1,0,0,0,0,2,13,12,0,0,4,1,1,0,18,0,3,30,70,5,20,0,0,5,2,10
33,85,6,26,0,14,0,0,31,6,2,1,0,0,6,1,4,12,3,1,6,0,1,3,22,0,0,46,71,5,18,0,0,6,0,7
37,98,5,61,0,18,0,0,17,7,5,0,0,0,5,0,11,6,0,0,1,2,0,2,15,0,1,38,71,5,22,0,0,3,2,7
41,110,3,29,2,14,1,0,24,7,5,0,0,0,12,3,9,15,0,0,4,1,1,0,16,1,1,20,100,3,24,0,0,5,0,4
43,117,8,21,0,13,0,0,18,7,2,0,0,0,4,1,5,3,1,0,0,1,1,0,19,0,2,21,83,0,11,0,0,8,0,5
