"sample.depths","sample.ages","Abies","Acer.negundo","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.spicatum","Adiantum","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.undiff.","Betula","Botrychium","Brasenia.schreberi","Brassicaceae","Cannabaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cerealia","Clethra","Cornus","Corylus","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum.type","Dryas.type","Equisetum","Ericaceae.undiff.","Eriocaulon","Fabaceae","Fagus","Filicopsida.undiff.","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Galium","Geranium","Geum.type","Huperzia.lucidula","Huperzia.selago","Ilex","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Kalmia","Lamiaceae","Larix","Liliaceae","Liquidambar","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Oxyria.digyna","Picea","Pinus.subg..Strobus","Pinus.undiff.","Plantago.lanceolata","Plantago.media","Platanus","Poaceae.undiff.","Polygonaceae.undiff.","Polypodium.type","Pontederiaceae","Populus","Portulacaceae","Potamogetonaceae","Potentilla.type","Primulaceae","Prunus.Sorbus","Pteridium.type","Quercus","Ranunculus","Rhus","Rosaceae.undiff.","Rubus","Rumex","Sagittaria","Salix","Sambucus","Sanguisorba","Saxifragaceae","Scrophulariaceae","Sparganium.type","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica.type","Viburnum","Vitis"
0,-105,0,0,2,2,0,8,0,0,4,0,16,0,0,1,1,120,0,0,0,0,2,0,1,0,0,1,0,0,8,1,1,0,0,0,0,0,0,71,2,8,3,0,0,0,0,0,0,16,18,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,8,0,8,8,24,1,1,1,11,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,10,0,0,1,0,0,0,0,2,0,0,1,58,0,5,2,0,2,0
10,506,1,0,1,2,0,9,1,0,12,0,0,0,0,1,2,140,0,0,0,0,12,0,10,0,0,0,0,0,10,4,0,0,0,0,1,0,0,129,2,17,6,0,0,0,1,0,1,15,21,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,12,0,17,6,22,0,0,1,0,0,0,0,1,0,0,0,0,0,2,61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,101,0,6,2,0,1,0
20,1175,0,0,0,1,0,9,0,0,7,0,0,0,0,0,0,95,0,0,0,0,4,0,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,86,2,8,1,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,0,0,10,14,0,0,1,1,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,57,0,6,2,0,0,0
29,1768,0,0,3,0,0,13,0,0,5,0,0,0,0,0,0,108,0,0,0,0,5,0,7,0,0,0,0,0,4,2,0,0,0,0,0,0,0,93,4,4,3,0,1,0,0,0,1,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,3,11,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,80,0,11,1,0,1,0
40,2438,0,0,1,2,0,31,0,0,7,0,0,0,0,1,0,186,0,0,0,0,14,0,8,0,0,0,0,0,7,2,7,0,0,0,0,0,0,188,6,26,5,0,0,0,1,0,2,16,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,18,44,0,0,3,2,0,0,0,1,0,0,0,0,0,0,116,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,114,0,18,2,0,0,0
50,2987,0,0,0,3,0,14,0,0,4,0,0,0,0,1,0,89,0,0,0,0,6,0,4,0,0,0,0,0,4,0,3,0,0,0,1,0,0,82,1,10,3,0,0,0,1,0,2,8,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,4,7,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,48,0,2,1,0,1,0
60,3467,2,0,2,1,0,29,0,0,10,0,1,0,0,0,2,135,1,0,1,0,8,0,4,0,0,0,0,0,6,2,2,0,0,0,0,0,0,156,2,22,3,0,0,0,0,0,2,7,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,3,17,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,66,0,12,1,0,1,0
70,3871,1,0,0,0,0,7,0,0,3,0,0,0,0,0,0,46,0,0,0,0,4,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,53,2,8,3,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,5,11,0,0,0,0,0,0,0,0,0,0,0,1,0,1,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0
80,4191,1,0,3,4,0,31,0,0,13,0,1,0,0,0,0,165,0,0,0,0,14,0,5,0,0,0,0,0,4,6,3,0,0,0,0,0,0,176,3,22,3,0,0,0,0,0,4,30,5,4,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,26,0,2,24,31,0,0,7,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,27,0,12,6,0,0,0
85,4328,0,0,10,15,0,17,0,0,9,0,2,0,0,1,0,190,0,0,0,0,8,0,1,1,0,0,0,1,15,0,1,0,0,0,0,0,0,205,7,24,2,0,0,0,0,0,0,12,9,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,14,0,0,22,44,0,0,3,3,0,0,0,1,0,1,0,0,0,1,189,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,23,0,23,4,0,0,0
