"sample.depths","sample.ages","Pinus.Strobus","Pinus.banksiana.P..resinosa","Picea","Abies","Tsuga","Larix","Juniperus.Thuja","Quercus","Fagus","Carya","Juglans.cinerea","Acer.rubrum","Acer.saccharum","Betula","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Salix","Tilia","Ostrya.Carpinus","Ulmus","Platanus","Alnus","Thalictrum","Corylus","Myrica","Juglans.nigra","Cyperaceae","Poaceae","Chenopodiaceae.Amaranthaceae","Pteridium","Spore..monolete.","Ambrosia","Asteraceae.subf..Asteroideae.undiff.","Artemisia","Nuphar","Nymphaea","Typha.Sparganium","Potamogeton","Myriophyllum","Indeterminable","Unknown","Pediastrum","Lamiaceae","Lycopodium.annotinum","Huperzia.lucidula","Sphagnum","Apiaceae","Ranunculaceae.undiff.","Polygonum.lapathifolium","Brassicaceae"
8,495,119,26,22,4,41,4,14,35,8,2,2,1,14,235,6,4,3,3,18,23,1,17,0,5,2,0,7,1,0,2,0,5,0,1,1,0,0,0,0,28,0,25,1,0,0,1,0,0,0,0
12,756,174,28,18,9,44,4,2,35,14,1,2,3,37,240,10,4,1,2,19,29,1,20,0,2,0,0,3,0,0,0,2,12,2,7,1,0,0,1,0,14,2,32,0,0,1,2,1,1,1,0
22,1409,122,20,14,11,39,3,0,60,6,2,0,0,18,290,9,4,0,4,24,30,0,26,1,1,0,0,4,4,2,1,0,10,1,6,0,0,1,0,1,18,1,27,0,0,0,0,0,0,0,0
27,1736,125,16,8,1,27,4,6,40,8,1,0,0,13,274,3,1,1,3,17,24,4,19,0,2,0,0,3,2,1,0,0,3,0,2,0,1,0,0,0,25,0,13,1,0,0,0,0,0,0,0
37,2389,187,6,6,2,18,1,1,32,8,1,1,0,23,292,4,2,0,3,12,34,0,25,0,1,0,1,3,4,2,1,1,6,1,6,0,0,0,0,0,38,10,9,0,0,1,0,0,0,0,0
47,NA,107,36,14,4,18,2,0,24,4,1,0,0,12,229,4,0,0,4,24,12,0,14,0,1,0,0,4,1,0,0,0,6,0,4,0,0,0,0,0,33,5,17,0,1,1,0,0,0,0,1
