"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.undiff.","Betula","Carya","Celtis","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus","Herbs.undiff.","Juglans","Larix","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus","Platanus","Poaceae","Polygonaceae.undiff.","Populus","Quercus","Rosaceae","Rumex","Salix","Thalictrum","Tilia","Trees.undiff.","Tsuga","Ulmus"
42,22,0,3,2,2,36,1,1,0,8,0,0,0,3,4,5,0,3,0,0,0,5,1,7,3,10,0,0,100,0,0,1,0,1,0,0,2
130,47,0,2,1,0,31,1,2,3,9,0,2,1,3,4,4,3,0,0,0,0,8,0,7,4,11,3,0,93,0,3,1,0,0,0,0,7
230,75,0,1,0,0,10,0,0,4,6,0,1,0,2,0,1,0,1,0,0,0,6,0,4,3,1,0,0,55,0,0,0,0,0,0,1,3
265,85,0,0,0,0,27,0,0,5,14,0,0,1,1,3,3,0,2,0,0,1,6,0,2,0,5,2,0,61,0,2,0,0,0,0,1,5
350,109,1,2,0,0,21,3,1,5,10,0,0,0,4,5,6,2,0,0,0,0,3,0,15,1,15,0,0,87,1,0,1,0,2,0,0,15
405,327,0,11,0,0,6,3,1,4,6,1,0,0,1,8,13,0,2,1,1,0,7,0,10,5,1,0,0,105,0,0,3,0,0,0,2,10
410,387,0,3,0,0,0,0,0,2,4,0,2,0,5,7,7,0,2,0,0,0,4,0,2,8,0,0,0,78,0,0,0,0,1,0,1,4
428,606,0,3,1,0,1,2,3,3,12,0,0,0,1,15,13,0,0,0,0,0,10,0,6,3,0,0,0,134,0,0,2,0,3,0,2,12
445,813,0,8,1,0,0,0,2,6,14,0,0,0,1,19,5,0,3,1,0,0,3,1,4,4,6,0,0,112,0,0,0,0,0,0,0,11
485,1210,0,2,1,0,3,0,1,3,9,0,0,0,4,10,13,0,1,0,0,0,8,0,10,9,1,0,2,108,0,0,0,0,1,0,3,14
517,1359,0,11,4,0,0,1,0,4,7,0,0,0,5,12,6,0,0,0,0,0,8,0,5,12,0,0,1,103,0,0,1,0,3,0,0,14
