"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Brassicaceae.undiff.","Cupressaceae","Cyperaceae","Fraxinus.undiff.","Poaceae.undiff.","Iva.xanthifolia.type","Melilotus.type","Dalea.undiff.","Picea","Pinus.subg..Pinus","Pinus.undiff.","Populus.undiff.","Populus.balsamifera.type","Quercus","Rumex","Salix","Salsola","Sarcobatus.vermiculatus","Shepherdia.argentea","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Xanthium","Rosaceae.undiff.","Avena.Triticum","Brassica","Trifolium.repens.type","Acer.rubrum","Carya","Iva.annua.type","Fraxinus.nigra.type","Fabaceae.undiff.","Pinus.subg..Strobus","Asteraceae.tribe.Cynareae","Avena.type","Humulus","Plantago","Secale.type","Triticum.type","Acer.saccharinum","Acer.saccharum","Fraxinus.pennsylvanica","Allium","Amorpha.type","Populus.tremuloides.type","Ostrya.Carpinus","Alnus.undiff.","Celtis","Apiaceae","Campanula.rotundifolia.type","Morus","Dalea.purpurea.type","Pinaceae..vesiculate..undiff.","Juglans.cinerea","Vitis","Prunus.type","Ranunculaceae.undiff.","Amelanchier.type","Dalea.candida","Lycopus.type","Thalictrum","Platanus","Ranunculus.pensylvanicus.type","Galium","Ephedra.viridis.type","Polygonum.aviculare.type","Caryophyllaceae","Elaeagnus","Fagus","Euphorbia","Asteraceae.subf..Cichorioideae","Cannabaceae.undiff.","Liliaceae","Sphaeralcea","Ephedra.trifurca.type","Gaura","Gentiana.andrewsii.type","Epilobium","Juglans.nigra","Shepherdia.canadensis","Rhus","Polygonum.amphibium"
865,NA,383.5,0.5,7,2,3,11,67,2,36,1,2,5,27,8,74,10,3,1,2,20,15,3,2,9,4,7,25,2,1,16,4,1,6,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872,NA,500,0,8.5,5,1,34.5,85,0,47,0,5.5,0,33.5,0,73,20,0,0,5.5,0,56.5,0,0,7,1,11,38,1,0,11,6,2,5,0,0,8,1,1,1,2,6,1,1,4,1,1,3,4,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,NA,454.5,0,1,8,3,15,107,5,16,0,1,0,16,0,60,11,0,0,1,0,27,0,2,9,2,4,140.5,1,1,5,1,0,1,0,3,0,0,0,0,2,4,0,2,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
888,NA,618,0,3,15,0,25,248.5,5,29,0,2,0,27,0,117,6,0,0,2,0,47.5,0,0,5,0,5,45,3,0,17,1,3,0,0,1,0,0,0,0,1,4,0,0,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
896,NA,628,0,1,3,6,10,254,9,36,2,1,7,39,0,151,1,0,3,0.5,16,42.5,4,0,7,0,3,0,1,0,16,1,0,4,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
907,NA,488.5,0,2,6,0,11,196,4,30,1,0,1,51.5,0,127,0,0,0,1.5,2,28,0,1,3,0,0,0,6,0,8,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
912,NA,627,0,1,7,1,8,151,7,27,1,0,1,59,0,263,0,0,0,1,5.5,45.5,0,0,6,2,6,0,6,0,13,2,0,2,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,NA,498.5,0,2,2,0,15,195,7,22,1.5,0,0,54.5,0,120,0,0,0,0,0,41.5,0,2,2,0,3,0,4,0,17,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
928,NA,411,0,1,4,0,8,155.5,5,14,1,0,2,45.5,0,95.5,0,0,0,0,1,46,0,0,6,0,0,0,3,0,14.5,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
936,NA,440,0,2,2,3,8,196,5,9,0,0,5,34,2,89,1,0,0,1,14,36,2,0,5,0,3,0,2,0,9,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944,NA,467.5,0,3,3,0,16,154.5,6,15,0,2,2,51.5,0,127,0,0,0,0,1,45.5,0,0,4,0,5,0,0,0,18,2,2,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
952,NA,417,0,2,7,0,14,95.5,4,12,3,0,0,21.5,0,200,0,0,0,0,2,34,0,0,2,0,5,0,2,0,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
960,NA,754,0,2,8,0,23,256.5,5,22,1,0,0,64,0,214,2,0,0,0.5,4,72.5,0,0,7,0,6,0,6,0,41.5,1,0,4,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
968,NA,508.5,0,3,5,0,16,213.5,6,22,0,2,0,37,0,123,2,0,0,1.5,1,43.5,0,0,2,0,0,0,3,0,13,0,3,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
976,NA,636,0,1,5,2,13,308,3,17,3,1,1,46,1,155,0,0,0,1,13,32,0,0,3,0,4,0,3,0,12,3,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
984,NA,402,0,0,4,1,12,143,4,19,2,0,1,44,0,100,1,0,0,2.5,0,42,0,0,6,0,1,0,0,0,8,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
992,NA,467.5,0,0,3,0,6,206,1,11.5,0,1,0,57,0,99,1,0,0,1.5,2,42.5,0,0,2,0,2,0,4,0,17,1,2,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,NA,495.5,0,0,4,4,10,169,7,25,0,2,4,49,0,137,0,0,0,1,9.5,30,3,1,5,1,4,0,5,0,12,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1024,NA,556.5,0,2,10,0,13,180.5,9,19.5,0,0,0,62.5,0,136.5,3,0,0,3.5,0,68,0,0,8,0,3,0,4,0,16,3,2,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,NA,418.5,0,1,1,0,12,144,5,14,1,0,1,33,2,117,0,0,2,1.5,6.5,30.5,3,2,5,0,7,0,4,0,12,1,1,1,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
