"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Ericaceae","Koenigia.islandica","Asteraceae.subf..Cichorioideae","Picea.mariana.type","Pinus.undiff.","Ranunculaceae.undiff.","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Fabaceae","Juniperus.type","Poaceae","Onagraceae","Rosaceae","Campanula.type","Oxyria.digyna.type","Pinus.banksiana.type","Polygonum.viviparum","Salix.vestita.type","Saxifraga.cernua.type","Saxifraga.oppositifolia.type","Picea.undiff.","Salix.undiff.","Ambrosia.type","Amaranthaceae","Fraxinus.nigra.type","Populus.tremuloides.type","Quercus","Pinus.strobus","Impatiens","Thalictrum","Viburnum.edule","Salix.herbacea.type","Myrica.gale","Juglans.cinerea","Fagus","Brassicaceae","Saxifraga.stellaris.type","Castanea.dentata","Apiaceae","Saxifragaceae.undiff.","Tsuga.canadensis","Acer.spicatum","Polygonaceae.undiff.","Acer.saccharum"
0,0,427,2,32,3,20,4,239,6,3,1,12,6,3,2,1,2,1,29,1,3,1,9,8,2,1,1,1,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,513,521,3,32,6,72,6,239,10,8,0,21,0,2,0,0,1,1,71,1,0,0,2,6,0,6,0,0,9,20,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.5,1282,671,4,43,3,34,5,360,7,6,0,17,14,4,0,0,3,0,78,0,0,0,9,7,0,0,0,0,9,55,2,1,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2051,492,3,60,4,93,3,178,6,1,0,34,1,4,2,0,2,0,54,0,1,0,4,7,1,4,0,0,4,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.5,2821,454,0,46,3,29,3,246,2,3,0,13,2,1,5,0,1,0,49,0,0,0,8,9,0,10,0,2,10,5,1,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3590,492,2,74,7,81,0,162,10,1,0,71,0,4,0,0,0,0,28,0,0,0,8,2,1,5,0,2,8,21,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42.5,4241,578,1,178,4,39,1,171,6,1,0,20,7,10,11,0,0,0,55,0,2,0,9,9,1,1,0,0,36,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
50,4657,367,0,99,8,76,1,108,3,0,0,18,0,3,0,0,2,1,20,0,0,1,4,0,0,4,0,1,2,12,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57.5,5073,388,1,116,4,67,0,106,3,3,0,16,1,5,3,0,0,0,24,0,1,0,5,8,1,7,0,0,9,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
65,5489,472,0,183,11,92,0,45,5,0,0,37,0,1,0,0,2,1,31,0,1,0,11,0,0,3,0,0,8,35,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
72.5,5905,549,4,170,9,68,0,166,5,4,0,12,3,2,8,0,0,0,25,0,1,0,11,17,0,10,1,0,7,17,2,2,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
80,6321,515,0,193,3,110,0,52,2,0,0,38,0,1,0,0,1,0,30,0,1,0,34,1,0,0,0,2,2,37,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
