"sample.depths","sample.ages","upland.sum","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Ericaceae","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Asteraceae.subf..Asteroideae.undiff.","Poaceae","Carya.ovata","Castanea.dentata","Centaurea","cf..Oxyria.digyna","Pinus.banksiana.type","Pinus.strobus","Salix.herbacea.type","Picea.undiff.","Salix.undiff.","Rosaceae.undiff.","Amaranthaceae","Tsuga.canadensis","Ostrya.Carpinus","Populus.tremuloides.type","Quercus","Ranunculaceae.undiff.","Polygonum.viviparum","Larix","Alnus.incana.type","Myrica.gale","Urtica.type","Juniperus.type","Onagraceae","Abies.balsamea","Taxus","Thalictrum","Ulmus","Ephedra","Potentilla.palustris.type","Fabaceae","Corylus.cornuta","Saxifraga.oppositifolia.type","Populus.balsamifera.type","Acer.saccharum","Salix.vestita.type","Liliaceae","Asteraceae.subf..Cichorioideae","Acer.pensylvanicum","Shepherdia.canadensis","Brassicaceae","Juniperus.communis.Thuja.occidentalis.type","Acer.spicatum","cf..Sarcobatus.vermiculatus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Polygonaceae.undiff.","Plantaginaceae","Saxifraga","Prunus","Tilia","Salix.reticulata.type"
5,288,589,66,1,15,63,1,248,30,2,65,4,3,18,1,1,1,1,5,31,1,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,577,528,59,5,7,54,1,204,24,0,58,21,2,14,0,0,0,0,30,5,3,32,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,865,500,48,5,14,64,0,201,19,2,58,8,1,18,0,0,0,4,19,8,1,16,8,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1153,421,50,1,4,38,0,163,5,0,64,12,3,17,0,0,0,4,25,7,0,22,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1441,373,43,2,4,28,0,166,12,0,50,11,1,8,0,0,0,1,15,1,2,26,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1730,656,106,5,11,98,0,246,24,2,74,6,0,19,0,0,0,6,12,11,0,23,4,1,0,0,1,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2018,1061,182,10,12,122,0,398,32,0,94,26,0,36,0,0,0,7,19,35,0,42,8,1,0,0,0,14,2,0,0,0,2,0,6,7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2306,768,139,1,17,89,0,260,29,0,114,11,3,18,0,0,0,10,26,0,1,40,6,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2595,451,111,3,11,58,1,145,12,0,54,3,0,15,0,0,0,6,6,7,0,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2883,454,185,2,11,74,1,106,4,0,32,5,2,8,0,1,0,2,3,8,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,3171,663,233,3,12,97,0,147,16,0,70,9,0,5,0,0,0,2,25,2,0,31,5,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
