"sample.depths","sample.ages","Acer.negundo","Acer.saccharinum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.undiff.","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cladium.mariscoides","Corylus","Cupressaceae","Cyperaceae.undiff.","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Huperzia.lucidula","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Lamiaceae","Liquidambar","Lycopodium.clavatum","Morus","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.subg..Strobus","Pinus.undiff.","Plantago.major","Platanus","Poaceae","Polygonum.amphibium","Polygonum.undiff.","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae","Rumex","Sagittaria","Salix","Thalictrum","Tilia","Tsuga","Typha.latifolia.type","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete."
0,NA,4,1,0,7,4,0,2,39,2,2,5,2,9,2,1,0,1,3,9,0,3,34,0,1,2,0,0,14,0,1,0,0,3,0,0,1,0,1,2,0,0,1,2,0,12,1,3,23,0,2,0,4,0,108,3,2,0,9,1,0,0,1,0,10,0,3,0
10,NA,1,0,3,1,1,0,2,11,0,1,4,9,4,12,0,1,0,0,0,3,0,46,0,5,1,0,0,17,0,1,1,0,0,0,0,0,0,0,0,1,3,3,2,2,20,0,3,13,0,0,0,4,0,160,2,0,0,1,0,1,1,1,0,7,1,1,1
20,NA,2,0,2,1,0,0,1,6,0,2,3,3,9,7,0,0,1,0,0,2,0,38,0,5,5,2,0,18,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,19,0,0,11,0,0,0,2,0,153,0,0,0,0,0,0,0,0,1,8,1,1,0
30,NA,0,0,1,0,3,0,4,6,0,1,3,3,29,2,0,0,1,0,0,0,1,77,0,5,3,1,0,10,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,2,27,0,1,17,1,0,1,2,0,93,0,0,0,2,1,0,1,0,0,7,1,0,0
40,1204,1,0,2,1,1,0,2,3,1,3,2,5,7,17,0,0,0,0,0,5,1,12,0,7,1,0,0,12,0,1,1,0,0,1,1,0,0,4,0,0,0,1,0,0,14,0,1,11,0,0,0,0,0,148,2,0,0,0,3,0,0,0,0,9,1,0,0
50,1529,0,0,2,1,0,0,2,5,0,1,3,5,20,8,0,0,0,0,0,1,0,21,1,14,1,0,0,11,0,3,1,1,0,0,0,0,0,7,0,0,2,1,0,4,13,0,6,15,0,0,2,2,1,153,1,0,0,0,1,0,1,0,1,8,1,0,1
60,1854,1,0,1,0,0,0,0,8,0,2,0,3,15,13,0,0,0,0,0,2,1,25,0,6,5,0,1,14,0,0,3,0,0,0,1,0,0,3,0,1,0,0,0,2,13,0,3,11,0,0,0,0,0,145,1,0,0,1,1,1,0,0,0,6,2,1,1
70,2179,2,0,1,0,1,0,0,8,0,4,0,3,15,15,0,0,1,0,0,1,2,20,0,6,5,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,19,0,0,10,0,0,1,1,0,151,0,0,0,0,1,0,0,0,2,7,1,0,0
80,2504,0,0,1,1,2,0,1,2,0,5,4,3,18,12,0,1,0,0,0,2,1,14,0,4,5,0,0,10,1,1,3,0,0,1,0,0,1,5,0,1,1,0,2,5,12,0,0,11,0,0,1,1,0,167,1,0,0,1,1,0,1,0,0,11,4,1,1
90,2829,0,0,1,0,2,1,2,11,0,7,5,4,37,12,0,0,0,0,0,2,3,18,0,2,3,1,0,6,0,0,3,0,0,1,0,0,1,0,0,0,2,1,2,3,20,0,0,19,0,0,2,6,0,169,1,0,1,1,1,0,0,1,2,5,1,1,1
