"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Alnus.incana.type","Ambrosia.type","Artemisia","Betula","Carya","Celtis","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Herbs.undiff.","Iva.xanthifolia.type","Juglans.cinerea","Larix","Morus","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Populus","Poaceae","Rosaceae","Acer.negundo","Iva.annua.type","Polygonaceae.undiff.","Acer.saccharinum.type","Castanea","Taxus","Tilia","Myrica","Shepherdia","Thalictrum","Rhamnaceae.Vitaceae","Sarcobatus.vermiculatus","Acer.rubrum","Alnus.viridis.type","Rumex","Juglans.nigra","Tsuga","Ericaceae","Ephedra","Trees.undiff.","Asteraceae.subf..Cichorioideae","Juglans.undiff.","Plantago","Fagus"
430,NA,955,2,3,12,10,16,39,1,1,9,1,5,62,8,1,5,1,1,5,1,2,36,27,1,332,1,20,9,3,39,15,285,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,10787,2177,5,7,26,10,19,103,6,2,9,7,15,86,22,3,21,1,4,9,1,6,40,52,3,583,4,70,11,2,64,23,955,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,11021,961,3,1,13,6,16,57,2,1,5,4,8,45,12,2,4,0,1,11,0,4,65,21,1,243,1,16,4,4,40,13,349,1,1,0,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,11256,1096,5,4,14,7,16,90,1,1,7,4,10,50,14,0,5,0,1,9,0,6,68,36,4,386,1,24,5,2,57,25,238,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
480,11491,1159,6,1,14,10,45,97,0,2,1,9,11,48,25,2,11,1,0,8,0,4,140,38,3,488,1,29,10,5,79,29,39,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,11609,926,5,1,10,10,35,85,0,1,4,1,9,57,28,1,11,0,1,17,0,2,170,25,0,278,1,26,11,2,48,24,52,6,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
490,11781,931,3,2,26,5,44,86,1,1,0,4,25,73,31,2,15,0,1,20,0,7,246,35,3,127,2,21,11,3,65,19,47,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
495,12175,791,3,1,14,4,48,86,0,1,2,9,10,52,42,2,10,0,2,30,0,6,282,3,0,12,0,26,17,6,41,25,47,1,3,0,1,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
500,12495,1320,18,0,19,8,76,120,3,1,1,4,14,94,43,1,28,0,0,50,0,4,573,11,0,12,0,40,22,8,54,48,49,6,3,2,0,1,0,2,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0
510,12939,962,5,0,23,7,79,62,0,0,2,3,24,90,10,0,23,0,0,23,0,5,462,1,0,1,0,18,15,6,23,33,40,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0
520,12984,1143,6,0,13,12,80,66,0,0,10,12,19,113,13,1,19,0,0,40,0,4,542,1,0,2,0,33,32,8,20,42,42,0,5,0,0,1,0,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
530,13029,949,1,0,19,10,70,49,0,0,4,4,19,82,23,0,13,1,0,34,0,3,487,1,0,3,0,13,24,3,15,30,33,2,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
540,13074,1011,0,0,20,9,92,56,0,2,5,2,14,88,10,0,26,0,4,43,1,2,525,0,0,5,0,13,12,5,9,24,37,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0
550,13120,1083,11,0,19,7,97,77,0,0,4,6,16,57,4,1,25,0,1,39,1,7,562,4,0,4,0,21,24,2,12,42,32,2,0,1,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0
560,13214,1115,2,1,22,10,109,64,0,1,5,3,21,83,13,2,14,1,1,29,0,3,577,1,0,6,0,23,16,7,14,35,44,1,1,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0
570,13322,1156,7,1,10,14,112,78,0,0,3,5,21,106,10,0,28,0,0,33,0,2,573,7,0,12,0,14,16,6,10,30,51,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0
580,13429,1211,0,1,11,12,89,46,0,0,11,4,44,119,26,3,18,0,0,26,0,8,634,0,0,6,0,21,19,8,13,49,36,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0
590,13537,1144,0,0,14,11,88,41,1,0,6,4,24,148,16,0,15,0,0,23,0,4,599,0,0,4,1,11,20,10,7,49,40,3,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,13624,1006,8,0,8,6,89,37,0,1,5,1,19,66,8,0,32,0,0,22,0,3,544,4,0,5,0,13,11,9,6,24,77,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
610,13682,1040,0,0,15,7,69,44,0,0,5,3,21,86,8,3,13,0,0,28,0,2,609,1,0,3,0,16,19,6,13,37,25,2,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
620,13739,1475,7,0,16,9,148,53,0,1,8,5,28,127,13,0,26,0,0,33,0,6,711,7,0,7,0,26,44,7,14,57,104,6,1,0,2,0,0,1,0,0,2,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0
630,13797,1052,1,1,14,11,90,44,0,0,1,2,30,93,23,3,20,0,0,20,0,7,525,1,0,6,0,28,20,12,6,41,42,2,3,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
640,13855,1092,0,1,15,6,84,37,0,0,7,3,29,101,34,1,20,1,0,22,0,6,560,0,0,4,0,18,28,10,9,39,38,1,1,1,0,0,0,1,1,0,2,3,1,2,0,3,0,0,1,0,1,0,1,0,0,0
650,13912,1298,2,0,4,20,103,57,1,0,12,4,48,113,28,1,29,0,0,37,0,9,657,3,0,4,0,13,21,9,2,54,55,0,3,0,0,0,0,1,0,0,0,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0
660,13970,1080,0,0,10,12,85,29,1,0,6,4,30,98,19,1,15,0,0,49,0,1,574,1,0,2,0,30,17,5,23,31,29,1,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
670,14027,1190,0,0,3,24,157,41,0,1,12,6,17,84,8,1,19,0,1,25,0,12,585,4,0,6,1,17,38,14,6,36,62,1,2,0,0,0,0,1,0,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
680,14085,1109,3,0,4,27,104,34,0,0,10,6,27,75,23,1,17,1,0,25,0,6,607,1,0,3,0,18,28,9,9,39,25,0,3,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
690,14142,993,0,2,10,38,126,32,1,0,12,6,23,72,21,0,18,0,0,29,0,4,446,2,0,4,0,34,13,5,12,32,39,1,1,1,0,0,0,0,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
700,14200,928,0,0,8,43,120,37,0,1,12,7,16,61,14,2,26,1,0,13,0,10,423,4,0,4,0,19,14,9,4,27,43,2,0,2,0,0,0,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
710,14257,1260,2,0,5,53,200,39,1,1,15,6,28,90,42,0,33,1,1,29,1,8,482,2,0,3,0,25,28,14,13,67,57,2,3,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0
720,14366,1275,0,1,4,43,148,28,0,1,13,6,50,90,73,2,45,0,1,20,0,29,507,2,0,3,0,39,24,3,9,59,64,2,2,1,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0
730,14678,1315,1,0,1,50,113,10,0,1,12,4,44,78,42,1,28,1,0,42,0,9,725,2,0,2,0,24,12,7,6,52,39,2,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
740,14991,1117,0,0,1,37,131,12,1,0,6,2,44,113,45,4,49,1,0,19,0,7,474,4,0,7,0,19,14,17,3,41,50,2,4,2,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,1,0,0,0,0
750,15303,1480,0,0,0,44,98,10,0,0,4,3,64,77,64,1,33,0,0,36,0,5,898,4,0,6,0,17,4,4,2,47,45,0,3,4,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0
760,15616,1400,0,1,2,37,74,9,4,0,4,6,37,87,85,5,28,0,0,29,0,4,840,1,0,5,0,28,14,10,4,35,46,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
770,15928,1139,1,0,0,52,72,8,0,0,7,1,58,99,78,2,46,0,1,30,0,7,509,6,0,2,0,27,10,13,1,52,40,3,1,6,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0
780,16178,1236,1,0,1,57,55,3,0,0,6,1,42,37,99,2,27,0,0,32,0,0,761,1,0,2,0,21,6,3,3,29,34,2,2,3,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0
790,16282,1398,0,0,1,46,55,6,1,0,3,1,37,85,49,1,38,0,0,41,0,7,869,4,0,7,0,29,6,15,3,35,40,4,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,1,0,0,1,0,0,0,0
800,16386,2011,3,0,1,46,86,11,0,1,5,5,40,118,36,3,45,0,0,37,0,9,1380,10,0,16,0,24,13,17,1,47,40,4,1,0,0,0,0,1,0,0,1,6,0,3,0,0,1,0,0,0,0,0,0,0,0,0
810,16481,1411,0,0,3,55,94,22,0,0,6,2,20,136,34,1,55,0,0,22,1,3,809,2,0,4,0,15,8,11,2,39,43,3,8,2,0,0,0,0,0,0,0,8,0,1,0,1,1,0,0,0,0,0,0,0,0,0
825,16567,1215,1,0,1,49,74,15,0,0,9,3,23,101,35,1,22,1,1,19,0,7,733,2,0,3,0,13,11,9,2,31,35,0,3,4,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
830,16596,1313,0,0,2,52,95,17,2,1,7,2,13,158,60,4,34,0,0,10,1,4,753,1,0,6,0,6,10,14,1,25,22,2,3,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,1,0,0
840,16654,977,0,0,2,42,60,26,0,0,6,1,10,131,61,0,38,0,0,8,0,5,498,1,0,2,0,7,11,8,2,22,11,1,14,0,0,0,0,0,0,0,1,3,0,0,0,1,3,0,0,0,1,0,1,0,0,0
850,16712,1371,0,0,1,52,72,9,0,1,8,2,67,82,73,0,49,1,0,34,2,10,715,5,0,3,1,28,14,7,12,65,45,1,1,3,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,2,0
855,16859,1122,0,0,0,26,87,44,0,0,1,1,15,199,9,0,30,0,1,3,0,0,572,6,0,8,0,7,17,13,1,36,30,1,6,2,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0
860,17007,1227,0,0,1,35,157,53,0,0,2,1,20,280,16,1,46,0,0,6,1,4,423,4,0,10,0,16,31,16,4,47,37,3,8,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0
870,17301,902,0,0,1,92,106,25,0,0,3,2,25,214,17,0,49,0,1,2,0,6,222,1,0,9,0,14,22,15,1,22,27,1,15,0,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,1,0,1,1,0,1,0
880,17596,1025,0,0,2,72,110,23,2,1,2,1,29,305,20,1,48,0,0,3,1,1,291,2,0,9,0,9,13,8,0,25,29,1,11,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0
890,17890,1128,0,0,3,98,141,16,0,0,2,3,18,267,33,3,38,0,0,5,1,4,277,4,0,17,0,20,24,16,3,39,58,4,25,0,0,0,0,1,0,0,0,4,0,0,0,1,1,1,0,1,0,0,0,0,0,0
900,18669,1109,0,0,0,98,140,6,0,0,2,1,32,285,14,1,54,0,0,1,0,4,256,6,0,17,0,11,23,20,1,30,77,5,12,1,1,0,1,0,0,0,0,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0
910,19570,959,0,0,3,64,97,12,3,0,3,1,22,204,15,1,95,2,0,4,1,2,212,1,1,4,0,53,16,20,2,39,48,3,23,2,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0
915,20020,928,0,1,0,87,134,11,0,0,5,1,15,184,31,1,67,1,0,1,0,3,152,3,0,18,0,16,23,33,0,45,70,3,11,0,0,0,0,0,0,0,0,8,0,1,0,1,1,0,0,0,0,0,0,0,1,0
930,21370,1174,0,0,3,143,144,6,0,0,1,1,10,300,27,1,35,0,0,2,1,2,289,6,0,10,1,13,24,10,1,16,108,2,10,1,0,0,0,0,0,0,0,3,0,1,0,1,1,1,0,0,0,0,0,0,0,0
940,22271,1145,0,0,2,93,121,12,2,0,4,0,14,360,19,1,78,0,0,2,0,1,202,0,1,8,0,17,18,24,4,31,99,3,21,1,0,0,0,0,0,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0
945,22721,988,0,0,1,109,160,8,0,1,3,3,8,272,12,0,39,0,1,0,0,1,146,1,0,18,0,17,24,22,1,15,99,5,17,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0
960,24071,1081,0,0,4,87,215,13,1,0,8,1,10,238,11,2,112,0,0,1,0,1,122,1,0,5,0,9,21,26,3,33,133,2,14,1,0,0,1,1,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
965,24521,1460,0,0,3,201,262,21,1,0,4,3,12,344,6,0,69,0,0,3,1,5,221,8,0,16,0,27,18,53,2,41,105,7,20,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1
967,NA,979,0,0,0,83,130,6,1,0,2,2,7,240,13,0,119,0,0,0,0,1,159,1,0,8,0,10,12,20,5,19,118,3,15,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
