"sample.depths","sample.ages","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Juglans.cinerea","Larix","Picea","Quercus","Salix","Thalictrum","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Ambrosia","Pinus","Poaceae","Acer.saccharum","Fraxinus.nigra","Abies","Fraxinus.undiff.","Asteraceae.subf..Cichorioideae","Fagus","Ostrya","Populus","Alnus","Rosaceae","Iva.annua","Sarcobatus.vermiculatus","Juglans.nigra","Ranunculus","Amorpha","Caryophyllaceae","Ericaceae","Tilia"
1,NA,0.0133333333333333,0.0633333333333333,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.00666666666666667,0.156666666666667,0.00333333333333333,0.04,0.253333333333333,0.05,0.0133333333333333,0.00333333333333333,0.00666666666666667,0.00666666666666667,0.0166666666666667,0.01,0.316666666666667,0.02,0.00333333333333333,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,NA,0.00666666666666667,0.0766666666666667,0.00333333333333333,0,0,0,0.166666666666667,0.00333333333333333,0.00333333333333333,0.2,0.0766666666666667,0.00333333333333333,0,0.00333333333333333,0,0.0433333333333333,0.00666666666666667,0.376666666666667,0.01,0.00333333333333333,0.00333333333333333,0.00666666666666667,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
10,NA,0.00666666666666667,0.03,0,0.00333333333333333,0,0,0.356666666666667,0.00333333333333333,0.0166666666666667,0.19,0.0433333333333333,0,0,0,0.00666666666666667,0.0166666666666667,0.00333333333333333,0.293333333333333,0.0133333333333333,0.01,0,0,0,0,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0
15,NA,0,0.0233333333333333,0.0133333333333333,0,0,0.00333333333333333,0.316666666666667,0.00666666666666667,0.01,0.213333333333333,0.04,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.02,0.00333333333333333,0.32,0.00333333333333333,0,0.00666666666666667,0.00333333333333333,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0
20,NA,0.00333333333333333,0.0166666666666667,0,0.00333333333333333,0,0,0.06,0,0.00666666666666667,0.496666666666667,0.0233333333333333,0,0,0,0.01,0.01,0,0.353333333333333,0.00666666666666667,0,0.00333333333333333,0,0,0,0,0,0,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0,0,0
25,NA,0.02,0.07,0.00333333333333333,0.00333333333333333,0,0,0.23,0.00333333333333333,0.02,0.343333333333333,0.05,0.00333333333333333,0,0.0166666666666667,0.00333333333333333,0.0166666666666667,0.00666666666666667,0.156666666666667,0.01,0.0133333333333333,0.00666666666666667,0.01,0.00333333333333333,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
30,12713,0.0365448504983389,0.0332225913621262,0,0,0,0.00332225913621262,0.182724252491694,0,0.0132890365448505,0.511627906976744,0.0465116279069767,0.00332225913621262,0,0.00332225913621262,0.00332225913621262,0.0132890365448505,0.0132890365448505,0.119601328903654,0.00664451827242525,0,0,0.00332225913621262,0,0,0,0,0,0.00664451827242525,0,0,0,0,0,0,0,0,0
35,12886,0.0133333333333333,0.0933333333333333,0.00333333333333333,0,0,0.00333333333333333,0.293333333333333,0.00333333333333333,0,0.403333333333333,0.0733333333333333,0.00333333333333333,0.00666666666666667,0,0.00333333333333333,0.00666666666666667,0.00666666666666667,0.01,0.0366666666666667,0,0.0366666666666667,0,0,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0
40,13058,0.01,0.06,0.00666666666666667,0.00333333333333333,0,0.0233333333333333,0.296666666666667,0.00333333333333333,0,0.373333333333333,0.0666666666666667,0.0133333333333333,0,0,0.00333333333333333,0,0.0333333333333333,0.0266666666666667,0.03,0,0.0433333333333333,0,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,13230,0.00666666666666667,0.0966666666666667,0.00333333333333333,0,0,0.0166666666666667,0.313333333333333,0,0,0.34,0.0766666666666667,0.00333333333333333,0,0,0.00666666666666667,0.02,0.0166666666666667,0.0333333333333333,0.0266666666666667,0,0.0333333333333333,0,0,0,0,0,0.00333333333333333,0,0,0.00333333333333333,0,0,0,0,0,0,0
50,13402,0.02,0.0633333333333333,0.00333333333333333,0,0,0.00666666666666667,0.436666666666667,0.00333333333333333,0,0.276666666666667,0.0333333333333333,0.00666666666666667,0,0.00333333333333333,0.0166666666666667,0.00333333333333333,0.02,0.0233333333333333,0.0433333333333333,0,0.0333333333333333,0,0,0,0,0,0,0,0.00333333333333333,0,0.00333333333333333,0,0,0,0,0,0
55,13574,0.02,0.0566666666666667,0.00333333333333333,0.00333333333333333,0,0.02,0.54,0,0,0.176666666666667,0.0466666666666667,0.0233333333333333,0,0,0.01,0.01,0.0166666666666667,0.0166666666666667,0.0133333333333333,0,0.02,0,0.01,0,0,0,0,0,0.00666666666666667,0.00333333333333333,0,0.00333333333333333,0,0,0,0,0
60,13746,0.0196078431372549,0.065359477124183,0.00326797385620915,0.00326797385620915,0,0.00980392156862745,0.503267973856209,0,0,0.183006535947712,0.0555555555555556,0.0196078431372549,0,0,0.0065359477124183,0.00326797385620915,0,0.0457516339869281,0.042483660130719,0,0.0130718954248366,0,0.0065359477124183,0,0,0,0,0,0.00980392156862745,0,0,0,0.00980392156862745,0,0,0,0
65,13918,0.0133333333333333,0.0566666666666667,0.00333333333333333,0.00333333333333333,0,0,0.623333333333333,0,0,0.09,0.06,0.0133333333333333,0,0,0.0166666666666667,0.0133333333333333,0.0133333333333333,0.03,0.0433333333333333,0,0.0166666666666667,0,0,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0
70,14090,0.0297029702970297,0.0759075907590759,0,0,0,0.0198019801980198,0.607260726072607,0,0,0.0594059405940594,0.0099009900990099,0.0528052805280528,0.0033003300330033,0,0.0132013201320132,0.0033003300330033,0.0066006600660066,0.0231023102310231,0.0297029702970297,0,0.0297029702970297,0.0033003300330033,0.0066006600660066,0,0,0,0.0066006600660066,0.0033003300330033,0.0033003300330033,0,0,0,0.0099009900990099,0.0033003300330033,0,0,0
75,14262,0.0398671096345515,0.0299003322259136,0,0,0,0.00996677740863787,0.614617940199336,0,0,0.0631229235880399,0.0431893687707641,0.0365448504983389,0.0132890365448505,0.00332225913621262,0.0166112956810631,0.00664451827242525,0,0.026578073089701,0.0564784053156146,0,0.026578073089701,0,0,0,0,0,0.00664451827242525,0.00332225913621262,0,0,0,0,0.00332225913621262,0,0,0,0
80,14434,0.0132450331125828,0.0198675496688742,0,0,0,0.00662251655629139,0.612582781456954,0,0,0.0927152317880795,0.0364238410596026,0.0496688741721854,0,0,0.0198675496688742,0.00662251655629139,0.0033112582781457,0.0562913907284768,0.0463576158940397,0,0.0132450331125828,0,0.00662251655629139,0,0,0,0.00993377483443709,0,0,0,0,0,0.00662251655629139,0,0,0,0
85,14607,0.0233333333333333,0.0266666666666667,0,0,0,0.01,0.63,0,0,0.09,0.0266666666666667,0.0666666666666667,0,0,0.00666666666666667,0,0.01,0.0233333333333333,0.0433333333333333,0,0.0233333333333333,0,0,0,0,0,0.00666666666666667,0,0,0,0,0,0.00666666666666667,0.00666666666666667,0,0,0
90,NA,0.0231023102310231,0.0165016501650165,0,0,0,0,0.607260726072607,0,0,0.099009900990099,0.0297029702970297,0.099009900990099,0,0,0.0165016501650165,0,0.0066006600660066,0.0396039603960396,0.0363036303630363,0,0.0099009900990099,0,0,0,0,0,0.0033003300330033,0,0,0,0,0,0.0099009900990099,0,0.0033003300330033,0,0
95,NA,0.0033112582781457,0.033112582781457,0,0,0,0.0033112582781457,0.635761589403974,0,0,0.102649006622517,0.0298013245033113,0.0198675496688742,0,0,0.0033112582781457,0.0033112582781457,0.0033112582781457,0.033112582781457,0.0463576158940397,0,0.033112582781457,0,0.00662251655629139,0,0,0,0.0231788079470199,0,0.0033112582781457,0,0,0,0,0,0.0132450331125828,0.0033112582781457,0
100,NA,0.01,0.00666666666666667,0,0,0,0.00333333333333333,0.723333333333333,0,0,0.116666666666667,0.00666666666666667,0.0666666666666667,0,0,0.00333333333333333,0,0.00333333333333333,0.0366666666666667,0.02,0,0,0,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0
105,NA,0.01,0.01,0.01,0,0,0.01,0.28,0,0,0.26,0.01,0.01,0,0,0.01,0,0,0.34,0.03,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
110,NA,0.07,0.07,0,0,0,0,0.05,0,0,0.23,0.02,0,0,0.01,0.02,0.01,0,0.44,0.07,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
120,NA,0.04,0.02,0,0,0,0,0.08,0,0,0.31,0.03,0,0,0,0,0,0.03,0.45,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
130,NA,0,0,0.01,0,0,0,0.02,0,0,0.43,0.01,0.01,0,0.02,0,0.01,0,0.47,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
