"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva","Lamiaceae","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum","Ranunculaceae.undiff.","Rosaceae","Rumex","Thalictrum","Urtica","Zea"
0,-50,0,0.00240096,0.003601441,0,0.008403361,0,0,0.058823529,0,0.007202881,0.012004802,0,0.003601441,0,0,0.00240096,0.00240096,0.007202881,0.012004802,0.003601441,0,0.00240096,0.003601441,0,0,0,0.00240096,0,0.019207683,0.00120048,0.003601441,0,0.013205282,0.013205282,0.057623049,0.003601441,0,0.379351741,0,0.00120048,0,0,0,0.003601441,0.003601441,0,0.108043217,0,0.00120048,0.018007203,0,0.00120048,0,0.025210084,0,0,0,0,0,0.031212485,0.148859544,0,0,0,0.010804322,0.021608643,0.00240096,0,0
4,-34,0,0.001144165,0,0.00228833,0.004576659,0,0,0.061784897,0,0.006864989,0.004576659,0,0.003432494,0,0.00228833,0.001144165,0.00228833,0.006864989,0.014874142,0.006864989,0.00228833,0.006864989,0.00228833,0,0,0.001144165,0,0,0.042334096,0.001144165,0.006864989,0.00228833,0.037757437,0.003432494,0.066361556,0,0,0.276887872,0,0.003432494,0,0,0,0.009153318,0.012585812,0,0.108695652,0.001144165,0.001144165,0.02173913,0.001144165,0,0.001144165,0.030892449,0,0,0,0,0,0.029748284,0.170480549,0.001144165,0,0,0,0.038901602,0,0,0
8,-3,0.000992063,0.003968254,0.00297619,0.000992063,0.011904762,0,0,0.050595238,0,0.00297619,0.004960317,0,0.003968254,0,0,0.000992063,0.001984127,0.005952381,0.006944444,0.010912698,0,0.004960317,0.000992063,0.001984127,0,0,0.000992063,0,0.032738095,0.00297619,0.001984127,0,0.029761905,0.006944444,0.049603175,0.005952381,0,0.261904762,0,0,0,0,0,0.014880952,0.004960317,0,0.117063492,0.000992063,0.003968254,0.026785714,0,0,0.001984127,0.048611111,0,0,0,0,0,0.028769841,0.171626984,0,0,0,0.001984127,0.066468254,0,0,0.000992063
12,50,0,0,0.00154679,0.000773395,0.004640371,0,0,0.051817479,0,0.004640371,0.007733952,0,0.000773395,0,0.000773395,0,0.002320186,0.005413766,0.012374323,0.006187162,0.00154679,0.003866976,0,0,0,0,0.000773395,0,0.017014695,0.00154679,0.002320186,0.00154679,0.029389018,0.006960557,0.047177108,0.002320186,0,0.180974478,0,0,0,0,0,0.003866976,0.002320186,0,0.126063418,0,0,0.014694509,0,0,0.00154679,0.052590874,0,0,0,0,0,0.012374323,0.249806651,0,0,0,0.000773395,0.140757927,0,0,0.000773395
16,92,0,0.002707581,0.007220217,0,0.01534296,0,0,0.07400722,0,0.002707581,0.008122744,0,0.000902527,0,0,0,0,0.016245487,0.005415162,0.009927798,0.000902527,0.004512635,0.010830325,0.001805054,0,0,0,0,0.013537906,0,0.004512635,0,0.018953069,0.016245487,0.046931408,0.003610108,0.001805054,0.181407942,0,0.000902527,0,0,0,0.007220217,0.002707581,0,0.093862816,0,0,0.018953069,0,0,0.000902527,0.05234657,0,0,0,0,0,0.028880866,0.212093863,0,0,0,0.003610108,0.129963899,0,0,0.000902527
20,115,0,0.000918274,0.004591368,0.000918274,0.005509642,0,0,0.048668503,0,0.009182736,0.011937557,0,0,0,0,0,0.004591368,0.012855831,0.014692378,0,0,0.008264463,0.004591368,0,0,0,0,0,0.022956841,0.002754821,0,0.001836547,0.052341598,0.011019284,0.067033976,0,0.001836547,0.170798898,0,0,0,0,0,0.018365473,0.005509642,0,0.127640037,0.000918274,0,0.017447199,0,0,0,0.039485767,0,0,0,0,0,0.013774105,0.145087236,0,0,0,0,0.173553719,0.000918274,0,0
24,137,0,0,0.007194245,0,0.005138746,0,0.001027749,0.029804728,0,0.006166495,0.012332991,0,0.002055498,0,0,0,0.005138746,0.003083248,0.010277492,0.006166495,0.005138746,0.003083248,0.010277492,0.001027749,0,0.001027749,0,0,0.028776978,0.002055498,0.002055498,0.003083248,0.023638232,0.021582734,0.069886948,0.003083248,0,0.238437821,0,0,0,0,0,0.015416238,0,0,0.100719424,0,0,0.007194245,0,0,0.001027749,0.034943474,0,0,0,0,0,0.011305242,0.156217883,0.001027749,0,0,0.005138746,0.163412127,0,0,0.002055498
28,161,0,0.003297609,0.002473207,0.001648805,0.008244023,0,0,0.035449299,0,0.01071723,0.006595218,0,0,0,0.000824402,0,0.001648805,0.001648805,0.02143446,0.006595218,0.004946414,0.004946414,0.001648805,0,0,0,0,0,0.01071723,0,0,0.002473207,0.037922506,0.002473207,0.070074196,0.002473207,0,0.156636439,0,0,0,0,0,0.020610058,0.004946414,0,0.122011542,0.001648805,0.000824402,0.016488046,0,0,0,0.035449299,0,0,0,0,0,0.013190437,0.192085738,0,0,0,0,0.189612531,0,0,0.008244023
32,184,0,0,0.005665722,0,0,0,0.000944287,0.040604344,0,0.004721435,0,0,0,0,0.001888574,0,0.002832861,0.006610009,0.009442871,0.003777148,0,0.004721435,0.002832861,0.001888574,0,0,0,0,0.017941454,0,0.002832861,0.002832861,0.055712937,0.009442871,0.121813031,0,0,0.164305949,0,0,0,0,0,0.011331445,0.004721435,0,0.09631728,0,0.000944287,0.020774315,0,0,0,0.041548631,0,0,0,0,0,0.005665722,0.202077432,0,0,0,0.001888574,0.15108593,0.000944287,0,0.001888574
36,207,0,0.001796945,0.000898473,0,0.011680144,0,0,0.028751123,0,0.008086253,0.002695418,0,0,0,0,0,0.00359389,0.002695418,0.017070979,0,0,0,0.002695418,0,0,0,0,0,0.039532794,0,0.004492363,0.002695418,0.051212938,0.002695418,0.07277628,0,0,0.1868823,0,0,0,0,0,0.014375562,0.005390836,0,0.090745732,0,0,0.011680144,0.001796945,0,0,0.038634322,0,0,0,0,0,0.005390836,0.14195867,0,0,0,0.002695418,0.247079964,0,0,0
