"sample.depths","sample.ages","Ambrosia.type","Betula","Carya","Celtis","Cephalanthus","Amaranthaceae.undiff.","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Liquidambar","Lonicera","Nyssa","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.undiff.","Platanus","Quercus","Saxifragaceae","Ulmus","Poaceae","Acer.saccharum.type","Acer.saccharinum.type","Castanea","Fagus","Magnolia","Salix","Ericaceae","Taxodium","Asteraceae.subf..Asteroideae.undiff.","Cupressaceae.undiff.","Acer.rubrum","Fraxinus.nigra.type","Morus","Rhus","Rubus","Alnus","Brassicaceae","Tilia","Cornus","Polygonum","Cyperaceae","Pinus.subg..Strobus","Viburnum","Herbs.undiff.","Liriodendron","Prunus.Sorbus","Parthenocissus","Bidens.type","Corylus","Sambucus","Trees.undiff.","Juglans.undiff.","Vitis","Lamiaceae","Plantago","Rhamnaceae","Populus","Acer.negundo","Tsuga","Acer.pensylvanicum","Acer.spicatum","Thalictrum","Juglans.cinerea","Iva.annua.type","Picea","Artemisia","Ilex","Urtica.type","Onagraceae","Juglans.nigra","Sarcobatus.vermiculatus","Caryophyllaceae","Cannabaceae","Shrubs.undiff."
0,NA,0.0339506172839506,0.00308641975308642,0.0123456790123457,0.00617283950617284,0.00617283950617284,0.00308641975308642,0.00617283950617284,0.00617283950617284,0.095679012345679,0.00308641975308642,0.0740740740740741,0.00925925925925926,0.104938271604938,0.404320987654321,0.00308641975308642,0.197530864197531,0.00925925925925926,0.00617283950617284,0.0154320987654321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,560,0.00597014925373134,0,0.0208955223880597,0,0.0298507462686567,0,0,0.0119402985074627,0.0238805970149254,0,0.438805970149254,0.00298507462686567,0.0208955223880597,0.125373134328358,0,0.250746268656716,0,0.00298507462686567,0.00597014925373134,0.00298507462686567,0.00298507462686567,0.0328358208955224,0.00597014925373134,0.00597014925373134,0.00895522388059702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,790,0.0196078431372549,0,0.0112044817927171,0,0.0336134453781513,0,0.00560224089635854,0.00280112044817927,0.0364145658263305,0,0.372549019607843,0,0.0280112044817927,0.176470588235294,0,0.215686274509804,0.00840336134453781,0.00280112044817927,0.00280112044817927,0.00280112044817927,0,0.0336134453781513,0.00560224089635854,0,0.0112044817927171,0.0112044817927171,0.00280112044817927,0.00280112044817927,0.0140056022408964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1105,0.00583090379008746,0,0.0116618075801749,0.00291545189504373,0,0,0,0.0087463556851312,0.0291545189504373,0,0.466472303206997,0.0087463556851312,0.0174927113702624,0.131195335276968,0,0.24198250728863,0,0.00583090379008746,0.0087463556851312,0.00291545189504373,0,0.0291545189504373,0.00583090379008746,0,0.00291545189504373,0.0116618075801749,0,0,0,0.00291545189504373,0.00291545189504373,0.00291545189504373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,1419,0.0075566750629723,0,0.0226700251889169,0,0.0100755667506297,0,0.00251889168765743,0.0277078085642317,0.0277078085642317,0,0.521410579345088,0.00251889168765743,0.017632241813602,0.146095717884131,0,0.168765743073048,0,0,0.00503778337531486,0,0,0.0151133501259446,0,0.00503778337531486,0,0,0,0.00503778337531486,0,0.00503778337531486,0,0,0.00251889168765743,0.00251889168765743,0.00251889168765743,0.00251889168765743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,1755,0,0.00617283950617284,0.0246913580246914,0,0,0,0,0.00308641975308642,0.0277777777777778,0,0.558641975308642,0,0.0123456790123457,0.080246913580247,0,0.212962962962963,0,0,0.00617283950617284,0.00617283950617284,0,0.0308641975308642,0.00308641975308642,0,0.0154320987654321,0,0,0,0,0,0,0,0,0.00617283950617284,0,0,0.00308641975308642,0.00308641975308642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2176,0.00709219858156028,0,0.0141843971631206,0,0.00709219858156028,0,0.00236406619385343,0.016548463356974,0.0354609929078014,0,0.482269503546099,0.00236406619385343,0.0141843971631206,0.099290780141844,0,0.274231678486998,0.00236406619385343,0,0.00236406619385343,0,0,0.0307328605200946,0.00709219858156028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00236406619385343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,2598,0.00246305418719212,0.00246305418719212,0.0147783251231527,0,0.0123152709359606,0,0,0.00492610837438424,0.0246305418719212,0,0.568965517241379,0,0.0147783251231527,0.0714285714285714,0,0.211822660098522,0,0.00246305418719212,0.00246305418719212,0.00492610837438424,0,0.0394088669950739,0.00246305418719212,0,0,0,0,0.00246305418719212,0,0,0.00246305418719212,0,0,0.00246305418719212,0,0,0,0,0,0.00492610837438424,0.00492610837438424,0.00246305418719212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3019,0.00196463654223969,0,0.0176817288801572,0,0.00196463654223969,0,0,0.00392927308447937,0.037328094302554,0,0.583497053045187,0,0.0157170923379175,0.100196463654224,0,0.206286836935167,0.00589390962671906,0,0.00196463654223969,0,0,0.0157170923379175,0.00196463654223969,0,0.00392927308447937,0,0,0,0,0,0,0,0,0,0,0,0,0.00196463654223969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,5755,0.00226757369614512,0,0.0136054421768707,0.00680272108843537,0.0249433106575964,0,0.00226757369614512,0.00453514739229025,0.0204081632653061,0,0.140589569160998,0.00226757369614512,0.0113378684807256,0.104308390022676,0.00226757369614512,0.351473922902494,0.00226757369614512,0.0113378684807256,0.018140589569161,0,0,0,0.00226757369614512,0,0.00680272108843537,0,0,0.00226757369614512,0.00226757369614512,0.0090702947845805,0.00453514739229025,0,0,0.201814058956916,0.00226757369614512,0,0,0.00226757369614512,0,0.0090702947845805,0,0,0.036281179138322,0.00226757369614512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
