"sample.depths","sample.ages","upland.sum","Iva.annua.type","Corylus","Cyperaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Iva.xanthifolia.type","Larix","Picea","Pinus.undiff.","Plantago.major","Populus.tremuloides.type","Quercus","Thalictrum","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Humulus.Cannabis.sativa","Juniperus.type","Myrica","Chenopodium.type","Pinus.banksiana.P..resinosa","Pinus.strobus.type","cf..Rhamnus.alnifolia","Fabaceae.cf..Melilotus","Ilex","Juglans.nigra","Ostrya.Carpinus","Platanus","Ulmus","Geum","Carya","Juglans.cinerea","Tilia","Fagus","Ericaceae.undiff.","Ledum.Chamaedaphne.calyculata","Salix","Ephedra","Fraxinus.undiff.","Caryophyllaceae","Rosaceae.undiff.","Ranunculus.flabellaris.type","Rubus.chamaemorus","Prunus.americana.type","cf..Viburnum.lentago","Gaultheria.procumbens","Populus.balsamifera.type","Dalea","Liquidambar","Toxicodendron.radicans.type","Cornus.canadensis","Apiaceae","Castanea","Zea.mays","Potentilla","Laportea"
0,-29,129,3,3,5,3,1,12,2,2,1,24,1,1,13,1,2,2,4,12,1,5,4,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,509,179,0,1,3,4,0,2,1,3,5,37,0,1,9,0,65,1,0,2,0,1,4,30,0,0,1,1,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1020,200,1,1,1,4,0,0,0,3,2,58,0,0,8,0,89,0,1,1,0,1,2,18,0,0,0,0,4,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1507,189,0,0,1,1,0,0,0,1,2,61,0,4,3,0,60,0,0,0,0,2,7,40,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2019,234,0,0,0,1,0,1,0,4,1,113,0,0,12,1,17,0,0,0,0,1,6,69,0,0,1,0,1,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2531,222,0,0,0,1,0,1,0,1,0,48,0,0,10,1,59,0,0,2,0,1,5,73,0,0,0,0,8,0,5,0,0,0,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,3043,235,1,0,0,1,1,0,0,2,2,157,0,2,21,0,1,1,0,0,0,1,1,22,0,0,0,1,8,3,4,0,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,3650,213,0,1,3,5,0,1,0,9,0,95,0,3,26,1,0,1,0,1,0,2,3,44,0,0,0,0,2,0,5,0,3,2,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,4241,283,0,1,6,9,0,5,0,3,1,137,0,0,15,0,0,1,0,2,0,2,4,67,1,0,0,0,9,0,6,0,0,0,5,0,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,4832,264,0,0,4,3,0,1,0,2,0,103,0,1,34,1,0,0,0,3,0,0,2,79,0,0,0,0,15,1,9,0,0,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,5423,293,0,2,8,4,0,1,0,4,0,138,0,0,13,0,0,0,0,0,0,0,3,95,0,0,0,0,5,1,13,0,0,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
320,6014,293,0,0,4,4,0,2,0,0,0,101,0,3,31,0,0,2,0,2,0,0,1,92,0,0,0,0,14,1,27,0,0,2,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
360,6605,307,0,1,14,0,0,1,0,2,3,107,0,2,14,0,0,2,0,2,0,1,7,126,0,0,0,0,12,1,8,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,7196,306,1,0,18,3,0,1,0,1,0,139,0,0,7,0,0,3,0,1,0,1,1,111,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
420,7489,235,1,2,19,2,1,0,0,2,1,63,0,0,35,0,0,1,0,1,0,6,1,9,1,0,0,0,43,0,30,0,0,0,3,0,1,9,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
426,7563,313,1,3,23,2,1,3,0,0,0,86,0,0,25,0,0,2,0,2,0,0,3,93,1,0,0,0,36,1,20,0,1,1,2,0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
470,8103,273,0,2,14,10,1,0,0,2,0,87,0,5,35,0,0,3,0,3,2,2,0,49,0,0,0,0,30,1,19,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
480,8226,263,0,1,11,10,0,1,0,2,0,113,0,2,11,0,0,1,1,1,0,3,3,69,0,0,0,0,17,0,12,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
520,8717,289,0,1,5,2,1,0,0,1,0,156,0,1,0,0,0,2,0,1,0,1,0,98,0,0,0,0,14,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,8962,249,0,3,4,6,3,7,0,5,0,79,0,12,20,0,0,1,0,1,1,0,10,67,0,0,0,0,11,0,16,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
556,9158,265,0,1,0,2,0,0,0,4,3,110,0,0,8,0,0,0,0,2,0,3,3,104,0,0,0,0,13,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,9698,249,0,1,3,2,0,2,2,1,0,109,0,1,8,1,0,0,0,2,0,4,13,87,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
620,9944,278,0,0,0,3,0,0,0,1,3,94,0,8,20,0,0,0,0,4,0,5,9,97,1,0,0,0,5,2,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,10189,213,1,0,3,3,1,17,2,6,2,57,0,3,27,1,0,5,0,3,0,12,10,29,0,0,0,0,2,0,16,0,3,0,0,0,1,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
660,10434,258,0,1,2,5,1,4,1,3,2,85,0,6,17,1,0,5,0,3,2,1,22,33,0,0,0,0,6,1,49,0,4,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,10680,190,0,0,5,9,1,0,0,5,1,23,0,1,17,0,0,1,0,3,0,6,39,10,0,0,0,0,8,1,51,0,4,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,NA,278,0,1,4,20,0,4,0,8,150,8,0,16,5,0,0,1,0,16,0,1,12,0,0,0,0,0,8,1,12,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,NA,235,2,3,27,2,0,6,0,7,127,1,0,5,6,0,0,4,0,12,0,3,0,0,0,0,0,0,2,0,7,0,2,0,0,0,1,0,14,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
