"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae.type","Caprifoliaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Cyperaceae","Ephedra","Equisetum","Ericaceae","Eriogonum","Fabaceae","Fagus","Fraxinus","Humulus","Indeterminable","Juglans","Lamiaceae","Liliaceae","Liquidambar","Lycopodium","Myrica","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Oxalidaceae","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago.lanceolata","Plantago.major","Platanus","Poaceae.undiff.","Polygonum","Populus","Prunus.type","Pteridium","Quercus","Ranunculus","Rhamnus","Rhus","Rosaceae.undiff.","Rumex","Salix","Saxifraga","Solanaceae","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Ulmus","Unknown","Unknown..monolete..undiff.","Unknown..trilete..undiff.","Urtica","Viburnum","Vitis","Zea"
0.5,-34,0,2,16,0,12,2,48,0,0,0,2,128,0,0,8,16,0,0,0,0,8,4,0,0,0,0,0,16,18,0,74,2,0,0,0,0,0,0,2,2,14,0,0,20,10,38,2,0,4,20,0,0,8,0,256,0,0,0,0,14,4,0,0,0,0,0,0,34,6,4,2,2,0,0,0,0
3.5,-21,0,8,8,0,8,0,54,0,0,0,2,144,0,0,16,10,0,0,4,0,2,0,0,0,4,0,2,22,12,0,74,6,0,0,0,0,0,2,0,2,8,0,2,16,4,46,6,0,4,24,0,0,0,0,314,0,2,0,0,16,0,0,0,0,0,0,0,26,12,0,4,18,0,0,0,0
6.5,-8,0,12,16,0,14,4,70,0,0,0,2,108,2,2,16,20,0,0,2,2,8,2,0,0,0,0,2,16,8,0,48,2,0,0,2,0,0,0,0,0,10,0,4,16,8,38,6,2,2,32,0,0,0,0,290,0,2,0,0,20,2,0,0,0,0,0,0,40,4,0,2,2,0,0,0,0
10.5,8,0,12,2,0,14,0,68,0,0,0,0,136,2,0,10,24,2,0,0,0,12,2,0,0,2,0,0,28,26,0,52,2,0,0,2,0,2,0,2,2,2,4,2,10,8,18,2,2,4,26,0,0,0,0,284,0,2,0,0,8,2,0,0,0,0,0,0,16,14,2,2,2,0,0,2,0
13.5,18,0,8,10,2,20,2,116,0,2,0,2,142,2,0,6,36,0,0,4,6,6,0,0,0,0,0,0,14,12,0,66,4,0,2,0,0,0,0,0,2,24,0,2,10,0,68,4,2,6,52,0,0,0,0,242,0,0,0,2,20,0,0,0,2,0,0,0,36,12,0,0,4,0,2,0,0
16.5,30,0,2,8,0,26,4,118,2,0,0,10,162,4,0,4,68,2,0,0,0,8,2,2,0,0,0,0,58,12,0,86,2,0,0,0,0,10,0,0,0,8,0,12,16,14,66,6,0,4,54,0,0,2,2,198,0,0,0,0,36,2,0,0,2,0,0,0,36,8,6,0,12,0,0,0,0
17.5,35,0,8,12,0,24,0,100,0,0,0,0,118,6,0,8,64,2,0,0,0,8,2,0,68,2,0,0,40,6,0,100,2,2,0,0,2,0,0,6,0,24,0,4,24,16,82,4,0,4,54,0,6,0,0,168,2,0,0,0,68,4,0,0,2,2,0,0,48,2,2,2,20,0,0,4,0
18.5,41,0,4,8,0,26,4,72,0,0,0,2,114,0,0,4,58,0,0,0,0,8,4,0,0,0,0,0,32,6,0,70,4,0,0,4,0,2,0,2,2,12,0,4,50,20,80,0,0,2,50,0,0,0,0,154,0,0,0,0,24,2,0,2,0,0,0,0,56,6,2,0,18,4,0,0,0
20.5,55,2,0,22,0,24,2,88,0,2,0,4,104,0,0,12,26,0,0,0,2,8,4,0,0,0,0,0,42,6,0,62,0,0,0,0,0,0,0,0,0,2,0,14,18,14,106,0,0,2,30,0,0,0,0,190,0,0,0,0,10,0,0,0,4,0,0,0,96,4,0,2,10,0,2,0,0
22.5,71,0,4,10,0,26,0,46,0,0,0,0,86,4,2,0,24,0,0,0,0,2,0,0,0,0,0,0,22,6,0,64,0,0,0,0,2,0,2,0,0,12,0,4,40,28,92,2,0,4,26,2,0,0,0,180,0,0,0,0,18,0,0,0,2,0,0,0,102,8,2,0,14,0,0,0,0
