"sample.depths","sample.ages","Abies.balsamea","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Armeria.maritima","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Betula.undiff.","Brassicaceae","Campanula.type","Caprifoliaceae.undiff.","Carya.ovata","Caryophyllaceae","Castanea.dentata","Cerealia","cf..Oxyria.digyna","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Drosera","Epilobium","Ericaceae","Fabaceae.undiff.","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Koenigia.islandica","Larix","Liliaceae","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Myrica.gale","Nuphar","Osmunda.cinnamomea","Ostrya.Carpinus","Oxytropis.maydelliana.type","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinaceae","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae.undiff.","Polygonum.viviparum","Polypodium.virginianum","Populus.balsamifera.type","Populus.tremuloides.type","Potentilla.palustris.type","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Ribes","Rosaceae.undiff.","Rubus.chamaemorus","Rumex.type","Salix","Sambucus","Sarracenia.purpurea","Saxifraga.cernua.type","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Utricularia","Viburnum.alnifolium","Viburnum.edule"
5,119,18,0,1,2,20,0,2,45,0,0,0,0,0,0,142,0,0,1,0,0,0,0,0,2,35,0,0,0,10,0,2,0,2,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,42,3,6,10,0,1,10,1,17,0,0,0,0,0,2,0,0,1,0,0,4,0,0,0,0,0,35,0,0,0,0,0,0,1,11,6,2,0,0,0
20,475,55,2,0,0,24,0,1,52,0,0,4,1,0,0,192,0,0,0,0,0,3,1,0,9,23,0,0,0,9,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,77,6,0,1,0,24,1,2,12,0,0,0,0,0,2,0,0,0,1,0,6,3,0,0,0,0,119,0,0,0,1,0,0,3,0,2,1,0,0,0
30,712,76,0,0,0,5,0,0,19,0,0,0,7,0,0,312,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,148,0,6,10,0,10,8,0,22,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,26,0,0,0,7,0,0,0,57,0,0,0,0,0
45,1068,111,0,3,0,10,0,0,0,0,0,1,0,0,186,0,0,0,0,1,0,0,0,0,10,5,0,0,0,2,0,5,0,2,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,103,16,2,15,0,35,5,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0
55,1305,55,2,5,0,62,0,1,1,0,0,1,1,0,0,450,0,0,1,1,0,0,0,0,12,9,0,0,0,3,1,20,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,5,0,0,0,1,88,58,10,4,0,26,13,0,1,0,0,0,2,0,4,0,1,1,0,0,0,1,1,0,0,0,4,0,0,1,11,0,0,1,28,3,0,0,0,0
70,1661,55,2,4,0,14,0,0,0,0,0,2,1,0,0,434,0,0,0,1,0,0,1,0,37,1,0,0,0,1,0,23,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,1,0,0,10,61,13,4,3,0,48,7,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,35,0,0,2,5,2,0,0,0,0
80,1898,93,3,2,0,8,0,0,2,0,0,2,0,0,0,583,0,0,0,1,0,0,0,0,3,1,0,0,0,5,0,22,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4,0,3,0,0,76,46,20,10,0,17,80,0,3,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,28,0,0,4,42,2,1,0,0,0
90,2136,33,1,4,0,2,0,0,1,0,0,3,1,0,0,294,0,0,0,1,0,1,0,0,13,7,0,0,0,1,0,18,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,2,1,0,4,0,2,30,12,2,0,0,32,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,3,0,1,0,0,0,0
105,2492,46,3,1,0,9,0,1,3,0,0,1,0,0,0,338,1,0,0,0,0,0,0,0,3,16,0,1,0,1,0,18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,82,23,10,0,0,2,77,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,9,0,0,1,14,0,0,1,25,1,1,0,0,0
120,2847,55,1,5,0,9,0,0,0,0,0,5,1,0,0,336,0,0,0,4,0,0,0,0,30,10,0,0,0,3,0,19,0,10,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,7,4,0,0,94,17,0,3,0,0,0,0,0,17,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,2,0,1,0,0
