"sample.depths","sample.ages","Abies.balsamea","Acer.negundo","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Botrychium","Caprifoliaceae.undiff.","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","Cornus","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Diphasiastrum.complanatum.type","Dryopteris.type","Elaeagnus.commutata","Equisetum","Ericaceae","Eriocaulon","Fabaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Ludwigia","Lycopodium.annotinum.type","Lycopodium.clavatum","Lycopodium.obscurum.type","Menyanthes.trifoliata","Myrica.gale","Myriophyllum.alterniflorum","Myriophyllum.undiff.","Nemopanthus.mucronatus","Nuphar","Onagraceae.undiff.","Osmunda.cinnamomea","Osmunda.regalis.type","Osmunda.undiff.","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Plantaginaceae.undiff.","Plantago","Poaceae","Polygonaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Prunus.pensylvanica","Prunus.virginiana","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rosaceae.undiff.","Salix","Sambucus","Saxifraga.stellaris.type","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica.type","Viburnum.alnifolium","Viburnum.edule","Viburnum.nudum"
5,136,12,0,2,1,0,12,3,27,0,1,14,0,1,0,0,0,333,0,0,1,0,1,1,0,3,15,0,0,1,0,0,3,1,0,13,0,4,2,0,3,26,0,15,0,3,0,0,0,0,0,7,0,2,0,15,0,0,0,1,0,2,48,16,12,1,96,47,0,1,18,0,0,5,1,3,0,0,0,14,0,0,2,4,0,0,0,3,0,0,0,28,0,2,1,4,47,9,0,0,0,0
25,682,16,0,1,1,0,7,0,14,1,0,2,0,1,1,0,0,195,0,0,1,0,1,1,0,2,13,0,0,0,0,0,0,2,0,19,0,3,1,0,2,5,0,1,0,1,0,1,2,0,0,3,0,0,0,4,0,0,0,2,1,1,28,16,3,2,102,22,0,0,6,0,0,3,0,2,0,0,0,10,0,0,0,1,0,0,0,2,0,0,0,38,0,3,1,1,9,0,0,0,0,0
50,1363,15,0,1,3,0,7,3,9,6,0,3,0,1,1,0,0,252,0,0,4,0,0,2,0,0,7,0,0,3,0,0,0,2,0,23,1,3,2,0,1,4,0,2,1,3,0,0,3,0,0,4,0,0,0,8,0,0,0,0,0,1,37,16,8,2,103,27,0,0,5,0,0,5,0,1,0,0,0,19,0,0,2,2,0,0,0,5,1,0,1,55,0,0,7,1,16,3,0,0,0,0
75,2045,7,0,0,0,0,15,2,8,2,0,0,0,1,0,0,0,308,0,0,0,0,0,2,0,0,4,0,0,0,0,22,0,2,0,31,1,2,1,1,13,10,1,7,4,2,0,0,1,0,0,2,0,0,0,4,0,0,1,0,0,1,13,7,36,3,80,68,0,0,6,1,0,0,2,0,2,0,0,25,0,0,1,0,0,0,0,2,0,0,2,53,0,1,7,0,13,1,0,0,0,2
100,2649,6,0,4,2,0,8,0,16,0,0,0,0,0,0,0,0,318,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,29,0,2,2,0,2,27,0,4,0,3,0,0,5,0,0,3,0,0,1,2,0,0,0,2,0,0,14,4,5,0,98,43,0,0,4,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,1,2,0,0,40,0,0,4,0,7,1,0,0,0,0
125,2941,15,0,1,4,0,14,0,10,4,0,1,0,1,1,0,0,293,0,0,4,2,1,1,0,1,11,0,0,0,0,0,0,3,0,45,0,6,1,0,2,6,1,6,0,1,0,0,2,0,1,2,0,0,0,2,0,0,0,0,0,4,12,10,11,2,87,73,0,0,3,0,0,2,0,0,0,0,0,13,0,0,1,0,0,0,0,6,0,0,0,65,0,0,5,1,6,1,0,0,0,0
150,3234,9,0,1,3,0,16,1,3,6,1,0,0,3,0,0,0,250,0,1,0,1,0,1,0,1,3,0,0,1,0,0,1,0,0,31,0,5,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,11,3,1,3,106,43,0,0,3,0,0,1,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,44,0,0,4,0,4,0,0,0,0,1
175,3526,5,0,1,2,0,13,0,11,8,1,3,0,1,0,0,0,293,1,0,2,0,1,0,0,1,8,0,0,0,0,0,0,0,0,38,1,7,1,0,1,2,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,4,0,1,5,1,4,139,82,0,0,0,0,0,1,0,1,0,0,0,16,0,0,0,0,0,0,0,2,2,1,1,41,0,0,8,2,7,0,0,0,0,0
200,3819,2,0,4,5,0,6,0,5,1,1,1,0,3,1,0,0,223,0,0,0,0,1,0,0,1,6,0,0,1,0,0,0,1,0,21,0,1,5,0,4,9,3,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,6,5,3,0,109,166,0,0,1,0,1,1,1,0,0,0,0,20,0,0,0,0,0,0,0,0,5,1,3,14,0,1,15,1,10,1,0,0,0,0
225,4112,5,0,4,2,1,9,0,8,3,0,2,0,2,2,0,0,307,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,28,0,8,4,1,0,3,0,0,1,1,0,1,1,0,0,4,0,0,1,0,0,0,0,0,1,0,3,1,4,0,144,54,0,0,2,0,0,1,0,1,0,0,0,28,0,0,0,1,0,0,0,0,0,0,1,11,0,0,6,1,10,1,0,0,0,0
