"sample.depths","sample.ages","upland.sum","Acer.saccharum.type","Acer.pensylvanicum","Acer.rubrum","Ambrosia.type","Artemisia","Betula","Carya","Castanea","Asteraceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Poaceae.undiff.","Juglans.cinerea","Kalmia","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Plantago.lanceolata","Plantago.media","Platanus","Quercus","Rumex","Sambucus","Tilia","Tsuga","Ulmus","Alnus","Myrica","Viburnum","Cerealia","Abies","Acer.spicatum","Ilex","Populus","Ericaceae.undiff.","Nyssa","Geranium","Juglans.nigra","Salix","Taxus","Thalictrum","Rhus","Ranunculus","Liquidambar","Brassicaceae","Primulaceae","Larix","Celtis","Cornus","Prunus.Sorbus","Rosaceae.undiff.","Galium","Portulacaceae","Acer.saccharinum.type","Amaranthaceae","Acer.negundo","Vitis","Sanguisorba","Potentilla.type","Clethra","Cephalanthus","Liliaceae","Cannabaceae","Apiaceae","Caryophyllaceae","Oxyria.digyna","Rubus","Urtica.type","Geum.type","Fabaceae","Dryas.type","Polygonaceae.undiff.","Saxifragaceae","Lamiaceae","Scrophulariaceae"
0,-105,436,8,2,2,16,1,120,2,1,1,8,1,1,71,8,3,11,1,1,8,8,8,24,1,1,1,44,10,1,1,58,5,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,506,597,9,1,2,0,1,140,12,10,2,10,4,0,129,17,6,0,3,0,12,17,6,22,0,0,1,61,1,0,4,101,6,12,2,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1175,373,9,0,1,0,0,95,4,11,0,0,1,1,86,8,1,1,0,0,6,0,10,14,0,0,1,51,0,0,1,57,6,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1768,434,13,3,0,0,0,108,5,7,0,4,2,0,93,4,3,1,0,0,8,3,11,18,0,0,0,51,0,0,0,80,11,5,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2438,826,31,1,2,0,1,186,14,8,0,7,2,7,188,26,5,2,3,0,13,2,18,44,0,0,3,116,0,0,1,114,18,7,0,0,0,0,0,2,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2987,382,14,0,3,0,1,89,6,4,0,4,0,3,82,10,3,2,1,0,8,4,7,15,0,0,0,64,0,0,2,48,2,4,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3467,628,29,2,1,1,0,135,8,4,2,6,2,2,156,22,3,0,0,0,8,3,17,29,0,0,1,99,0,0,2,66,12,10,0,1,0,2,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3871,230,7,0,0,0,0,46,4,1,0,2,0,1,53,8,3,0,0,0,6,3,5,11,0,0,0,61,0,0,0,11,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4191,722,31,3,4,1,0,165,14,5,0,4,6,3,176,22,3,0,4,0,26,2,24,31,0,0,7,129,0,0,1,27,12,13,1,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,4328,835,17,10,15,2,1,190,8,1,0,15,0,1,205,24,2,3,3,0,14,0,22,44,0,0,3,189,0,2,2,23,23,9,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
