"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus..pentaporate.","Alnus..tetraporate.","Betula","Carya","Celtis","Corylus","Ephedra","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Larix","Liquidambar","Myrica","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Epilobium","Iva.annua.type","Iva.xanthifolia","Lamiaceae","Plantago","Poaceae","Polygonum.lapathifolium.type","Ranunculaceae.undiff.","Rosaceae","Rumex","Thalictrum","Xanthium","Adiantum","Botrychium","Diphasiastrum.complanatum","Huperzia.lucidula","Lycopodium.clavatum","Lycopodium.obscurum","Lycopodium.undiff.","Osmunda.cinnamomea","Polypodiaceae","Pteridium","Sphagnum","Nuphar","Nymphaeaceae.undiff.","Typha.angustifolia","Typha.latifolia","Spore..monolete..psilate.","Spore..monolete..verrucate.","Spore..trilete.","Indeterminable","Unknown"
1,-5,0,0,0,1,0,0,2,8,90,1,0,0,0,0,1,5,1,1,0,1,1,1,0,4,3,1,0,18,97,0,2,35,0,1,22,13,0,34,0,2,2,0,0,6,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,266,1,0,0,2,0,1,5,12,105,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,11,4,0,13,97,0,0,21,0,0,22,6,0,27,0,6,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
15,417,0,1,0,2,0,0,4,9,82,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,1,1,0,9,140,0,0,16,0,0,36,11,0,5,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
20,567,4,4,5,3,0,0,1,9,151,0,0,2,0,3,0,14,2,0,0,0,0,2,0,3,7,2,12,98,212,0,0,35,0,4,97,14,1,15,0,9,3,0,0,3,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,2,2,2
30,868,0,1,1,1,0,0,1,5,74,0,0,2,0,0,0,2,0,0,1,0,2,5,0,0,0,21,0,37,124,0,0,20,0,0,27,5,0,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40,1169,2,3,0,2,0,1,0,5,73,0,0,0,0,0,0,2,0,0,1,2,1,2,0,0,0,3,0,52,103,0,0,17,0,0,32,5,0,6,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,1470,2,0,0,5,0,0,5,4,68,0,0,1,0,2,0,1,1,0,0,0,2,4,0,0,0,1,0,48,119,0,1,17,0,3,20,4,0,1,0,3,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,1771,4,0,0,6,0,0,5,6,189,3,0,3,0,2,0,5,2,0,0,0,0,3,0,1,3,8,13,96,216,0,0,41,0,2,37,17,0,4,0,9,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,1
70,2072,0,0,0,2,0,0,2,6,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,41,124,0,0,18,0,1,36,3,0,2,0,5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75,2222,0,2,0,1,0,1,3,9,78,1,0,2,0,3,2,5,0,0,0,0,0,1,0,1,5,4,0,20,125,0,0,19,0,0,22,6,0,6,0,2,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
