"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.spicatum","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Larix","Picea","Pinus.undiff.","Quercus","Tilia","Tsuga","Ulmus","Alnus","Ambrosia","Poaceae","Acer.saccharinum","Acer.saccharum","Populus.grandidentata.type","Pinus.banksiana.P..resinosa","Ostrya","Thuja.plicata.type","Pinus.strobus.type","Carya","Fraxinus.undiff.","Juglans.nigra","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Celtis","Rumex","Salix","Plantago","Acer.undiff.","Corylus","Platanus","Myrica","Juglans.cinerea","Ilex","Sarcobatus.vermiculatus","Populus.balsamifera"
1,-21,442,3,5,1,2,136,1,7,7,2,3,1,4,29,16,1,83,5,6,7,5,1,9,2,9,13,19,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-10,377,2,9,0,4,113,2,4,9,0,0,0,8,0,15,1,58,13,5,5,2,0,7,2,3,2,12,86,1,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10,357,2,9,0,1,123,3,3,13,0,0,0,4,0,20,0,28,8,6,24,6,0,9,10,5,3,7,62,0,6,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
7,40,381,4,2,0,5,113,5,1,17,0,0,0,7,0,18,1,58,3,8,36,3,0,5,3,11,5,6,64,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
8,50,463,3,4,1,2,160,2,6,14,0,0,6,5,0,9,0,66,5,12,25,6,0,12,1,14,8,6,86,0,5,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
9,60,391,4,2,0,1,137,2,7,19,0,0,0,2,0,12,0,56,8,18,20,4,0,11,2,5,7,4,65,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,70,399,3,3,0,2,133,1,3,23,0,0,0,4,0,23,0,54,7,7,16,7,0,6,5,15,0,12,68,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0
12,101,474,5,3,0,3,158,1,6,11,0,0,0,7,0,18,4,87,6,7,9,0,0,12,4,23,3,2,94,1,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
14,143,377,4,2,1,3,152,0,5,9,0,0,3,4,0,17,0,60,9,7,5,4,0,14,1,17,8,1,43,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20,270,491,1,1,0,5,171,1,10,9,0,0,0,7,0,16,1,96,12,6,4,0,0,10,7,17,10,4,95,1,3,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0
