"sample.depths","sample.ages","Abies","Allium.type","Alnus","Amaranthaceae.undiff.","Ambrosia","Amorpha","Anemone.type","Apiaceae","Artemisia","Asteraceae.undiff.","Betula","Betulaceae.undiff.","Boraginaceae","Brassicaceae","Caltha.type","Campanula","Carya","Caryophyllaceae","Castanea","cf..Valerianella","Cornus","Corylus","Cyperaceae","Dalea","Dodecatheon.type","Epilobium","Euphorbia.subg..Chamaesyce.type","Fabaceae.undiff.","Fraxinus","Genista.type","Gentianaceae.undiff.","Geum.type","Hedyotis","Hypericum","Indeterminable","Iva.annua.type","Juniperus.type","Larix","Lemna","Liliaceae","Lomatogonium","Lonicera","Myriophyllum","Ophioglossum","Ostrya.Carpinus","Phlox","Picea","Pinaceae.undiff.","Pinus","Plantago","Platanus","Poaceae","Polemonium","Polypodiaceae","Populus","Potamogetonaceae","Potentilla.type.undiff.","Potentilla.subg..Comarum.type","Primula","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sanguisorba.canadensis","Sarcobatus.vermiculatus","Scrophulariaceae","Sedum","Shepherdia.canadensis","Sparganium.type","Thalictrum","Tilia","Typha","Ulmus","Unknown","Urtica","Viburnum","Viola","Vitis","Xanthium"
313,19286,0,0,3,1,4,1,1,0,5,4,0,0,0,2,1,0,1,27,0,1,0,1,68,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,245,0,5,0,1,33,7,0,0,0,3,0,4,10,0,1,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
333,19740,5,0,1,3,5,0,0,5,16,5,2,0,0,0,1,0,0,6,0,0,0,1,100,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,1,293,0,6,1,2,123,4,1,0,0,0,1,1,4,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
353,20194,5,0,3,2,2,0,1,3,24,6,2,0,0,1,0,0,1,13,0,0,0,1,202,0,1,2,0,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,1,0,269,5,10,0,0,105,6,1,0,0,2,0,4,15,1,0,0,0,7,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0
373,20648,2,0,1,2,3,0,0,0,23,3,2,0,0,1,0,0,1,2,0,1,0,0,55,0,0,0,0,0,0,0,0,1,0,0,9,0,2,0,0,0,2,0,0,0,1,0,194,1,8,0,1,14,19,0,0,0,1,0,5,9,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0
393,21102,1,0,3,0,2,0,1,0,13,2,0,0,0,0,0,0,0,6,1,0,0,0,104,0,0,0,0,0,0,0,0,1,0,0,9,1,6,0,0,0,0,0,0,0,0,0,227,0,4,0,0,19,5,1,0,0,0,0,2,4,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0
414,21578,7,0,1,1,0,0,0,0,14,0,3,0,0,0,0,0,1,2,0,0,0,0,73,0,0,0,0,0,1,0,2,1,0,0,3,0,1,0,0,0,2,0,0,0,2,0,220,0,3,0,1,17,2,1,0,0,0,0,6,10,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0
433,22010,10,0,0,1,2,0,0,0,9,4,4,0,0,0,0,0,0,0,0,0,1,1,60,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,1,0,0,0,0,0,0,286,1,24,0,0,16,1,0,0,0,1,0,0,2,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
458,22577,9,0,0,0,3,0,0,1,13,6,2,0,0,0,0,0,1,1,0,0,0,1,70,0,0,1,0,1,0,0,0,1,0,0,5,0,2,0,0,0,2,0,0,1,0,0,215,0,10,0,0,26,3,0,0,0,0,0,3,1,3,0,0,0,2,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0
473,22917,6,0,2,0,1,0,0,0,17,4,3,0,0,0,0,0,0,3,0,1,0,0,69,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,2,0,0,0,1,0,238,0,10,0,0,22,3,0,0,0,0,0,0,8,9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
493,23371,4,0,3,1,2,0,0,0,16,2,2,2,0,0,0,0,1,11,0,0,0,2,83,0,0,1,0,0,0,0,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0,248,0,11,0,0,23,2,0,0,0,1,0,4,1,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
513,23825,9,0,2,1,1,0,0,0,24,6,5,0,0,0,3,0,0,1,0,0,0,0,81,0,0,0,0,0,0,0,2,2,0,1,4,0,7,0,0,0,3,1,0,0,1,0,221,0,9,0,1,26,1,0,0,0,0,0,6,6,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,3,0,0,0,0,1
533,24279,3,0,1,1,1,0,0,2,8,4,3,0,0,0,0,0,0,0,0,0,0,1,89,0,0,0,0,0,0,0,0,2,0,0,4,0,4,0,0,0,0,0,0,0,2,1,270,1,8,0,1,24,1,0,0,0,1,0,4,4,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
553,24733,5,0,2,2,3,0,0,1,9,10,7,0,0,1,0,0,0,0,0,0,0,2,68,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,3,0,222,1,20,0,0,23,0,0,0,0,1,0,1,5,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
573,25187,7,0,3,3,1,0,0,1,19,1,0,0,0,0,0,0,0,1,0,0,0,1,101,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,2,0,328,3,39,0,0,37,0,1,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593,25641,0,0,0,0,2,1,0,0,12,8,5,1,0,0,0,0,0,2,0,0,0,1,63,0,0,0,0,0,0,0,5,3,0,0,9,0,8,0,0,0,0,0,0,0,4,0,236,0,9,0,0,25,1,0,0,0,0,0,2,2,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
613,26095,1,0,2,2,2,0,0,1,15,8,6,0,1,0,1,0,0,0,0,0,0,0,182,0,0,0,0,0,0,1,0,7,0,0,3,0,5,0,0,0,0,0,0,0,2,0,224,1,28,0,0,21,0,1,0,0,4,0,1,3,1,0,0,0,1,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0
633,26549,2,0,0,1,3,0,0,1,14,1,3,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,2,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,1,0,264,0,16,0,0,26,1,0,0,1,4,0,1,1,0,0,2,0,4,1,0,0,0,0,1,4,0,0,0,2,0,0,1,0,0
