"sample.depths","sample.ages","upland.sum","Abies","Betula","Cyperaceae","Ericaceae","Picea","Quercus","Rumex","Salix","Sanguisorba","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Apiaceae","Alnus","Ambrosia","Myrica","Pinus","Poaceae","Larix","Tsuga","Artemisia","Ostrya.Carpinus","Rosaceae.undiff.","Fraxinus.nigra","Carya","Ulmus","Tilia","Acer.rubrum"
1,-2,516,16,60,9,51,113,2,3,2,2,2,1,2,222,2,20,5,4,0,0,0,0,0,0,0,0,0,0
11,301,229,23,22,4,10,98,0,0,0,1,0,1,0,54,2,10,4,0,0,0,0,0,0,0,0,0,0,0
21,604,281,22,57,9,66,81,0,1,0,0,0,0,0,34,2,4,3,0,1,1,0,0,0,0,0,0,0,0
31,907,235,20,22,16,11,97,1,0,0,0,0,0,0,52,0,4,5,0,1,1,1,1,2,1,0,0,0,0
41,1210,251,17,41,12,17,96,0,0,0,5,0,0,0,50,0,1,5,2,1,0,1,2,1,0,0,0,0,0
51,1513,394,13,60,12,26,94,1,1,0,0,0,0,0,76,0,7,6,2,0,0,2,1,93,0,0,0,0,0
61,1816,297,19,41,5,10,93,0,0,0,0,1,0,0,65,0,0,8,0,1,0,0,0,54,0,0,0,0,0
71,2119,462,17,34,2,245,114,0,0,0,0,0,1,0,22,3,6,17,0,0,0,0,0,1,0,0,0,0,0
81,2422,415,25,64,93,12,105,2,0,0,7,0,0,0,55,0,33,7,8,2,0,0,0,0,2,0,0,0,0
91,2918,292,26,27,4,5,168,0,0,0,7,0,0,2,26,0,14,9,0,4,0,0,0,0,0,0,0,0,0
101,3449,241,30,21,10,0,146,0,0,0,3,0,2,0,9,0,4,9,4,3,0,0,0,0,0,0,0,0,0
111,3979,454,27,26,9,2,130,2,0,0,3,0,2,0,4,0,231,14,0,3,0,0,0,0,0,1,0,0,0
121,4510,303,30,24,7,0,183,2,0,0,1,0,1,0,22,0,18,7,1,5,0,1,0,0,0,0,1,0,0
131,5040,282,27,23,3,0,161,0,0,0,0,0,0,0,37,0,21,8,0,2,0,0,0,0,0,0,0,0,0
141,5571,292,28,28,2,0,171,0,0,0,0,0,0,0,41,0,14,6,0,1,0,0,0,0,0,0,0,1,0
151,6101,265,33,28,2,0,153,0,0,2,0,1,0,1,8,0,16,7,1,13,0,0,0,0,0,0,0,0,0
161,6632,306,30,56,0,1,153,1,0,13,0,0,0,0,11,0,26,9,2,4,0,0,0,0,0,0,0,0,0
171,7162,316,34,51,2,2,168,2,0,3,0,0,2,0,14,1,22,12,1,1,0,0,0,0,0,0,0,0,1
