"sample.depths","sample.ages","Acer.rubrum","Ambrosia.type","Artemisia","Betula","Carya","Castanea","Cephalanthus","Cyperaceae","Ericaceae","Liquidambar","Nyssa","Ostrya.Carpinus","Platanus","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Fraxinus","Juglans","Pinus","Poaceae","Polygonum.cf..P..hydropiperoides","Itea","Asteraceae.subf..Cichorioideae","Fagus","Tsuga","Apiaceae","Amaranthaceae","Acer.saccharum.type","Myrica","Ilex","Fabaceae","Picea","Thalictrum","Abies","Vitis","Juniperus.type","Caryophyllaceae","Tilia","Cornus","Salix","Sanguisorba","Arceuthobium"
25,NA,0.00284900284900285,0.047008547008547,0.00142450142450142,0.00142450142450142,0.0113960113960114,0.00427350427350427,0.00427350427350427,0.0056980056980057,0.0113960113960114,0.0284900284900285,0.555555555555556,0.00284900284900285,0.00142450142450142,0.121082621082621,0.00997150997150997,0.0056980056980057,0.00284900284900285,0.00142450142450142,0.00142450142450142,0.136752136752137,0.0356125356125356,0.00712250712250712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,NA,0,0.0170940170940171,0,0,0.00683760683760684,0.00512820512820513,0.00854700854700855,0,0.0256410256410256,0.0307692307692308,0.487179487179487,0.00512820512820513,0,0.174358974358974,0,0,0.00170940170940171,0.00341880341880342,0,0.181196581196581,0.0478632478632479,0,0.00170940170940171,0.00341880341880342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,NA,0,0,0,0,0.00651890482398957,0.00391134289439374,0.00260756192959583,0.00130378096479791,0.015645371577575,0.0338983050847458,0.60625814863103,0,0,0.11864406779661,0.00130378096479791,0,0,0.00130378096479791,0,0.168187744458931,0.0325945241199478,0.00130378096479791,0.00130378096479791,0,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,NA,0,0,0,0,0.00695249130938586,0.0266512166859791,0.00115874855156431,0,0.00231749710312862,0.0266512166859791,0.648899188876014,0,0,0.112398609501738,0.00115874855156431,0,0.00115874855156431,0,0.00115874855156431,0.144843568945539,0.00115874855156431,0.00231749710312862,0.0231749710312862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,NA,0,0,0,0.00103842159916926,0.00519210799584631,0.00207684319833853,0.0083073727933541,0.00103842159916926,0.00103842159916926,0.063343717549325,0.685358255451713,0,0,0.0996884735202492,0.00207684319833853,0,0.00207684319833853,0,0,0.117341640706127,0.00311526479750779,0,0.00415368639667705,0,0.00207684319833853,0,0,0.00103842159916926,0.00103842159916926,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,NA,0,0,0.00176991150442478,0,0.00176991150442478,0.00353982300884956,0.0088495575221239,0,0,0.130973451327434,0.469026548672566,0,0,0.292035398230089,0,0,0,0,0,0.079646017699115,0.00176991150442478,0,0.00176991150442478,0,0.00530973451327434,0.00176991150442478,0,0,0,0.00176991150442478,0,0,0,0,0,0,0,0,0,0,0,0,0
80,NA,0,0,0.00263157894736842,0,0.00263157894736842,0,0.00526315789473684,0.00263157894736842,0,0.171052631578947,0.210526315789474,0,0,0.534210526315789,0,0,0.00789473684210526,0,0,0.0552631578947368,0.00263157894736842,0,0,0,0.00526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,NA,0,0,0,0,0.00332225913621262,0,0.00996677740863787,0.0232558139534884,0,0.192691029900332,0.0199335548172757,0.00332225913621262,0,0.495016611295681,0.00332225913621262,0,0.00332225913621262,0,0,0.0465116279069767,0.102990033222591,0,0.0498338870431894,0,0.00332225913621262,0,0,0,0,0,0.00332225913621262,0.0398671096345515,0,0,0,0,0,0,0,0,0,0,0
100,NA,0,0,0.0033112582781457,0.0033112582781457,0.0298013245033113,0,0.0264900662251656,0.0231788079470199,0,0.178807947019868,0.00662251655629139,0.0033112582781457,0,0.526490066225166,0.00993377483443709,0.0033112582781457,0,0,0,0.109271523178808,0.043046357615894,0,0,0,0.0132450331125828,0,0,0,0,0,0.0033112582781457,0.00993377483443709,0.0033112582781457,0.0033112582781457,0,0,0,0,0,0,0,0,0
110,NA,0,0,0.0033112582781457,0,0.0132450331125828,0,0.0364238410596026,0.076158940397351,0,0.16887417218543,0.0596026490066225,0.0033112582781457,0,0.463576158940397,0.00662251655629139,0,0.0033112582781457,0,0,0.0695364238410596,0.043046357615894,0,0,0,0.0198675496688742,0,0,0,0.00662251655629139,0,0,0.0231788079470199,0.0033112582781457,0,0,0,0,0,0,0,0,0,0
