"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Carya","Corylus","Cyperaceae","Fraxinus.nigra.type","Juglans.cinerea","Ostrya.Carpinus","Pinus.undiff.","Platanus","Populus.tremuloides.type","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Rosaceae.undiff.","Poaceae","Pinus.strobus","Chenopodium.type","Pinus.banksiana.P..resinosa","Cupressaceae","Fraxinus.pennsylvanica.type","Tilia","Acer.saccharum","Amorpha.canescens","Acer.rubrum","Vitis","Iva.annua","Brassicaceae","Larix","Picea","Dalea.purpurea","Iva.xanthifolia","Acer.saccharinum","Lycopus.type","Morus","Populus.balsamifera.type","Potentilla.type","Rumex","Urtica.type","cf..Ceanothus","Apiaceae","Ranunculaceae.undiff.","Thalictrum","cf..Lysimachia.thyrsiflora","Juglans.nigra","Celtis","Humulus.Cannabis.sativa","Plantago","Ericaceae","Abies","Ephedra","Euphorbia","Xanthium","Tidestromia","Hydrophyllum"
850,NA,195,5,18,1,6,10,3,1,6,45,1,4,21,3,2,7,16,3,1,15,15,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
855,NA,265,10,18,0,5,7,4,0,6,65,0,0,27,2,3,6,31,5,0,22,22,4,21,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,NA,294,13,17,0,3,14,3,0,6,88,0,7,29,0,3,6,25,2,3,23,26,3,18,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
865,5910,365,12,14,1,1,17,4,0,12,95,1,11,62,2,4,9,26,13,2,30,26,5,11,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,6028,511,10,20,0,1,33,7,1,13,169,0,5,70,3,4,7,31,16,1,34,27,10,29,2,0,2,1,1,0,1,1,0,4,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872,6076,247,9,18,0,2,8,2,0,6,56,0,8,44,2,4,2,25,7,0,14,11,8,15,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
875,6147,516,17,24,0,5,19,9,1,6,164,3,12,59,4,4,10,42,8,2,38,32,6,36,0,0,0,2,2,0,0,0,0,1,2,0,0,1,1,0,0,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
877,6194,266,7,4,0,1,7,4,0,3,91,0,3,37,1,4,5,18,5,0,26,16,4,24,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,6265,258,7,11,0,2,6,3,0,6,65,1,9,33,1,2,4,21,9,1,28,18,9,18,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882,6313,317,15,11,0,1,12,1,0,5,92,0,8,38,4,3,6,21,12,1,32,18,6,29,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
