"sample.depths","sample.ages","upland.sum","Betula","Carya","Cupressaceae","Cyperaceae","Fagus","Ilex","Impatiens","Picea","Quercus","Rumex","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Iva.annua","Myrica","Populus","Poaceae","Acer.saccharum","Fraxinus.nigra","Fraxinus.americana","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Ostrya","Artemisia","Juglans.cinerea","Larix","Platanus","Taxus","Tilia","Fabaceae","Abies","Corylus","Morus","Celtis","Ericaceae","Acer.rubrum","Juglans.nigra","Rosaceae.undiff.","Amaranthaceae","Thalictrum","Vitis","Liliaceae","Xanthium","Shepherdia.canadensis","Dryas","Asteraceae.subf..Cichorioideae","Sanguisorba","Shepherdia.argentea"
1,-9,300,66,2,3,4,4,2,1,2,62,2,1,9,1,7,17,23,1,2,7,8,11,2,3,7,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,389,300,25,0,5,1,11,0,0,3,23,1,0,18,0,11,10,8,0,3,3,4,7,0,0,8,147,4,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,598,300,44,1,10,1,13,4,0,1,21,0,0,39,1,10,14,0,0,0,3,1,14,1,0,9,97,7,1,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,808,300,47,1,4,3,3,0,0,1,32,0,0,14,0,14,5,1,0,1,0,0,9,4,1,15,133,4,0,0,2,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1017,300,51,1,16,1,6,1,0,3,26,0,2,16,0,9,26,1,0,1,4,2,10,3,4,10,93,6,2,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1227,300,53,3,2,0,9,2,0,0,26,0,0,54,1,12,24,1,0,3,5,0,15,2,5,11,57,7,0,2,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70,1436,300,56,1,5,0,18,3,0,9,27,0,0,53,2,6,10,1,0,0,5,0,18,3,3,12,53,2,1,0,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1645,300,33,0,1,0,22,0,0,1,17,0,0,61,1,14,5,0,0,0,0,0,14,2,1,3,112,1,1,0,4,3,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
100,2064,299,30,1,3,1,34,1,0,1,26,0,0,57,0,17,8,0,0,0,1,1,21,1,3,7,78,2,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,2274,300,36,2,21,1,18,1,0,3,25,0,0,26,0,9,5,1,0,2,8,0,18,2,2,10,94,8,0,1,2,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
