"sample.depths","sample.ages","Abies","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Ericaceae","Larix","Ostrya.Carpinus","Picea","Quercus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Alnus","Ambrosia","Poaceae","Acer.saccharum","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Fagus","Ulmus","Myrica","Populus","Fraxinus.nigra","Cupressaceae","Salix","Carya","Corylus","Fraxinus.undiff.","Juglans.cinerea","Fraxinus.americana","Acer.rubrum","Ilex.Nemopanthus","Arceuthobium","Sarcobatus.vermiculatus","Iva.annua","Platanus","Tilia","Juglans.nigra","Rosaceae","Celtis","Shepherdia.canadensis","Onagraceae"
1,10,0.00666666666666667,0.00333333333333333,0.106666666666667,0.01,0.00666666666666667,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.0733333333333333,0.01,0.00333333333333333,0.00333333333333333,0.02,0.04,0.00333333333333333,0.00666666666666667,0.526666666666667,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,403,0.00666666666666667,0.01,0.193333333333333,0,0.00666666666666667,0.00333333333333333,0.0133333333333333,0.0133333333333333,0.07,0.03,0.00333333333333333,0,0.0333333333333333,0.00666666666666667,0.00333333333333333,0,0.4,0.17,0.0166666666666667,0.01,0.00333333333333333,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,816,0.0166666666666667,0,0.196666666666667,0,0.00666666666666667,0.00333333333333333,0.00666666666666667,0.00333333333333333,0.0566666666666667,0.05,0.01,0,0.0366666666666667,0.00666666666666667,0.00333333333333333,0.00333333333333333,0.396666666666667,0.16,0.0133333333333333,0.00666666666666667,0.0133333333333333,0.00333333333333333,0,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1226,0.00993377483443709,0.00662251655629139,0.258278145695364,0,0.00662251655629139,0,0.0132450331125828,0,0.0364238410596026,0.033112582781457,0.0033112582781457,0.0033112582781457,0.0298013245033113,0.0165562913907285,0.0033112582781457,0.0132450331125828,0.374172185430464,0.152317880794702,0.00993377483443709,0,0.0033112582781457,0.0033112582781457,0.0033112582781457,0,0,0.0033112582781457,0.0033112582781457,0.00662251655629139,0.0033112582781457,0.0033112582781457,0,0,0,0,0,0,0,0,0,0,0,0
80,1631,0.00664451827242525,0.00664451827242525,0.242524916943522,0,0.0232558139534884,0.00664451827242525,0.00332225913621262,0.00332225913621262,0.0598006644518272,0.026578073089701,0.0166112956810631,0.00332225913621262,0.0398671096345515,0.00332225913621262,0.00332225913621262,0.00332225913621262,0.249169435215947,0.262458471760797,0.00332225913621262,0.00664451827242525,0.0166112956810631,0.00332225913621262,0.00332225913621262,0,0,0.00332225913621262,0,0.00332225913621262,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2031,0.0166112956810631,0,0.13953488372093,0,0.00996677740863787,0,0,0.00332225913621262,0.0830564784053156,0.0199335548172757,0.00332225913621262,0,0.0398671096345515,0.00332225913621262,0.00664451827242525,0.00664451827242525,0.32890365448505,0.308970099667774,0.00664451827242525,0,0.00996677740863787,0.00332225913621262,0.00332225913621262,0,0,0.00332225913621262,0,0.00332225913621262,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2423,0.0033112582781457,0,0.172185430463576,0,0.00662251655629139,0.00662251655629139,0.0132450331125828,0,0.0596026490066225,0.0231788079470199,0.0033112582781457,0.0033112582781457,0.0198675496688742,0,0.0132450331125828,0.00662251655629139,0.33112582781457,0.311258278145695,0.0033112582781457,0.0033112582781457,0,0,0.00662251655629139,0.0033112582781457,0,0,0.0033112582781457,0.00662251655629139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2806,0.00662251655629139,0,0.201986754966887,0,0.00662251655629139,0.0033112582781457,0,0.0033112582781457,0.0496688741721854,0.0231788079470199,0.0033112582781457,0,0.0165562913907285,0.0033112582781457,0.00993377483443709,0,0.347682119205298,0.26158940397351,0.0033112582781457,0.0165562913907285,0.00662251655629139,0.00662251655629139,0.0033112582781457,0.0132450331125828,0,0,0.0033112582781457,0.00662251655629139,0,0.0033112582781457,0,0,0,0,0,0,0,0,0,0,0,0
160,3178,0.00666666666666667,0.00333333333333333,0.243333333333333,0.00333333333333333,0.00333333333333333,0,0.00666666666666667,0.01,0.0166666666666667,0.0366666666666667,0.00333333333333333,0,0.0766666666666667,0,0,0.0133333333333333,0.24,0.3,0.00666666666666667,0.0133333333333333,0,0.00333333333333333,0,0.00666666666666667,0,0,0,0,0,0,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0,0,0,0,0
180,3543,0.01,0,0.143333333333333,0,0,0,0,0.00333333333333333,0.0266666666666667,0.01,0,0,0.0433333333333333,0,0,0.00333333333333333,0.306666666666667,0.416666666666667,0.01,0.00333333333333333,0.00333333333333333,0.00666666666666667,0,0.01,0,0,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0
