"sample.depths","sample.ages","upland.sum","Ambrosia.type","Carya","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Ilex","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Liliaceae","Fabaceae","Myrica","Pinus","Poaceae","Urtica","Boehmeria","Celtis","Salix","Fraxinus","Asteraceae.subf..Cichorioideae","Apiaceae","Brassicaceae","Polygonum","Phacelia","Plantago","Malvaceae","Artemisia","Liquidambar","Mimosaceae","Juglans","Xyris","Cephalanthus","Primula","Betula","Ericaceae","Corylus","Rhus","Amaranthaceae","Viburnum","Nyssa","Ostrya.Carpinus","Tilia","Campanulaceae","Cornus","Acer","Impatiens","Lamiaceae","Convolvulaceae","Castanea","Galium","Planera.aquatica","Rhamnus","Ranunculaceae","Picea","Onagraceae"
5,183,356,14,3,2,1,10,72,208,11,7,3,1,1,3,2,6,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,399,379,25,3,7,0,9,35,117,28,7,0,0,3,67,2,9,1,60,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,529,392,2,3,0,0,139,1,65,18,0,0,0,5,0,1,32,0,125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,831,387,66,30,2,0,33,0,67,30,1,0,0,0,1,5,136,0,5,0,0,0,1,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1263,367,53,6,0,0,85,0,47,25,1,3,0,2,1,0,90,0,38,0,2,0,0,6,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1809,362,9,15,1,0,151,0,65,21,0,0,0,1,0,4,56,0,2,0,0,1,1,27,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2468,386,11,28,0,0,102,0,63,35,0,0,0,0,0,2,112,0,0,1,1,1,0,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3126,372,11,27,0,0,177,0,64,17,1,0,0,0,0,5,62,0,0,1,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3785,356,4,15,0,0,174,0,40,14,0,0,0,0,0,0,100,0,6,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4444,368,7,20,0,0,116,0,84,29,2,0,0,1,0,3,88,0,13,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,5103,397,12,5,1,0,210,0,39,27,0,0,0,0,0,2,95,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,5762,327,18,29,0,0,52,0,128,12,3,1,0,0,0,3,65,1,1,1,8,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6420,376,27,35,3,0,41,0,175,22,2,0,0,5,0,1,48,0,1,1,11,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,7079,430,10,10,1,0,219,0,51,29,0,0,1,1,0,2,80,0,0,0,6,1,0,12,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,7738,414,8,2,1,0,100,0,78,52,0,0,0,3,0,1,150,0,0,0,0,0,0,2,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,8397,375,19,10,1,0,91,0,64,35,0,3,0,5,0,3,112,0,0,0,6,0,0,8,4,0,0,2,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,9056,375,21,3,4,0,46,0,84,30,1,4,1,0,0,3,154,0,0,0,0,0,1,3,12,0,0,0,0,5,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,9714,319,17,4,1,0,45,0,66,34,1,38,0,2,0,2,80,0,0,1,4,0,0,3,0,0,1,3,0,0,0,0,0,0,9,0,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,10373,404,24,2,1,0,21,0,93,46,0,61,0,5,0,5,91,0,0,0,15,0,0,3,0,1,5,0,0,0,0,1,0,0,20,0,5,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,11032,273,9,0,3,0,11,0,15,67,0,57,1,4,0,3,39,0,0,1,2,0,0,5,0,0,8,0,0,0,0,0,0,0,11,1,8,3,5,3,0,3,2,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0
190,11691,480,12,1,0,0,5,0,21,57,0,238,0,0,0,0,40,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,55,3,10,14,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
200,12252,468,13,2,0,0,1,0,11,16,1,291,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,83,9,5,17,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
210,12813,574,34,4,2,0,8,0,24,36,0,237,0,1,0,1,33,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,12,11,4,12,0,145,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
220,13374,367,16,0,4,0,19,0,13,25,0,205,0,0,0,0,16,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,30,1,5,11,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
230,13935,336,10,0,0,0,3,0,13,13,2,238,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,2,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,14496,385,14,7,0,0,11,0,20,31,1,262,0,0,0,2,14,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,7,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,15058,457,23,5,2,0,64,0,61,19,0,238,0,1,0,1,20,0,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,4,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
