"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Castanea","Cephalanthus","Cornus","Corylus","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus","Platanus","Populus","Quercus","Salix","Sambucus","Sarcobatus.vermiculatus","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae.undiff.","Cyperaceae","Dryas","Epilobium.type","Galium","Humulus","Impatiens","Plantago","Poaceae","Ranunculus","Rosaceae.undiff.","Rumex.Oxyria.digyna","Saxifraga","Thalictrum","Xanthium"
0,-45,0,0,0.00793650793650794,0.00793650793650794,0.0714285714285714,0.00793650793650794,0,0,0.00793650793650794,0,0,0.0238095238095238,0,0,0,0,0,0.0714285714285714,0.0317460317460317,0,0,0,0.166666666666667,0,0,0.0396825396825397,0.0158730158730159,0,0,0,0.0238095238095238,0.00793650793650794,0.00793650793650794,0,0.134920634920635,0,0.0396825396825397,0.00793650793650794,0,0,0.23015873015873,0,0,0.00793650793650794,0,0,0.00793650793650794,0.0793650793650794,0,0,0,0,0,0
20,934,0,0,0.00980392156862745,0.00980392156862745,0.0490196078431373,0,0,0,0,0.0196078431372549,0,0,0,0,0,0,0,0.0294117647058824,0.00980392156862745,0,0.0392156862745098,0,0.480392156862745,0,0,0.0490196078431373,0,0,0,0,0.0392156862745098,0.00980392156862745,0.0196078431372549,0,0.166666666666667,0,0,0.0392156862745098,0,0,0.00980392156862745,0,0,0,0,0,0,0.0196078431372549,0,0,0,0,0,0
30,1423,0,0,0,0.02,0.07,0,0,0,0,0,0,0.02,0,0.01,0,0,0,0.01,0.01,0,0,0,0.54,0,0,0.05,0,0,0,0,0.02,0,0.12,0,0.09,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0
50,2401,0,0,0.0274914089347079,0.00343642611683849,0.0893470790378007,0.00687285223367698,0,0,0,0.013745704467354,0,0,0,0.00343642611683849,0.0171821305841924,0,0,0.0206185567010309,0.0103092783505155,0,0.127147766323024,0,0.326460481099656,0,0,0.247422680412371,0,0,0,0,0.0481099656357388,0.00343642611683849,0.0481099656357388,0,0.00343642611683849,0,0,0,0,0.00343642611683849,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3380,0,0.00333333333333333,0.0933333333333333,0.00666666666666667,0.08,0,0,0,0,0.00666666666666667,0,0.00333333333333333,0.00333333333333333,0.00666666666666667,0.00666666666666667,0,0,0.00333333333333333,0.01,0,0.106666666666667,0,0.123333333333333,0,0.00666666666666667,0.443333333333333,0.00666666666666667,0,0,0,0.0133333333333333,0.00333333333333333,0.0566666666666667,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,3869,0,0.00323624595469256,0.0323624595469256,0,0.0485436893203883,0,0,0,0,0.00970873786407767,0,0,0.00323624595469256,0,0.00323624595469256,0.00323624595469256,0,0.00323624595469256,0,0,0.12621359223301,0,0.362459546925566,0,0,0.330097087378641,0,0,0,0,0.00323624595469256,0,0.0550161812297735,0,0.00647249190938511,0,0,0,0,0.00323624595469256,0.00647249190938511,0,0,0,0,0,0,0,0,0,0,0,0,0
90,4358,0,0,0.00573065902578797,0.00286532951289398,0.140401146131805,0,0,0,0,0,0,0.00286532951289398,0,0,0,0,0,0,0.00286532951289398,0,0.0773638968481375,0,0.461318051575931,0,0,0.206303724928367,0.00286532951289398,0,0,0,0.00286532951289398,0.00286532951289398,0.0630372492836676,0,0.0171919770773639,0,0,0,0.00286532951289398,0.00286532951289398,0.00573065902578797,0,0,0,0,0,0,0,0,0,0,0,0,0
100,4848,0,0,0.0091743119266055,0.00305810397553517,0.0611620795107034,0.00611620795107034,0,0,0,0.00305810397553517,0,0,0,0.018348623853211,0,0,0.00611620795107034,0,0.00611620795107034,0,0.103975535168196,0,0.504587155963303,0.00305810397553517,0,0.168195718654434,0,0,0,0,0,0.00305810397553517,0.091743119266055,0,0.00611620795107034,0,0,0,0,0.00305810397553517,0.00305810397553517,0,0,0,0,0,0,0,0,0,0,0,0,0
110,5337,0,0,0.0119402985074627,0,0.0656716417910448,0.00895522388059702,0,0,0,0.00298507462686567,0,0,0.00298507462686567,0.00298507462686567,0,0.00298507462686567,0,0,0,0,0.101492537313433,0,0.6,0,0,0.146268656716418,0.00298507462686567,0,0,0,0.00298507462686567,0,0.0388059701492537,0,0,0,0,0,0,0,0.00597014925373134,0,0,0,0,0,0,0,0,0,0,0,0.00298507462686567,0
120,5826,0,0,0.00840336134453781,0.00280112044817927,0.0700280112044818,0.00560224089635854,0,0,0,0,0,0,0.00280112044817927,0,0,0,0,0.00280112044817927,0.00280112044817927,0,0.0952380952380952,0.00280112044817927,0.551820728291317,0.00280112044817927,0,0.221288515406162,0,0,0,0,0,0.0112044817927171,0.0112044817927171,0,0.00280112044817927,0,0,0,0,0,0.00560224089635854,0,0,0,0,0,0,0,0,0,0,0,0,0
