"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Chamaedaphne.calyculata","Cyperaceae","Fagus","Fraxinus.nigra.type","Poaceae.undiff.","Larix","Ledum.Chamaedaphne.calyculata","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Salix","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Amaranthaceae","Abies.balsamea","Acer.saccharinum","Corylus.cornuta","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Rhododendron.canadense","Rumex.acetosa.type","Tsuga.canadensis","Vaccinium.macrocarpon.type","Vaccinium.oxycoccos","Picea.undiff.","Ericaceae.undiff.","Kalmia","Acer.saccharum","Carya.ovata","Rubiaceae","Acer.rubrum","Caprifoliaceae.undiff.","Fraxinus.americana.type","Viburnum.nudum","Rumex.type.undiff.","Caryophyllaceae","Fraxinus.pennsylvanica.type","Juglans.cinerea","Ostrya.Carpinus","Juniperus.communis.Thuja.occidentalis.type","Taxus","Rosaceae.undiff.","Ilex.Nemopanthus","Asteraceae.subf..Cichorioideae","Picea.glauca.type","Platanus.occidentalis","Castanea.dentata","Cornus.canadensis","Elymus.type","Pyrola","Rhamnus.alnifolia.R..frangula","Apiaceae","Prunus.virginiana","Juncaceae","Shepherdia.canadensis","Morus.rubra.type"
20,265,0.00676818950930626,0.00169204737732657,0.0321489001692047,0.0050761421319797,0.115059221658206,0.00338409475465313,0.0862944162436548,0.00676818950930626,0.00169204737732657,0.0152284263959391,0.0101522842639594,0.00676818950930626,0.0203045685279188,0.245346869712352,0.00169204737732657,0.0169204737732657,0.00169204737732657,0.0050761421319797,0.0050761421319797,0.00338409475465313,0.00338409475465313,0.011844331641286,0.00338409475465313,0.0186125211505922,0.0236886632825719,0.0050761421319797,0.152284263959391,0.00338409475465313,0.0050761421319797,0.143824027072758,0.00169204737732657,0.0050761421319797,0.0253807106598985,0.00676818950930626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,531,0.00537634408602151,0,0.0017921146953405,0.0017921146953405,0.164874551971326,0.010752688172043,0.0627240143369176,0.017921146953405,0.007168458781362,0,0.010752688172043,0,0.017921146953405,0.315412186379928,0,0.0125448028673835,0.00537634408602151,0.003584229390681,0.0017921146953405,0.00537634408602151,0.0017921146953405,0.00537634408602151,0.0017921146953405,0.0017921146953405,0.014336917562724,0.0304659498207885,0.0752688172043011,0,0,0.195340501792115,0,0,0.0089605734767025,0.003584229390681,0.00537634408602151,0.00537634408602151,0.003584229390681,0.0017921146953405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,967,0.00639386189258312,0.00383631713554987,0.00127877237851662,0,0.154731457800512,0.00895140664961637,0.0869565217391304,0.0268542199488491,0.00383631713554987,0.00127877237851662,0.0268542199488491,0.00127877237851662,0.0230179028132992,0.210997442455243,0.00255754475703325,0.030690537084399,0.00127877237851662,0.00639386189258312,0.00127877237851662,0.00383631713554987,0.00127877237851662,0.020460358056266,0,0.00127877237851662,0.0166240409207161,0.00639386189258312,0.0664961636828645,0,0,0.241687979539642,0,0.00127877237851662,0.00895140664961637,0.0051150895140665,0,0.0166240409207161,0,0,0.00383631713554987,0.00255754475703325,0.00255754475703325,0.00127877237851662,0.00127877237851662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1574,0.00451807228915663,0,0.00150602409638554,0,0.11144578313253,0.00451807228915663,0.0481927710843374,0.0105421686746988,0.00602409638554217,0.00753012048192771,0.0557228915662651,0,0.0135542168674699,0.243975903614458,0,0.0271084337349398,0.00301204819277108,0.00602409638554217,0,0.00903614457831325,0,0.0135542168674699,0.00753012048192771,0.00451807228915663,0.0210843373493976,0.00602409638554217,0.121987951807229,0,0,0.233433734939759,0,0.00451807228915663,0.00753012048192771,0,0.00150602409638554,0.0120481927710843,0,0.00150602409638554,0.00301204819277108,0,0,0,0.00150602409638554,0.00150602409638554,0.00150602409638554,0.00150602409638554,0.00150602409638554,0.00150602409638554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2181,0.00633713561470215,0,0,0,0.0773130544993663,0,0.0608365019011407,0,0.00506970849176172,0.00380228136882129,0.0849176172370089,0,0.0152091254752852,0.219264892268695,0,0.0126742712294043,0.00126742712294043,0.00380228136882129,0,0.00760456273764259,0,0.00887198986058302,0.0126742712294043,0,0.00887198986058302,0.00126742712294043,0.14828897338403,0,0,0.291508238276299,0,0,0.00760456273764259,0.00253485424588086,0,0.00126742712294043,0,0,0,0,0.00126742712294043,0,0.00126742712294043,0,0.00126742712294043,0,0.00126742712294043,0.0101394169835234,0.00253485424588086,0.00126742712294043,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2789,0.00821018062397373,0,0.00328407224958949,0,0.139573070607553,0.00164203612479475,0.0853858784893268,0.0295566502463054,0.00821018062397373,0,0.0426929392446634,0,0.00492610837438424,0.223316912972085,0,0.0262725779967159,0.00164203612479475,0,0,0.0262725779967159,0,0.00985221674876847,0.0147783251231527,0.00164203612479475,0.00492610837438424,0.00164203612479475,0.12807881773399,0,0,0.208538587848933,0,0,0.00656814449917898,0.00164203612479475,0.00328407224958949,0.00164203612479475,0.00164203612479475,0,0,0,0,0,0,0,0.00164203612479475,0.00328407224958949,0,0.00821018062397373,0,0,0.00164203612479475,0,0,0,0,0,0,0,0,0,0,0,0,0
140,3159,0.00404040404040404,0,0,0,0.197979797979798,0.00202020202020202,0.0646464646464646,0.0323232323232323,0.00606060606060606,0.00202020202020202,0.092929292929293,0,0.0141414141414141,0.121212121212121,0,0.0303030303030303,0.00404040404040404,0.00606060606060606,0,0.0121212121212121,0,0.0121212121212121,0.00808080808080808,0,0.0101010101010101,0.0141414141414141,0.107070707070707,0,0,0.226262626262626,0,0,0.00202020202020202,0,0,0.00202020202020202,0.00808080808080808,0,0.00202020202020202,0.00202020202020202,0,0,0,0,0.00202020202020202,0,0.00404040404040404,0.0101010101010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,3293,0.00793650793650794,0,0,0,0.0535714285714286,0,0.0158730158730159,0.00595238095238095,0,0.00396825396825397,0.111111111111111,0,0.0178571428571429,0.238095238095238,0,0.00992063492063492,0,0,0,0.00396825396825397,0,0.00793650793650794,0,0,0.0297619047619048,0.00198412698412698,0.273809523809524,0,0,0.180555555555556,0,0,0.00793650793650794,0,0,0.0178571428571429,0,0,0,0,0,0,0.00396825396825397,0.00595238095238095,0,0,0.00198412698412698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,3493,0,0,0,0,0.0546075085324232,0,0.0170648464163823,0,0.00341296928327645,0.0068259385665529,0.0819112627986348,0,0.0068259385665529,0.26962457337884,0,0.0136518771331058,0,0,0,0.00341296928327645,0,0.0102389078498294,0.00341296928327645,0.00341296928327645,0,0.00341296928327645,0.31740614334471,0,0,0.187713310580205,0,0,0.0068259385665529,0,0,0.00341296928327645,0.00341296928327645,0,0,0,0,0,0,0,0,0,0,0,0.00341296928327645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,3626,0.0075187969924812,0,0,0,0.0426065162907268,0,0,0.0050125313283208,0.0025062656641604,0.0025062656641604,0.107769423558897,0,0.0050125313283208,0.308270676691729,0,0.0025062656641604,0,0.0075187969924812,0.0025062656641604,0.0025062656641604,0,0.0100250626566416,0,0,0.0200501253132832,0,0.423558897243108,0,0,0.0426065162907268,0,0,0,0,0,0.0050125313283208,0.0025062656641604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
