"sample.depths","sample.ages","upland.sum","Acer.rubrum","Alnus.incana.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Quercus","Ranunculaceae.undiff.","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Castanea.dentata","Ilex.Nemopanthus","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Fraxinus.americana.type","Carya.ovata","Myrica.gale","Picea.cf..P..glauca","Alnus.viridis.type","Populus.tremuloides.type","Tilia","Rosaceae.undiff.","Salix.undiff.","Caryophyllaceae","Taxus","Thalictrum","Amaranthaceae","Acer.saccharinum","Juglans.cinerea","Corylus.cornuta","Viburnum.nudum","Acer.pensylvanicum","Acer.spicatum","Ambrosia.type","Sambucus","Prunus.virginiana","Viburnum.edule","Juglans.nigra","Pinus.resinosa.type","Urtica.type","Morus.rubra.type","Viburnum.lentago","Impatiens","Brassicaceae","Populus.balsamifera.type","Rubiaceae","Potentilla.palustris.type","Prunus.pensylvanica","Celtis.occidentalis","Liliaceae","Viburnum.undiff.","Rhus.typhina","Rhamnus.alnifolia.R..frangula","Prunus.undiff.","Salix.vestita.type","Apiaceae","Onagraceae","Salix.herbacea.type","Cornus","Shepherdia.canadensis","Fabaceae","cf..Oxyria.digyna","Polygonaceae.undiff."
175,2710,632,2,16,4,254,1,0,56,7,5,4,2,2,10,17,0,0,8,19,1,1,17,1,3,4,65,0,59,62,2,0,0,0,0,0,1,1,1,0,0,2,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,2912,509,2,9,0,196,2,1,31,7,3,4,2,7,37,16,0,0,7,18,0,1,12,0,1,15,70,0,16,29,4,0,0,2,0,4,6,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3098,581,6,6,1,243,4,1,30,14,4,4,1,11,10,18,0,0,13,6,1,0,12,0,0,3,83,0,86,11,6,0,3,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,3284,490,4,3,0,228,1,1,35,5,0,4,8,4,14,23,0,0,13,3,1,1,12,0,1,5,69,0,6,32,1,0,2,0,0,2,1,1,0,0,1,3,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,3485,1151,11,40,0,413,7,5,60,23,5,10,7,16,27,138,2,3,27,3,0,2,40,0,10,13,169,0,31,27,2,0,1,2,0,1,25,4,1,2,0,4,0,0,0,6,2,0,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,3686,824,2,20,1,386,2,1,37,12,6,1,0,0,25,42,0,2,11,16,2,1,12,0,3,7,185,0,23,7,1,0,0,0,0,4,2,2,0,1,1,1,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,3949,443,0,3,0,172,1,0,19,6,2,1,0,5,31,26,0,1,4,0,0,4,12,1,3,8,110,0,10,6,3,0,0,0,0,1,1,2,0,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,4104,492,4,8,0,203,2,0,19,14,2,5,4,3,30,13,0,1,5,1,0,3,6,0,2,6,125,0,4,16,2,2,0,4,0,0,0,0,0,0,0,1,0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,4259,483,2,9,1,229,5,0,26,9,6,0,2,5,8,23,0,2,14,1,1,0,14,0,0,0,93,0,10,7,1,0,0,1,0,1,4,1,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,4445,452,3,6,0,198,0,2,27,10,2,1,0,1,15,29,0,0,17,3,1,1,11,0,1,17,63,0,10,18,0,0,1,0,0,3,0,0,2,0,0,6,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,4646,505,5,2,0,267,0,0,35,9,3,1,5,13,10,27,1,1,14,1,1,0,6,0,3,15,47,0,0,31,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
