"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharum.type","Alisma","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Carya","Caryophyllaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dalea.candida","Dalea.purpurea","Dryopteris.type","Elymus","Ephedra","Epilobium.type","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.undiff.","Humulus","Indeterminable","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Lemnaceae","Lycopodium.type","Malvaceae","Myriophyllum","Nuphar","Ostrya.Carpinus","Parthenocissus","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Polygonum","Populus","Potamogetonaceae","Pteridium.type","Quercus","Ranunculus","Rhamnaceae.Vitaceae.undiff.","Rosaceae","Rubiaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Selaginella","Shepherdia.argentea","Shepherdia.canadensis","Thalictrum","Tilia","Typha.Sparganium","Ulmus","Unknown","Urtica.type","Utricularia"
190,0,0,2,0,0,0,46,113,1,0,13,1,1,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,6,0,1,0,24,0,0,0,0,0,0,0,11,0,0,0,0,12,0,0,30,0,0,0,0,24,0,0,0,1,1,1,6,0,0,0,0,0,0,5,9,0,0,0
200,147,0,0,0,0,4,58,94,1,0,24,4,1,4,0,0,0,0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,12,0,0,0,19,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,35,0,0,0,0,12,1,0,0,0,1,0,4,0,0,0,0,2,1,4,3,0,1,0
210,293,0,0,0,0,2,25,71,0,0,25,12,0,1,0,0,0,0,0,0,0,26,2,2,0,3,0,0,0,0,0,0,3,0,0,1,8,1,0,0,0,2,0,0,17,0,1,0,2,15,0,0,51,0,2,1,0,29,1,0,0,0,0,2,6,2,0,0,0,1,3,10,7,4,0,0
220,440,2,0,0,0,5,5,55,0,0,40,12,0,5,0,0,0,0,0,1,0,53,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,1,0,0,0,0,20,0,3,0,1,25,0,0,48,0,0,1,0,26,2,0,0,0,0,0,7,0,0,0,0,1,1,12,5,2,0,0
230,586,1,1,0,0,2,20,20,1,0,45,8,1,5,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,1,0,0,0,0,0,0,25,0,1,0,0,33,0,0,69,0,2,5,1,43,0,0,0,0,1,2,7,1,0,0,0,0,2,9,4,0,0,0
240,733,0,0,0,0,4,8,14,0,0,34,9,0,15,0,0,0,0,0,0,2,42,0,1,0,1,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,1,0,26,0,0,0,2,48,0,0,64,0,0,1,0,41,0,0,0,0,0,0,5,1,0,0,0,0,1,6,7,3,0,0
250,879,0,0,0,0,4,8,37,0,0,26,12,0,12,0,0,0,0,0,0,0,28,0,0,1,1,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,20,0,0,0,2,31,2,2,74,0,0,1,0,37,1,0,0,0,1,2,7,0,0,0,0,1,3,7,9,2,0,0
260,1026,0,0,0,0,0,9,23,0,0,55,12,0,7,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,41,0,0,0,0,29,0,2,47,0,1,1,0,72,3,1,0,1,0,1,6,0,0,0,0,0,2,9,7,4,0,0
270,1172,0,0,1,0,9,12,33,0,0,43,13,1,4,0,0,0,0,0,0,0,33,0,0,2,0,0,0,0,0,0,0,1,0,7,0,2,0,0,0,0,0,1,0,20,0,1,0,1,39,0,2,34,0,0,0,0,53,0,0,0,0,0,1,5,0,0,0,0,0,5,18,6,2,0,0
280,1319,0,3,0,0,1,11,35,1,0,46,12,0,4,0,0,1,0,0,1,0,39,1,1,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,51,0,0,0,1,23,0,0,59,0,2,2,1,29,4,0,0,0,0,2,7,1,0,0,0,1,3,13,9,3,0,0
290,1465,0,0,0,0,5,16,25,0,0,39,13,0,3,0,0,0,0,0,1,1,37,0,1,0,1,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,61,0,0,0,0,39,1,0,67,0,0,0,0,38,0,0,0,0,0,0,2,1,0,0,0,0,1,14,9,0,0,0
300,1612,0,1,0,0,4,12,30,0,0,54,11,0,2,0,0,0,0,0,1,0,28,0,0,0,1,0,0,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,39,0,0,0,0,39,0,1,55,0,0,0,0,36,0,0,1,0,0,3,10,1,0,0,0,0,2,13,5,1,3,0
310,1758,0,0,0,0,2,12,43,0,0,56,10,0,7,0,0,0,0,1,1,0,30,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,40,0,0,0,1,30,0,0,48,0,0,1,0,34,0,0,0,1,0,0,2,2,0,0,0,0,4,12,12,3,0,0
320,1905,1,0,0,0,3,16,35,2,0,44,10,0,5,0,0,0,0,0,0,0,25,0,0,0,1,0,0,0,0,0,2,1,0,4,1,1,0,0,0,0,0,0,0,45,0,1,0,1,34,0,0,68,1,0,1,0,34,2,0,0,0,0,2,2,0,0,0,0,1,3,9,10,2,0,0
330,2051,1,0,0,0,6,15,44,2,1,43,19,0,4,0,0,0,0,0,0,0,37,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,17,0,1,0,3,23,0,0,55,1,0,1,0,22,0,0,0,0,0,1,5,2,0,0,0,0,4,5,7,6,0,0
340,2198,3,0,0,0,3,16,34,0,0,70,14,0,2,0,0,0,0,0,0,0,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,31,0,3,0,1,33,0,0,52,0,0,0,0,23,4,0,0,0,0,2,10,0,0,0,0,0,1,10,8,6,0,0
350,2344,0,0,0,0,1,12,11,0,0,39,7,0,2,0,0,0,0,0,0,0,33,0,0,0,1,0,0,0,0,0,1,4,2,1,2,0,0,0,0,0,0,0,0,15,0,0,0,2,51,0,0,88,0,0,0,0,25,3,0,0,0,1,1,9,1,0,0,0,1,0,3,7,2,0,0
360,2491,0,0,0,0,2,13,23,1,0,62,16,0,3,0,0,0,0,0,1,0,30,0,2,0,0,1,0,1,0,0,1,2,0,4,2,2,0,0,0,0,0,0,0,16,0,0,0,0,27,0,1,68,0,0,0,0,28,1,0,0,0,0,3,7,1,0,0,0,0,0,11,7,1,0,0
370,2637,0,0,0,0,5,10,8,0,0,47,4,0,2,0,0,0,0,0,0,0,42,0,0,0,1,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0,0,0,0,13,0,1,0,1,41,0,1,80,0,0,1,0,23,0,1,0,0,1,0,10,2,0,0,0,0,0,7,15,4,0,0
380,2784,2,0,0,0,8,23,16,3,0,49,13,0,2,0,0,0,0,0,1,0,35,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,11,0,0,0,1,36,0,1,61,0,0,1,0,19,0,1,1,0,0,1,11,1,0,0,0,3,0,7,11,1,0,0
390,2930,0,0,1,1,5,19,14,1,0,52,6,0,0,0,0,0,0,0,0,1,25,0,0,1,0,0,0,0,0,0,0,4,3,1,1,1,1,0,0,0,0,0,0,13,0,1,0,1,53,0,0,72,0,0,0,0,18,0,1,0,0,1,0,9,2,0,0,0,0,0,4,7,1,1,0
400,3076,1,0,0,0,5,17,30,3,0,53,10,1,2,0,0,0,0,0,1,0,32,2,2,1,1,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,6,0,1,0,1,50,0,0,36,0,1,0,0,33,1,0,0,0,0,2,3,3,0,0,0,0,0,6,8,1,0,0
