"sample.depths","sample.ages","upland.sum","Abies","Acer.undiff.","Arceuthobium","Artemisia","Betula","Castanea","Corylus","Cyperaceae","Fagus","Poaceae.undiff.","Larix","Asteraceae.subf..Cichorioideae","Nyssa","Ostrya.Carpinus","Oxyria.digyna","Pinus.undiff.","Platanus","Quercus","Rumex","Salix","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus.incana","Ambrosia","Fabaceae","Alnus.viridis","Juniperus.Thuja","Juglans","Myrica","Amaranthaceae","Cerealia","Ranunculus","Acer.saccharum","Cornus.canadensis","Pinus.strobus","Fraxinus.nigra","Fraxinus.pennsylvanica","Picea.glauca","Picea.mariana","Carya","Caryophyllaceae","Polygonum.undiff.","Populus","Viburnum","Cornus.racemosa","Rosaceae.undiff.","Lamiaceae","Celtis","Thalictrum","Apiaceae","Vitis","Shepherdia","Brassicaceae","Morus","Ephedra","Galium","Polygonum.viviparum","Saxifraga.oppositifolia","Filipendula","Epilobium","Shepherdia.argentea","Rubus","Urticaceae"
868,1,1042,31,19,2,2,267,1,14,7,49,16,3,1,2,14,1,125,3,29,8,11,3,48,3,30,65,98,1,1,8,2,17,8,2,3,19,1,85,20,2,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872,92,1050,18,2,1,3,251,1,9,11,50,16,0,0,0,26,1,194,3,23,26,10,2,67,0,10,52,38,1,0,22,1,1,0,1,0,17,0,157,9,0,20,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
876,185,1042,14,16,0,2,296,0,7,4,27,3,6,0,8,24,0,151,1,13,16,0,1,58,2,11,22,17,0,14,23,1,36,0,0,3,22,0,215,10,3,6,0,3,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,277,1050,10,6,0,4,267,3,10,0,26,0,7,0,1,16,0,240,7,38,8,4,2,95,0,12,26,3,0,0,10,1,2,0,0,1,19,0,212,8,0,7,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
884,369,995,16,6,10,6,196,2,4,14,24,18,4,0,0,26,0,200,0,44,4,18,2,96,4,26,44,4,0,0,1,0,0,0,0,0,34,0,140,12,4,14,0,8,0,0,6,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
888,461,1000,13,8,0,2,197,0,4,2,50,1,8,0,7,11,0,150,2,41,7,0,0,269,0,19,24,0,0,2,20,0,0,1,0,1,23,1,105,10,2,13,0,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
892,554,1013,16,17,2,1,192,1,8,3,63,5,1,0,0,26,1,160,3,34,2,10,4,223,2,25,35,4,0,0,4,0,1,1,0,7,25,0,108,13,1,11,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
896,646,1015,10,11,0,4,224,1,2,8,87,6,2,0,1,24,0,162,2,43,6,3,6,185,1,47,15,0,0,0,10,2,1,0,0,2,25,0,89,19,3,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
898,692,977,12,22,1,4,197,0,4,4,104,0,9,0,4,13,0,108,5,24,5,0,3,252,1,18,9,1,0,0,2,1,8,0,0,11,23,0,104,15,5,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
902,784,1011,9,9,1,3,219,1,3,9,96,3,4,0,0,16,0,130,4,32,8,4,0,255,1,23,15,0,0,0,8,0,2,2,0,1,19,0,108,7,1,10,1,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
