"sample.depths","sample.ages","Abies","Acer.saccharum.type","Alnus","Betula","Carya","Cupressaceae","Ericaceae","Fagus","Fraxinus","Juglans.cinerea","Larix","Ostrya","Picea","Pinus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiineae.undiff.","Onagraceae","Plantago","Poaceae","Ranunculus","Rosaceae","Thalictrum"
0,-51,0.00819672131147541,0.069672131147541,0.0122950819672131,0.0163934426229508,0.00819672131147541,0,0,0.00819672131147541,0.0368852459016393,0.00409836065573771,0.00409836065573771,0.0122950819672131,0.00409836065573771,0.438524590163934,0.00409836065573771,0.0614754098360656,0.0163934426229508,0,0,0.0327868852459016,0.0942622950819672,0.0163934426229508,0.0819672131147541,0,0.00409836065573771,0.00819672131147541,0,0.00409836065573771,0.0163934426229508,0,0,0.0368852459016393,0,0,0
10,2049,0,0.0704845814977974,0,0.0176211453744493,0.0176211453744493,0.00881057268722467,0,0.00881057268722467,0.0308370044052863,0.00881057268722467,0.00881057268722467,0.00881057268722467,0.00440528634361234,0.480176211453745,0,0.0616740088105727,0.00881057268722467,0,0,0.052863436123348,0.0704845814977974,0.0308370044052863,0.066079295154185,0,0.00440528634361234,0.00881057268722467,0,0.013215859030837,0.013215859030837,0,0.00440528634361234,0,0,0,0
18,3729,0,0.0544554455445545,0,0.0148514851485149,0.00495049504950495,0.0148514851485149,0,0.0297029702970297,0.0099009900990099,0,0.00495049504950495,0.0445544554455446,0,0.311881188118812,0,0.207920792079208,0.00495049504950495,0,0,0.0148514851485149,0.198019801980198,0.0792079207920792,0,0,0.00495049504950495,0,0,0,0,0,0,0,0,0,0
20,4149,0.005,0.115,0,0.025,0.02,0.035,0,0,0.025,0,0,0.015,0,0.335,0,0.21,0,0,0,0.005,0.155,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0
30,6249,0.0248756218905473,0.0348258706467662,0,0.0597014925373134,0.00497512437810945,0,0,0.0099502487562189,0.0298507462686567,0,0,0.0746268656716418,0,0.45273631840796,0,0.189054726368159,0,0,0,0.0199004975124378,0.0099502487562189,0.0845771144278607,0.00497512437810945,0,0,0,0,0,0,0,0,0,0,0,0
40,8349,0,0.0292682926829268,0.0048780487804878,0.024390243902439,0.0048780487804878,0.0048780487804878,0,0.0048780487804878,0.0195121951219512,0.0146341463414634,0.0146341463414634,0.073170731707317,0.0048780487804878,0.521951219512195,0,0.151219512195122,0,0,0,0.0146341463414634,0.0195121951219512,0.073170731707317,0,0,0.0097560975609756,0,0,0.0048780487804878,0,0,0,0.0048780487804878,0,0,0
50,NA,0,0.03,0,0.07,0,0,0,0,0.01,0.005,0,0.055,0,0.615,0,0.18,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0
60,NA,0.00492610837438424,0.0147783251231527,0,0.0197044334975369,0.00492610837438424,0.00492610837438424,0,0,0,0.00492610837438424,0,0.0689655172413793,0.00492610837438424,0.67487684729064,0,0.133004926108374,0,0,0,0.00492610837438424,0.0197044334975369,0.0246305418719212,0.00985221674876847,0,0,0.00492610837438424,0,0,0,0,0,0,0,0,0
70,NA,0.00495049504950495,0,0,0.0594059405940594,0.00495049504950495,0.00495049504950495,0,0,0.0346534653465347,0.00495049504950495,0,0.0445544554455446,0,0.623762376237624,0,0.158415841584158,0.00495049504950495,0,0,0.00495049504950495,0.0099009900990099,0.0346534653465347,0,0,0,0,0,0,0,0,0,0.00495049504950495,0,0,0
80,NA,0,0,0,0.0388349514563107,0.0194174757281553,0,0,0,0.0388349514563107,0.00485436893203883,0,0.0194174757281553,0.00485436893203883,0.689320388349515,0,0.145631067961165,0.0194174757281553,0.00485436893203883,0,0,0,0.00970873786407767,0.00485436893203883,0,0,0,0,0,0,0,0,0,0,0,0
