"depth","best.age","min.age","max.age"
0.5,NA,NA,NA
1.5,NA,NA,NA
2.5,-24,-25,-22
5.5,-9,-12,-7
8.5,9,5,13
10.5,21,15,26
11.5,26,20,31
14.5,36,29,44
17.5,42,31,53
19.5,56,39,72
20.5,65,42,88
21.5,74,38,109
24.5,99,23,174
25.5,109,28,193
26.5,121,17,227
27.5,133,-25,286
28.5,141,-10,287
30.5,150,112,188
32.5,180,141,218
33.5,195,155,234
37,247,198,296
41,306,243,372
45,365,285,449
49,425,327,527
51,454,348,567
53,484,368,607
57,544,409,688
63,633,468,808
69,722,527,929
