"sample.depths","sample.ages","Acer.undiff.","Betula","Carya","Corylus","Cyperaceae","Ericaceae","Fagus","Poaceae.undiff.","Juglans.cinerea","Nyssa","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Ranunculaceae.undiff.","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Zea.mays","Alnus.incana","Ambrosia","Fabaceae","Myrica.Comptonia.peregrina","Amaranthaceae","Caprifoliaceae","Plantago","Rosaceae","cf..Hypericum","Fraxinus.nigra","Fraxinus.pennsylvanica","Cupressaceae.Taxaceae","Platanus","Apiaceae","Brassicaceae","Acer.rubrum","Ilex","Castanea","Cephalanthus","Ostrya.Carpinus","Rhamnus","Artemisia","Tilia","Caryophyllaceae","Rhus","Abies","Salix","Thalictrum","Lamiaceae","Iva","Asteraceae.subf..Cichorioideae"
0,-34,0.00228310502283105,0.0707762557077626,0.0045662100456621,0.0114155251141553,0.0091324200913242,0.00684931506849315,0.00228310502283105,0.205479452054795,0.00228310502283105,0.0091324200913242,0.00228310502283105,0.0045662100456621,0.00228310502283105,0.0319634703196347,0.118721461187215,0.00228310502283105,0.0593607305936073,0.0091324200913242,0.0570776255707763,0.00228310502283105,0.00228310502283105,0.0159817351598174,0.164383561643836,0.0091324200913242,0.105022831050228,0.0045662100456621,0.0045662100456621,0.0616438356164384,0.0045662100456621,0.00228310502283105,0.00228310502283105,0.0091324200913242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,0.00801068090787717,0.0400534045393858,0.00534045393858478,0,0.00801068090787717,0,0,0.299065420560748,0,0.00534045393858478,0,0,0.00534045393858478,0.0226969292389853,0.096128170894526,0,0.120160213618158,0,0.0240320427236315,0,0.00267022696929239,0.0106809078771696,0.202937249666222,0,0.0427236315086782,0.00267022696929239,0.00267022696929239,0.0907877169559413,0.00534045393858478,0,0,0.00267022696929239,0.00267022696929239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,70,0,0.047556142668428,0.00264200792602378,0.00792602377807133,0.00264200792602378,0,0.0105680317040951,0.219286657859974,0,0.0158520475561427,0.00132100396301189,0,0.00528401585204756,0.0369881109643329,0.105680317040951,0,0.150594451783355,0.0132100396301189,0.023778071334214,0,0.00264200792602378,0.0211360634081902,0.21664464993395,0,0.00528401585204756,0,0.00792602377807133,0.0792602377807133,0.00528401585204756,0,0,0,0,0.00792602377807133,0.00528401585204756,0.00528401585204756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,123,0,0.047976011994003,0.00299850074962519,0.00599700149925037,0.00899550224887556,0,0.0179910044977511,0.248875562218891,0.00299850074962519,0.0149925037481259,0.00299850074962519,0,0.00599700149925037,0.04047976011994,0.113943028485757,0,0.24287856071964,0.00299850074962519,0.0179910044977511,0.00899550224887556,0.00299850074962519,0.00899550224887556,0.128935532233883,0,0.0299850074962519,0,0,0.0269865067466267,0.00299850074962519,0,0,0.00299850074962519,0,0,0,0,0.00299850074962519,0.00599700149925037,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,178,0.0195360195360195,0.0561660561660562,0.00976800976800977,0,0.00244200244200244,0.0146520146520147,0.00976800976800977,0.175824175824176,0,0.043956043956044,0,0,0.00732600732600733,0.0622710622710623,0.202686202686203,0,0.114774114774115,0.0146520146520147,0.0122100122100122,0.00488400488400488,0,0.0244200244200244,0.10989010989011,0,0.0561660561660562,0,0,0.00976800976800977,0.0195360195360195,0,0,0,0.00244200244200244,0,0,0,0,0.021978021978022,0.00488400488400488,0,0,0,0,0,0,0,0,0,0,0,0,0
50,235,0,0.0558375634517767,0.0203045685279188,0.0126903553299492,0.0177664974619289,0.0177664974619289,0.0126903553299492,0.098984771573604,0.00253807106598985,0.0304568527918782,0,0.0101522842639594,0.00761421319796954,0.0558375634517767,0.350253807106599,0,0.0710659898477157,0.0126903553299492,0.0152284263959391,0,0,0.0177664974619289,0.0482233502538071,0.00253807106598985,0.0761421319796954,0,0,0,0.0203045685279188,0,0,0.00253807106598985,0.00253807106598985,0,0,0,0.00761421319796954,0.0126903553299492,0.0050761421319797,0.0050761421319797,0.00253807106598985,0.0050761421319797,0,0,0,0,0,0,0,0,0,0
60,296,0.00786369593709043,0.0943643512450852,0.0629095674967235,0.00786369593709043,0.00262123197903014,0.0104849279161206,0.0393184796854522,0.0235910878112713,0,0.0209698558322412,0.00655307994757536,0.00262123197903014,0.00786369593709043,0.0681520314547838,0.385321100917431,0,0.0104849279161206,0.018348623853211,0.0131061598951507,0.00524246395806029,0,0.036697247706422,0.00524246395806029,0,0.0996068152031455,0,0,0,0.0262123197903014,0,0.00262123197903014,0.0157273918741809,0.00262123197903014,0,0,0,0.00786369593709043,0.00262123197903014,0,0,0.00786369593709043,0,0.00262123197903014,0.00262123197903014,0,0,0,0,0,0,0,0
70,361,0.0138504155124654,0.116343490304709,0.038781163434903,0.00831024930747922,0.00554016620498615,0.00831024930747922,0.0166204986149584,0.00277008310249307,0,0.0221606648199446,0.00138504155124654,0,0.00554016620498615,0.0678670360110803,0.479224376731302,0,0,0.0138504155124654,0.0166204986149584,0.0138504155124654,0,0.0221606648199446,0.00554016620498615,0,0.119113573407202,0,0,0,0.0110803324099723,0,0,0.00277008310249307,0,0,0,0,0,0.00554016620498615,0.00277008310249307,0,0,0,0,0,0,0,0,0,0,0,0,0
80,433,0,0.0829493087557604,0.0583717357910906,0.00921658986175115,0,0.00921658986175115,0.0491551459293395,0,0,0.0153609831029186,0.00460829493087558,0,0,0.0460829493087558,0.543778801843318,0,0,0.00307219662058372,0.00614439324116743,0.00307219662058372,0,0.00614439324116743,0,0,0.113671274961598,0,0,0,0.0245775729646697,0,0,0.00307219662058372,0,0,0,0.00307219662058372,0.00614439324116743,0.00614439324116743,0,0,0,0,0,0,0.00307219662058372,0.00307219662058372,0,0,0,0,0,0
85,473,0.0112517580872011,0.0872011251758087,0.0675105485232067,0.00562587904360056,0,0.00562587904360056,0.0450070323488045,0.00562587904360056,0,0.0112517580872011,0.00281293952180028,0.00281293952180028,0.0112517580872011,0.0436005625879044,0.464135021097046,0.00281293952180028,0,0.0168776371308017,0.00562587904360056,0.00281293952180028,0,0.00562587904360056,0.00281293952180028,0.00281293952180028,0.151898734177215,0,0,0,0.00562587904360056,0,0.00562587904360056,0.00843881856540084,0.00281293952180028,0,0.00562587904360056,0,0.00281293952180028,0.00562587904360056,0.00281293952180028,0,0,0,0.00281293952180028,0,0,0,0.00281293952180028,0,0,0,0,0
95,563,0.0103896103896104,0.0701298701298701,0.038961038961039,0.00779220779220779,0,0.0181818181818182,0.038961038961039,0.00519480519480519,0,0.0103896103896104,0.0012987012987013,0.0025974025974026,0.00519480519480519,0.0558441558441558,0.493506493506494,0,0,0.0103896103896104,0.00519480519480519,0.00779220779220779,0,0.012987012987013,0.0025974025974026,0,0.127272727272727,0,0,0,0.0415584415584416,0.00519480519480519,0.00519480519480519,0,0,0,0,0,0.00779220779220779,0.0025974025974026,0,0,0.00779220779220779,0,0,0,0,0,0,0.0025974025974026,0.0025974025974026,0,0,0
