"sample.depths","sample.ages","upland.sum","Acer.rubrum","Ambrosia.type","Carya","Cephalanthus","Ilex","Liquidambar","Quercus","Serenoa","Taxodium","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Myrica","Pinus","Amaranthaceae","Poaceae","Cyperaceae.undiff.","Polygonum","Juglans.nigra.type","Ericales","Iva","Bidens.type","Ostrya.Carpinus","Vitis","Alnus","Fraxinus","Nyssa.sylvatica.type","Gordonia","Salix","Tillandsia","Lechea","Celtis","Rhus","Platanus","Cassia","Eriogonum","Ephedra","Artemisia","cf..Clethra","Parthenocissus"
275,-18,297,1,4,19,2,3,3,45,1,2,3,2,47,141,3,11,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,59,290,0,5,14,2,2,2,51,0,5,2,1,52,123,6,10,5,0,0,0,1,1,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
295,288,298,0,0,25,0,0,6,48,0,2,1,3,39,145,7,8,3,0,0,1,0,0,1,1,1,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0
315,594,300,0,0,28,1,0,8,45,0,3,0,0,16,182,2,10,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,900,297,0,0,27,0,1,5,45,0,6,2,0,33,156,2,13,1,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
345,1053,297,0,0,29,0,2,4,45,0,2,0,0,32,168,1,6,3,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
365,1359,299,0,0,12,1,0,3,54,0,7,1,2,30,167,4,8,3,0,0,0,1,0,1,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0
385,1665,301,0,0,18,0,4,4,52,0,1,0,2,29,168,6,8,3,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
405,1971,296,0,0,18,0,0,1,69,0,3,1,0,13,166,7,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
425,2277,303,0,0,20,0,1,2,42,0,4,3,1,12,196,4,8,3,0,0,0,0,1,1,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0
445,2583,301,0,0,20,0,0,0,55,0,2,1,0,13,181,4,10,5,0,0,0,0,0,2,2,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0
465,2889,297,0,0,14,0,0,1,51,0,1,1,1,10,197,8,8,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
485,3195,299,0,0,14,0,0,0,44,0,3,0,0,4,217,1,9,3,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
505,3501,302,0,0,19,1,0,0,53,0,0,2,2,8,193,2,10,7,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
525,3807,299,1,0,10,0,0,0,53,0,0,1,1,5,210,3,6,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
545,4114,297,0,1,13,0,0,0,69,0,1,0,2,5,184,0,7,11,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
565,4420,299,1,0,12,0,0,1,67,0,2,5,0,5,186,4,5,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
585,4726,300,0,0,15,0,0,1,91,0,1,4,1,9,131,6,21,10,0,0,1,1,0,0,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
595,4879,298,0,0,11,0,0,1,124,0,0,7,1,4,94,11,30,11,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
605,NA,299,0,0,9,0,0,2,108,0,3,8,3,3,80,2,39,35,0,0,1,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
615,NA,292,0,0,3,0,0,1,129,0,1,19,1,3,39,10,46,31,0,0,2,3,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
