"sample.depths","sample.ages","upland.sum","Acer.spicatum","Alnus.incana.type","Ambrosia.type","Caprifoliaceae.undiff.","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Poaceae.undiff.","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Ribes","Ulmus","Juniperus.type","Amaranthaceae","Plantago","Abies.balsamea","Acer.saccharum","Corylus.cornuta","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Picea.undiff.","Pinaceae","Betula.undiff.","Acer.rubrum","Artemisia","Salix","Asteraceae.subf..Asteroideae.undiff.","Rosaceae.undiff.","Cerealia","Castanea.dentata","Myrica.gale","Tsuga.canadensis","Larix","Ostrya.Carpinus","Liliaceae","Carya.ovata","Betula","Fabaceae.undiff.","Populus.tremuloides.type","Sambucus","Tilia","Rhamnus.alnifolia.R..frangula","Fraxinus.pennsylvanica.type","Juglans.cinerea","Brassicaceae","Thalictrum","Ranunculaceae.undiff.","Rubus.chamaemorus","Juniperus.communis.Thuja.occidentalis.type","Taxus","Alnus.viridis.type","Saxifraga.cernua.type","Pinus.resinosa.type","Shepherdia.canadensis","Caryophyllaceae","Epilobium","Populus.balsamifera.type","Potentilla.palustris.type","Asteraceae.subf..Cichorioideae","Armeria.maritima","cf..Oxyria.digyna","Oxytropis.maydelliana.type","Polygonum.viviparum","Apiaceae","Koenigia.islandica","Viburnum.edule","Viburnum.alnifolium","Fraxinus.americana.type","Juglans.nigra","Campanula.type"
5,119,384,2,20,45,1,35,10,2,2,17,3,42,10,2,1,1,1,2,1,18,1,2,10,1,4,3,6,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,475,532,0,24,52,0,23,9,2,0,12,8,77,1,2,0,3,0,1,2,55,0,9,1,24,6,6,0,192,2,4,3,1,1,1,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,712,652,0,5,19,0,1,1,4,3,22,1,148,8,2,0,0,0,0,0,76,0,2,10,10,5,0,6,312,0,0,0,7,0,0,0,0,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1068,538,0,10,0,0,5,2,5,2,2,8,103,5,4,0,1,0,0,0,111,3,10,15,35,0,16,2,0,0,1,0,0,0,0,0,0,3,8,0,0,1,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1305,850,0,62,1,1,9,3,20,1,1,1,88,13,4,1,1,0,1,0,55,5,12,4,26,0,58,10,450,2,1,1,1,0,0,0,0,11,0,0,0,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1661,790,0,14,0,0,1,1,23,4,3,10,61,7,6,0,2,0,0,0,55,4,37,3,48,0,13,4,434,2,2,0,1,0,1,0,17,35,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1898,1036,0,8,2,0,1,5,22,1,3,0,76,80,16,0,4,0,0,0,93,2,3,10,17,0,46,20,583,3,2,0,0,0,0,0,0,28,0,3,1,1,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2136,496,0,2,1,0,7,1,18,2,0,2,30,6,8,0,3,0,0,0,33,4,13,0,32,0,12,2,294,1,3,0,1,0,0,1,2,13,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2492,657,0,9,3,0,16,1,18,1,1,0,82,77,2,0,1,0,1,0,46,1,3,0,2,0,23,10,338,3,1,0,0,1,0,0,0,14,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2847,675,0,9,0,0,10,3,19,10,3,0,40,17,17,0,0,0,0,0,55,5,30,0,94,0,7,4,336,1,5,0,1,2,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
