"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum","Alnus.incana","Alnus.viridis.type","Betula","Carya","Celtis","Cephalanthus","Cornus.sericea.type","Corylus","Cupressaceae","Ephedra.trifurca.type","Ephedra.viridis.type","Ericaceae","Fagus.grandifolia","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Liquidambar.styraciflua","Morus","Ostrya.type","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.balsamifera.type","Populus.tremuloides.type","Populus.undiff.","Quercus","Rhus","Rubus","Salix","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Tilia","Ulmus","Vitis","Allium","Ambrosia.type","Amorpha.type","Anemone.canadensis.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Campanula","Caryophyllaceae","Amaranthaceae","Dalea.purpurea","Euphorbia","Fagopyrum","Galium","Humulus.lupulus","Impatiens","Iva.annua.type","Iva.xanthifolia.type","Lamiaceae.undiff.","Liliaceae","Lycopus.type","Phlox","Pilea.type","Poaceae","Polemonium","Polygonum.amphibium","Polygonum.aviculare.type","Polygonum.lapathifolium.type","Polygonum.undiff.","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex","Sanguisorba","Thalictrum","Urtica","Xanthium","Cyperaceae","Engelhardtia"
120,2566,341,0,0,0,0,0,2,0,2,13,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,2,0,0,0,13,10,0,0,0,126,0,0,0,0,0,0,0,9,0,0,30,0,0,0,4,7,0,0,0,0,29,0,0,0,0,0,0,2,0,0,0,0,0,0,34,0,0,0,0,0,0,0,3,0,0,0,0,48,0
130,2711,314,0,0,0,0,0,2,0,3,11,0,0,5,1,0,0,0,0,0,1,1,0,0,0,3,0,0,2,0,2,0,0,0,7,8,0,0,0,126,0,0,0,0,0,0,2,6,0,0,16,0,0,0,2,7,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,1,0,0,61,0
140,2856,328,0,0,0,0,0,2,0,2,15,0,0,2,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,116,0,0,0,0,0,0,0,8,0,0,29,0,0,0,1,8,0,0,0,0,50,0,0,0,0,0,0,1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,1,0,1,0,0,45,0
144,2914,314,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,2,1,0,1,0,1,1,1,0,0,0,3,0,0,0,5,2,0,0,3,127,0,0,1,0,0,0,0,6,0,0,23,3,0,0,2,6,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,1,0,1,0,0,49,0
155,3074,305,0,0,0,0,0,2,0,3,15,1,0,1,0,0,0,0,0,0,0,2,0,0,2,1,0,0,2,0,3,0,0,0,13,7,0,0,0,139,0,0,0,0,0,0,0,6,0,0,26,0,0,0,1,9,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,35,0
160,3147,299,0,0,0,0,0,1,0,4,21,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,1,0,0,9,9,0,0,0,134,0,0,0,1,0,0,1,4,0,0,12,3,0,1,4,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,1,0,0,0,0,41,0
165,3220,311,0,0,0,0,0,0,0,2,8,0,0,5,0,0,0,0,0,1,0,2,0,0,2,1,1,0,3,0,6,0,0,0,9,5,0,0,0,103,0,0,3,0,0,0,0,18,0,0,35,0,0,1,1,9,0,0,0,0,13,0,0,0,0,1,0,1,1,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,42,0
170,3292,300,0,0,0,0,0,3,0,1,20,0,0,0,2,0,0,0,0,0,1,3,0,0,3,2,0,0,1,0,4,0,0,0,6,5,0,0,0,116,0,0,0,0,0,0,0,9,1,0,33,3,0,0,2,7,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,2,0,0,0,0,1,0,0,30,0
175,3365,312,0,0,0,0,0,2,0,4,12,0,0,2,0,1,0,0,0,3,1,0,0,0,1,1,0,0,2,0,3,0,0,0,12,6,0,0,0,117,0,0,3,0,0,0,1,6,0,0,34,0,0,0,4,6,0,0,0,0,17,0,0,0,0,0,0,0,2,0,0,0,0,0,33,0,0,0,0,1,0,0,1,0,0,0,0,37,0
180,3438,308,0,0,0,0,0,1,0,2,14,0,0,3,0,0,0,0,0,2,1,0,0,0,0,3,0,0,3,0,3,0,0,0,12,7,0,0,0,126,0,0,0,0,0,0,0,10,0,0,27,2,0,0,5,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,1,0,0,31,0
185,3510,316,0,0,0,0,0,1,0,2,24,0,0,0,1,0,0,0,0,2,0,1,1,0,1,0,0,0,1,0,3,0,0,0,11,10,0,0,0,121,0,0,2,0,0,0,0,13,0,0,28,0,0,0,2,5,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,33,0,0,0,0,1,0,0,0,0,1,0,0,35,0
190,3583,308,0,0,0,0,0,1,0,3,20,0,0,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0,2,0,1,0,0,0,21,1,0,0,0,148,0,0,1,0,0,0,0,14,0,0,18,0,0,0,2,2,0,0,0,0,13,0,0,0,0,1,0,0,1,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,24,0
195,3656,307,0,0,0,1,0,3,0,3,20,2,0,2,1,2,0,0,0,2,0,5,0,0,0,2,1,0,3,0,4,0,0,0,9,2,0,0,0,125,0,0,2,0,0,0,1,10,0,0,28,0,0,0,1,5,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,0,0,0,34,0
205,3801,323,0,0,0,0,0,1,0,1,16,0,0,0,1,0,0,0,0,2,0,2,0,0,2,4,0,0,2,0,1,0,0,0,12,5,0,0,0,150,0,0,2,0,0,0,0,17,0,0,29,3,0,0,0,3,0,0,0,0,15,0,0,0,0,0,0,2,0,0,0,0,0,0,18,0,0,0,0,1,0,0,1,0,0,0,0,33,0
210,3874,317,0,0,0,0,0,1,0,0,26,1,1,1,2,0,0,0,0,0,0,1,0,0,1,2,0,0,2,2,2,0,0,0,7,3,0,0,0,145,0,0,0,0,0,0,0,22,0,0,19,3,0,1,0,0,0,0,0,0,12,1,0,0,0,0,0,1,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,27,0
215,3946,318,0,0,0,0,0,2,0,0,9,0,0,2,2,0,0,0,0,1,1,1,0,0,1,2,0,0,1,0,3,0,0,0,3,9,0,0,0,138,0,0,1,0,0,0,0,12,0,0,21,0,0,0,3,6,0,0,0,0,11,0,0,0,0,1,0,1,0,0,0,0,0,0,54,0,0,0,0,2,0,0,1,0,0,0,0,30,0
220,4019,307,0,0,0,0,0,0,0,3,19,0,0,1,1,0,0,0,0,0,0,2,0,0,1,3,0,0,1,0,2,0,0,0,9,5,0,0,0,145,0,0,0,0,0,0,0,9,0,0,29,1,0,0,3,6,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,2,0,0,0,0,20,0
225,4092,318,0,0,0,0,0,1,0,2,21,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,1,0,2,0,3,0,0,0,13,4,0,0,0,156,0,0,2,0,0,0,0,20,0,0,25,0,0,0,1,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,0,0,0,0,20,0
230,4164,305,0,0,0,0,0,0,0,3,12,2,0,1,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,4,0,0,0,5,10,0,0,0,107,0,0,2,1,0,0,0,8,0,0,23,0,0,0,0,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,33,0
235,4237,306,0,0,0,0,0,1,0,5,20,0,0,1,0,0,0,0,0,1,0,0,1,0,2,3,1,0,1,0,0,0,0,0,8,9,0,0,0,150,0,0,0,0,0,0,0,8,0,0,25,0,0,0,2,1,0,0,0,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,23,0
240,4310,307,0,0,0,0,0,0,0,6,16,0,0,1,0,1,0,0,0,1,4,1,0,0,0,2,1,0,1,0,1,0,0,0,7,3,0,0,0,122,0,0,4,0,0,0,0,11,0,0,37,0,0,0,2,4,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,33,0
245,4382,310,0,0,0,0,0,1,0,4,7,0,0,1,0,0,0,0,0,0,0,5,0,0,3,1,0,0,1,0,0,0,0,0,8,4,0,0,0,124,0,0,1,0,0,0,0,11,0,0,36,0,0,0,1,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,1,0,0,0,0,37,0
250,4455,300,0,0,0,0,0,5,0,2,11,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,18,4,0,0,0,108,0,0,1,1,0,0,0,8,0,0,35,0,0,0,1,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,1,0,0,1,0,0,20,0
255,4528,302,0,0,0,0,0,1,0,6,5,0,0,2,0,0,0,0,0,2,1,0,0,0,4,1,0,0,0,0,2,0,0,0,10,4,0,0,0,91,0,0,3,0,0,0,1,7,1,0,55,0,0,0,1,15,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,44,0,0,0,0,1,0,0,2,0,0,0,0,38,0
260,4600,306,0,0,0,0,0,1,0,3,5,0,0,3,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0,1,0,0,0,2,7,0,0,0,90,0,0,3,0,0,0,2,7,0,0,44,1,0,0,3,4,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,41,0
265,4673,301,0,0,0,0,0,2,0,4,16,0,0,1,1,0,0,0,0,0,2,1,0,0,2,2,0,0,1,0,3,1,0,0,8,6,0,0,0,106,0,0,2,0,0,0,0,11,0,0,35,1,0,0,4,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,25,0
270,4746,329,0,0,0,0,0,0,0,1,10,2,0,3,0,2,0,0,0,1,5,1,0,0,1,1,0,0,1,1,3,0,0,0,8,6,0,0,0,84,0,0,1,0,0,0,0,10,0,0,41,0,0,0,5,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,2,0,0,0,0,0,0,0,50,0
275,4787,307,0,0,0,1,1,1,0,1,7,1,0,2,0,0,0,0,0,0,2,1,0,0,2,1,0,0,1,1,1,0,0,0,17,9,0,0,0,109,0,0,1,0,0,0,0,4,0,0,32,0,0,0,2,10,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,61,0,0,0,0,1,0,0,4,0,0,0,0,28,0
280,4829,295,0,0,0,0,0,1,0,1,11,0,0,2,0,0,0,0,0,0,4,1,0,0,1,2,0,0,4,0,2,0,0,0,7,18,0,0,0,118,0,0,1,0,0,0,0,8,0,0,26,0,0,1,3,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,1,0,2,0,0,0,0,0,25,0
285,4870,303,0,0,0,0,0,0,1,6,10,0,0,5,0,4,0,0,0,1,1,0,0,2,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,78,0,0,2,0,0,0,0,7,1,0,45,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,55,0
300,4995,345,0,0,0,0,0,0,0,3,15,1,0,1,1,0,0,0,0,1,8,2,0,0,1,1,0,0,1,1,1,0,0,0,8,6,0,0,0,132,0,0,4,0,0,0,1,17,0,0,32,0,0,0,4,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,3,0,0,0,0,35,0
308,5062,305,0,0,0,0,0,1,0,3,8,0,0,0,0,0,0,0,0,2,1,0,2,0,2,1,0,0,2,0,0,0,0,0,12,5,0,0,0,96,0,0,3,0,0,0,1,8,0,0,39,3,0,1,0,2,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,58,0,0,0,0,0,0,0,1,0,0,0,1,44,0
315,5120,302,0,0,0,0,0,0,0,2,12,0,0,1,1,3,0,0,0,1,14,2,0,0,0,1,0,0,1,0,2,0,0,0,10,5,0,0,0,111,0,0,6,1,0,0,0,26,0,0,41,0,0,0,5,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,1,0,0,24,0
322,5178,314,0,0,0,0,0,2,0,1,16,0,0,1,0,0,0,0,0,6,10,1,0,0,0,1,0,0,0,0,2,0,0,0,11,3,0,0,0,95,0,0,5,0,0,0,0,41,0,0,34,0,0,0,7,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,33,0
330,5245,338,0,0,0,0,0,2,0,1,11,0,0,0,1,0,0,0,0,2,12,1,0,0,2,2,0,0,1,0,3,0,0,0,18,7,0,0,0,127,0,1,7,0,0,0,0,12,0,0,37,0,0,1,1,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,1,0,0,0,0,1,0,0,35,0
338,5311,305,0,0,0,1,0,0,0,0,8,0,0,1,0,0,0,0,0,0,10,3,1,0,1,3,0,0,1,0,1,0,0,0,4,11,0,0,0,127,0,0,3,0,0,0,0,19,0,0,33,0,0,0,4,3,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,3,0,1,0,0,32,0
345,5369,328,0,0,0,0,0,0,0,1,16,0,0,2,1,3,0,0,0,0,5,1,0,0,0,2,0,0,4,0,3,0,0,0,8,11,0,2,0,142,0,1,3,0,0,0,0,20,0,0,18,1,0,0,3,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,28,0
352,5428,310,0,0,0,0,0,1,0,0,11,0,0,2,0,0,0,0,0,1,4,7,0,0,2,3,1,0,0,0,1,0,0,0,11,10,0,0,0,131,0,0,2,0,0,0,1,21,0,0,23,1,0,0,2,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,1,0,0,0,0,35,0
360,5494,355,0,0,0,0,0,1,0,2,7,0,0,1,2,0,0,0,0,1,13,1,0,0,2,2,0,0,2,0,2,0,0,0,9,6,0,0,0,144,0,0,0,0,0,0,0,31,0,0,43,0,0,0,2,2,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,44,0
368,5561,312,0,0,0,0,0,1,0,1,8,0,0,1,0,2,0,0,0,2,8,5,0,0,1,4,0,0,3,0,4,0,0,0,11,10,0,0,1,130,0,0,3,0,0,0,1,12,0,0,45,1,0,0,6,1,0,0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,21,0,0,0,0,0,0,1,0,0,1,0,0,21,0
375,5619,321,0,0,0,0,0,1,0,1,8,0,0,0,0,2,0,0,0,1,7,4,0,0,3,5,0,0,0,0,1,0,0,0,5,4,0,0,0,123,0,0,3,1,1,0,1,9,0,0,52,6,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,35,0
