"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Armeria.maritima","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Botrychium","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","Celtis.occidentalis","cf..Callitriche","cf..Oxyria.digyna","cf..Sarcobatus.vermiculatus","Cornus","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Diphasiastrum.complanatum.type","Dryopteris.type","Equisetum","Ericaceae","Eriocaulon","Fabaceae.undiff.","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Hypericum","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Lamiaceae","Larix","Liliaceae","Linnaea.borealis","Lycopodiella.inundata","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Myrica.gale","Myriophyllum.alterniflorum","Myriophyllum.sibiricum.type","Myriophyllum.undiff.","Nemopanthus.mucronatus","Nuphar","Nymphaea","Nymphaeaceae.undiff.","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Oxytropis.maydelliana.type","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonaceae.undiff.","Polygonum.convolvulus.type","Populus.balsamifera.type","Populus.deltoides.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Prunus","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rosaceae.undiff.","Rubiaceae","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Sambucus","Saxifraga","Saxifraga.cernua.type","Saxifraga.oppositifolia.type","Saxifragaceae.undiff.","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urticaceae","Viburnum.alnifolium","Viburnum.edule","Viburnum.lentago","Viburnum.nudum","Viburnum.opulus","Viburnum.undiff."
5,93,8,1,1,0,17,0,9,3,0,1,0,2,0,0,0,258,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,1,2,0,41,3,6,2,0,0,1,0,3,0,13,4,0,3,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,6,0,1,10,7,12,0,34,7,6,0,0,0,0,3,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,49,0,1,12,0,5,0,1,0,0,0,0,0,0
15,280,5,0,2,0,9,0,5,2,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,39,1,13,2,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,1,39,24,3,0,0,1,0,2,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,62,0,2,7,0,2,3,0,0,2,0,0,0,0
25,466,9,0,3,0,14,0,7,1,0,2,0,2,0,0,0,238,0,0,3,0,1,0,0,0,0,1,0,3,0,0,0,0,1,0,0,36,1,3,1,0,0,2,2,1,0,5,7,0,3,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,3,0,0,18,7,13,1,31,9,9,1,0,0,0,3,1,2,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,2,40,0,1,2,2,7,5,0,0,0,0,0,0,0
50,933,6,0,1,0,18,0,10,4,0,2,0,1,1,0,0,319,0,0,3,0,1,0,3,0,0,0,0,3,0,0,0,0,0,0,0,76,0,13,2,1,0,0,1,1,0,8,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,1,20,5,13,1,41,17,3,0,0,0,0,0,0,3,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,70,0,1,7,1,6,0,0,0,0,0,0,0,0
75,1399,3,0,7,0,14,0,7,1,0,1,0,1,0,0,0,204,0,0,1,0,0,0,1,0,0,0,0,6,0,0,0,0,2,1,0,78,0,13,1,0,0,0,1,0,0,10,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,13,0,1,4,3,1,0,54,10,3,0,0,0,0,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,55,0,0,8,1,10,0,0,0,0,1,0,0,0
100,1834,9,0,3,0,30,0,15,3,0,2,0,1,0,0,0,237,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,1,0,0,0,54,2,2,1,2,0,1,4,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,3,6,3,51,35,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,25,0,0,5,2,7,0,0,0,0,0,0,0,0
125,1995,4,2,6,0,11,0,7,1,0,1,0,1,0,0,0,281,0,0,1,0,0,0,2,0,0,0,0,11,0,0,0,0,1,2,0,60,5,6,1,1,0,3,4,0,0,9,11,0,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,11,3,6,1,76,17,7,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,52,1,1,7,1,8,2,0,0,0,0,0,0,0
150,2155,2,0,4,0,15,0,14,1,0,0,0,1,0,0,0,235,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,42,0,9,3,0,0,0,6,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,3,0,3,1,2,0,1,87,15,7,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,1,47,0,0,8,0,12,1,0,0,0,0,0,1,0
175,2315,6,0,1,0,20,0,8,1,1,0,0,1,0,0,0,220,0,0,0,0,0,0,1,0,0,0,2,6,0,0,0,0,1,0,0,65,3,7,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,8,5,4,3,97,43,2,0,0,0,0,2,1,0,0,0,25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,58,0,0,7,1,3,3,0,0,0,0,0,0,0
200,2476,10,2,6,0,23,0,12,1,1,1,0,1,0,0,0,309,0,0,4,0,0,0,1,0,0,0,0,15,0,0,0,0,2,0,0,107,0,6,2,0,0,4,11,1,0,18,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,23,5,10,2,134,34,10,0,0,0,0,0,0,2,0,0,21,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,3,80,0,1,15,2,9,1,0,0,0,0,0,0,0
