"depth","best.age","min.age","max.age"
1,-36,-38,-33
3,-19,-25,-12
5,-1,-10,6
7,16,9,22
9,33,26,40
11,50,41,59
13,97,81,112
15,145,116,169
17,193,150,227
19,240,183,286
21,288,216,345
23,335,249,404
25,383,283,464
27,430,315,523
29,499,404,578
31,568,483,642
33,636,559,711
35,705,628,782
37,774,688,855
39,843,739,931
41,971,883,1050
43,1100,1021,1176
45,1228,1150,1307
47,1356,1270,1444
49,1485,1344,1587
51,1613,1442,1731
53,1675,1530,1784
55,1737,1640,1843
57,1798,1699,1906
59,1860,1757,1982
61,1921,1808,2075
63,1983,1849,2169
65,2045,1888,2261
67,NA,NA,NA
