"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Adiantum","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brasenia.schreberi","Carya","Corylus","Cupressaceae","Cyperaceae","Elaeagnus","Ephedra","Ericaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Herbs.undiff.","Indeterminable","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Lycopodium.type","Myrica","Myriophyllum","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Polygonum","Populus","Potamogetonaceae","Potentilla.type","Pteridium.type","Quercus","Rosaceae.undiff.","Rumex","Salix","Shepherdia","Sphagnum","Tilia","Tsuga","Typha.Sparganium","Ulmus","Unknown..monolete."
1,120,6,3,11,0,10,4,28,1,0,90,0,0,3,3,5,10,0,0,0,20,1,1,0,13,1,0,1,0,5,0,0,1,0,3,24,89,122,0,1,10,0,3,0,0,28,22,0,1,2,0,6,1,24,0,8,0
5,199,5,0,13,0,13,3,31,4,1,115,0,0,1,0,2,4,0,0,5,18,1,0,0,5,0,0,1,0,5,0,0,0,0,4,22,57,128,0,1,19,0,0,1,0,38,20,0,8,1,0,3,1,25,1,5,1
10,298,4,0,14,0,16,3,16,1,1,101,0,0,1,0,4,2,0,0,1,30,1,1,0,4,0,0,0,0,4,1,0,0,0,7,12,102,146,0,1,7,0,0,2,0,16,33,0,3,0,0,1,2,14,0,9,1
15,398,5,0,12,0,7,0,3,3,2,112,0,0,1,0,7,6,0,0,2,16,0,0,0,9,0,0,1,0,1,0,1,1,0,5,20,83,202,0,2,3,0,0,0,0,7,11,0,0,1,0,2,1,23,0,5,0
23,556,3,0,7,0,8,0,10,5,0,72,0,1,1,1,9,3,0,0,0,5,2,1,1,14,1,0,1,0,0,0,1,3,0,3,8,158,186,0,1,6,0,0,0,0,14,34,0,0,0,0,0,1,3,0,10,0
101.5,2113,3,0,8,0,9,4,2,4,2,88,0,0,1,1,5,2,0,0,2,12,1,1,0,12,0,0,1,0,2,0,1,2,0,6,8,39,33,285,1,3,0,0,0,0,11,29,0,0,1,0,1,1,14,0,3,0
104.5,2172,2,2,7,0,15,2,2,7,1,96,0,0,0,1,4,4,0,0,0,11,1,4,0,5,0,0,0,0,2,1,0,3,0,10,5,23,41,258,1,2,0,0,0,0,5,21,0,0,1,0,1,0,15,0,6,0
110.5,2412,12,3,10,0,19,1,10,4,4,129,0,1,1,6,1,6,0,0,1,11,1,6,0,11,0,0,3,0,1,0,0,5,0,13,20,63,66,331,2,8,0,0,0,0,13,46,0,0,2,0,0,1,8,0,10,0
114.5,2685,2,0,7,0,14,0,5,7,2,103,0,0,2,2,6,2,0,0,0,15,1,1,1,10,0,0,0,0,3,0,0,3,0,6,16,47,50,323,1,2,0,0,1,0,10,34,0,0,0,0,0,1,21,0,15,0
119.5,3026,2,0,6,0,10,0,6,3,0,98,0,0,1,0,5,4,0,0,0,5,3,1,1,6,1,0,1,0,2,0,1,1,0,4,7,43,56,229,2,5,0,0,0,0,5,19,0,0,0,0,1,0,12,1,4,1
124.5,3367,2,1,13,0,24,1,7,10,3,132,1,2,2,3,10,0,0,0,0,6,3,9,0,11,2,0,1,0,5,0,3,4,0,12,9,86,82,369,0,3,0,0,0,0,9,43,0,0,0,0,0,1,9,0,12,0
129.5,3708,3,0,6,0,14,0,0,6,2,60,0,2,2,0,20,6,0,0,0,1,1,2,0,1,0,0,3,0,0,0,2,1,3,6,9,54,62,210,2,4,0,0,0,0,11,34,0,0,1,0,0,0,3,1,11,0
134.5,4049,7,0,14,0,28,1,12,11,0,116,0,0,2,2,6,6,0,0,0,6,0,5,0,10,0,0,2,0,2,0,7,1,0,16,13,66,75,457,2,11,0,0,0,0,11,42,0,0,0,0,0,1,11,0,8,1
139.5,4390,4,1,7,0,12,0,5,3,2,37,0,0,1,2,16,3,0,0,0,4,0,3,0,9,1,0,3,0,0,0,6,0,0,13,8,45,59,266,0,10,0,0,1,0,26,32,0,0,0,0,0,1,9,0,12,0
144.5,4730,1,1,5,0,20,3,13,7,4,79,0,0,3,4,3,11,0,0,0,2,0,5,0,8,0,0,2,0,1,0,9,1,0,13,7,44,75,431,3,16,0,0,1,0,15,48,0,0,1,0,0,1,26,0,20,1
149.5,5071,1,2,5,0,7,0,14,12,1,33,0,1,1,0,8,1,0,0,0,1,0,2,0,7,1,0,2,0,5,0,1,1,0,7,5,35,53,326,0,11,0,0,0,0,13,40,0,0,1,0,1,0,24,0,6,0
154.5,5412,2,0,3,0,11,1,16,6,4,38,1,0,1,3,9,11,0,0,0,5,1,5,0,7,1,0,2,0,7,0,0,0,0,13,10,74,110,394,1,7,0,0,2,0,13,50,0,0,0,0,0,0,43,1,20,0
159.5,5753,0,1,1,0,6,3,6,2,0,18,0,1,2,2,9,5,0,0,0,1,0,1,0,4,0,0,1,0,0,0,2,1,0,12,5,86,67,273,1,4,0,0,19,0,26,32,0,0,0,0,1,0,8,0,6,0
164.5,5919,2,0,7,0,15,3,9,2,2,53,1,0,1,1,1,2,0,0,0,1,1,7,1,12,1,0,3,0,2,0,0,3,1,16,5,63,121,557,1,7,0,0,3,0,16,57,0,0,2,0,1,0,8,2,26,0
174.5,6212,0,0,6,0,13,2,11,7,1,43,1,0,4,3,5,9,0,0,0,2,1,3,0,11,1,0,2,0,0,0,9,1,4,21,7,71,112,570,2,7,0,0,0,0,21,49,0,0,1,0,0,0,6,0,14,0
184.5,6505,4,1,2,0,13,3,7,9,2,38,0,0,0,3,1,13,0,0,0,0,0,3,0,8,1,1,0,1,0,0,0,1,5,17,4,78,107,420,2,5,0,0,2,0,14,44,0,0,1,0,0,1,1,0,13,0
193.5,6768,2,0,4,0,8,1,6,5,0,23,0,1,2,3,6,8,0,0,0,0,1,3,0,5,0,0,1,0,0,0,0,1,6,15,2,46,77,336,2,6,0,0,0,0,13,33,0,0,0,0,0,0,1,0,12,0
201.5,7002,1,0,2,0,4,1,8,6,0,26,0,0,0,1,5,4,0,0,0,3,2,0,0,1,0,0,0,0,2,0,0,2,0,7,2,36,89,328,0,9,0,0,0,0,25,25,0,0,0,0,2,0,1,0,17,0
209.5,7237,7,0,3,0,7,8,13,11,4,45,0,0,1,3,7,6,0,1,0,1,1,9,3,9,1,0,2,0,2,0,0,5,0,26,6,41,97,575,1,4,0,0,1,0,27,45,0,0,4,0,0,0,0,1,30,1
219.5,7529,2,0,3,0,12,9,22,4,2,57,0,2,0,2,1,4,0,0,0,0,1,4,0,14,1,0,0,0,6,0,3,7,0,15,9,40,86,506,1,9,0,0,1,0,16,26,0,0,1,0,0,0,0,0,14,1
229.5,7761,3,0,1,0,6,1,8,4,1,30,0,0,1,1,3,2,0,0,0,0,1,1,0,2,1,0,2,0,4,0,0,0,0,7,4,85,81,350,0,4,0,0,0,0,14,15,0,0,0,0,0,0,0,0,18,0
239.5,7989,9,0,2,0,5,6,20,5,1,89,0,0,2,3,4,9,0,0,0,0,0,2,0,8,1,0,3,0,8,0,0,1,0,23,14,71,69,588,1,5,0,0,0,0,35,25,0,0,0,0,2,1,0,0,34,0
249.5,8217,8,0,3,0,9,5,9,6,4,82,0,0,0,3,0,13,0,0,0,1,0,7,0,7,1,0,1,0,3,0,7,0,0,25,15,83,41,432,4,5,0,0,0,0,9,26,0,0,1,0,0,1,0,0,16,0
259.5,8446,10,0,2,0,8,4,11,2,2,79,0,0,1,2,1,5,0,0,0,0,0,4,2,10,1,0,2,0,4,0,0,0,0,15,20,169,40,424,2,5,0,0,0,0,8,29,0,0,1,0,1,1,0,1,5,0
269.5,8674,4,0,0,0,11,6,11,10,0,42,0,0,2,2,0,7,0,0,0,0,1,5,0,4,1,0,0,0,2,0,0,0,0,11,18,50,12,315,0,6,0,0,0,0,13,23,0,0,3,0,0,0,1,0,6,1
275.5,8916,6,0,0,0,4,8,17,17,1,38,1,0,0,0,0,5,0,0,0,0,2,2,0,6,1,0,0,0,0,0,0,0,0,9,18,125,11,317,0,7,0,0,2,0,15,25,1,0,2,0,0,1,0,0,15,0
279.5,9848,4,0,3,0,7,3,9,6,0,31,0,0,0,0,1,4,0,0,0,0,1,3,3,4,0,0,0,0,2,0,0,0,0,6,13,96,11,335,1,5,0,3,0,0,42,15,0,0,3,0,0,0,0,1,13,0
284.5,11014,6,0,0,0,5,1,6,4,1,31,0,0,2,0,1,5,0,0,0,0,1,0,0,5,0,0,4,0,0,0,0,0,0,5,23,93,4,442,1,2,0,0,0,0,6,30,0,0,1,0,0,1,1,0,13,1
289.5,11067,6,0,2,0,1,1,7,10,0,24,0,0,2,2,0,2,0,0,0,0,0,3,0,1,1,0,2,0,4,0,0,0,0,10,28,109,2,320,0,7,0,0,0,0,23,23,0,0,0,0,0,0,0,1,9,0
