"sample.depths","sample.ages","Abies","Betula","Carya","Castanea","Fagus","Ilex","Liquidambar","Picea","Quercus","Tsuga","Ulmus","Alnus","Juglans","Pinus","Nyssa","Tilia"
7.62,NA,0.0326797385620915,0.0522875816993464,0.0457516339869281,0.0784313725490196,0.0130718954248366,0.0261437908496732,0.0196078431372549,0.0522875816993464,0.483660130718954,0.065359477124183,0.0065359477124183,0.0718954248366013,0.0130718954248366,0.0392156862745098,0,0
15.2,1028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22.9,1549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30.5,2063,0.0967741935483871,0.0838709677419355,0.0580645161290323,0.0774193548387097,0,0.0064516129032258,0,0.0064516129032258,0.445161290322581,0.0064516129032258,0.0064516129032258,0.141935483870968,0,0.0580645161290323,0.0129032258064516,0
38.1,2577,0.0123456790123457,0.0864197530864197,0.0617283950617284,0.0925925925925926,0.00617283950617284,0.00617283950617284,0,0.037037037037037,0.481481481481481,0,0.00617283950617284,0.185185185185185,0.0123456790123457,0,0.0123456790123457,0
45.7,3091,0.031055900621118,0.0559006211180124,0.031055900621118,0.093167701863354,0.0062111801242236,0.0124223602484472,0.0062111801242236,0.0124223602484472,0.366459627329193,0.0062111801242236,0,0.285714285714286,0.0062111801242236,0.0434782608695652,0.0434782608695652,0
53.3,3606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60.9,4120,0.0233644859813084,0.0654205607476635,0.0186915887850467,0.0607476635514019,0,0.00934579439252336,0.00467289719626168,0,0.261682242990654,0.00934579439252336,0,0.485981308411215,0,0.0607476635514019,0,0
68.6,4641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76.2,5155,0.00520833333333333,0.0572916666666667,0.0260416666666667,0.0260416666666667,0.00260416666666667,0.0260416666666667,0,0.00260416666666667,0.223958333333333,0.015625,0,0.588541666666667,0.00260416666666667,0.0182291666666667,0.00520833333333333,0
83.8,5669,0.00920245398773006,0.0797546012269939,0.0214723926380368,0.0766871165644172,0.00306748466257669,0.0337423312883436,0,0.00306748466257669,0.174846625766871,0.0184049079754601,0.00306748466257669,0.503067484662577,0.00613496932515337,0.0306748466257669,0.0122699386503067,0.0245398773006135
91.4,6183,0.00225733634311512,0.0474040632054176,0.00677200902934537,0.0451467268623025,0.00225733634311512,0.0158013544018059,0.00225733634311512,0.00451467268623025,0.191873589164786,0.0112866817155756,0.00451467268623025,0.654627539503386,0,0.00225733634311512,0.00677200902934537,0.00225733634311512
106.7,7218,0.0112612612612613,0.0405405405405405,0.0112612612612613,0.072072072072072,0.009009009009009,0.036036036036036,0,0.0045045045045045,0.153153153153153,0.018018018018018,0,0.623873873873874,0,0.0135135135135135,0.00675675675675676,0
114.3,7732,0.0245398773006135,0.098159509202454,0.0184049079754601,0.269938650306748,0,0,0,0.049079754601227,0.104294478527607,0.184049079754601,0,0.202453987730061,0,0.0245398773006135,0.0245398773006135,0
121.9,8246,0,0.0649350649350649,0.0064935064935065,0.162337662337662,0.025974025974026,0.012987012987013,0.0064935064935065,0.012987012987013,0.188311688311688,0.188311688311688,0.0064935064935065,0.311688311688312,0,0.012987012987013,0,0
129.5,8760,0,0.0576131687242798,0.00823045267489712,0.0617283950617284,0.0288065843621399,0.0164609053497942,0,0.00411522633744856,0.242798353909465,0.176954732510288,0,0.382716049382716,0,0.0123456790123457,0.00823045267489712,0
137.2,9281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144.8,9795,0.00666666666666667,0.146666666666667,0.0133333333333333,0.146666666666667,0,0,0,0.06,0.213333333333333,0.326666666666667,0.00666666666666667,0.02,0,0.0533333333333333,0.00666666666666667,0
152.4,10309,0.0147783251231527,0.137931034482759,0.0246305418719212,0.152709359605911,0.0246305418719212,0.00492610837438424,0,0.0147783251231527,0.152709359605911,0.403940886699507,0.00492610837438424,0.0344827586206897,0,0.0197044334975369,0.00985221674876847,0
160,10823,0.0064935064935065,0.188311688311688,0,0.0779220779220779,0.025974025974026,0.0064935064935065,0,0.051948051948052,0.103896103896104,0.311688311688312,0,0.12987012987013,0.0064935064935065,0.0844155844155844,0,0.0064935064935065
167.6,NA,0.0466666666666667,0.273333333333333,0.00666666666666667,0,0.00666666666666667,0,0,0.126666666666667,0.18,0.0933333333333333,0,0.213333333333333,0,0.0533333333333333,0,0
175.3,NA,0,0.154838709677419,0.0129032258064516,0.0709677419354839,0.0129032258064516,0.0064516129032258,0,0.0387096774193548,0.167741935483871,0.354838709677419,0,0.129032258064516,0.0064516129032258,0.0451612903225806,0,0
182.9,NA,0.006993006993007,0.090909090909091,0.006993006993007,0.027972027972028,0.006993006993007,0,0,0.062937062937063,0.202797202797203,0.398601398601399,0,0.125874125874126,0.006993006993007,0.0559440559440559,0,0.006993006993007
190.5,NA,0,0.0258064516129032,0.0580645161290323,0.0064516129032258,0.0064516129032258,0.0193548387096774,0.0064516129032258,0.109677419354839,0.167741935483871,0.0258064516129032,0,0.270967741935484,0.0064516129032258,0.290322580645161,0.0064516129032258,0
198.1,NA,0.0131578947368421,0.0526315789473684,0.118421052631579,0.0131578947368421,0.0197368421052632,0.00657894736842105,0.0131578947368421,0.0328947368421053,0.375,0.0526315789473684,0.0131578947368421,0.177631578947368,0.0131578947368421,0.0986842105263158,0,0
