"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Corylus","Cupressaceae","Diervilla","Ericaceae","Fagus","Fraxinus","Juglans.nigra","Larix","Ostrya","Picea","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Asteraceae.undiff.","Chenopodiaceae","Cyperaceae","Epilobium","Poaceae","Poaceae.1","Polygonum","Rosaceae","Equisetum","Sphagnum","Brasenia.schreberi","Nuphar","Potamogeton","Typha","Spore..monolete.","Spore..trilete.","Indeterminable"
690,6414,23,0,4,43,182,0,5,0,0,0,0,9,0,0,5,24,220,538,23,0,0,2,9,9,17,1,3,7,0,0,0,0,0,0,0,1,0,1,0,1,4,17
700,6611,9,7,1,42,313,0,4,0,0,0,2,12,1,0,1,28,278,796,17,0,0,0,14,14,19,3,7,7,0,5,5,1,2,4,2,3,0,0,0,4,1,21
710,6807,26,0,2,58,203,0,2,0,0,0,0,5,0,0,16,17,242,506,21,0,1,0,10,8,11,3,3,3,0,1,1,0,0,0,5,1,1,2,0,2,4,12
720,7004,35,6,1,51,237,0,7,0,0,1,1,3,1,0,2,41,291,871,19,5,0,0,1,8,11,0,7,3,0,3,3,0,1,0,4,4,0,0,0,0,0,12
730,7200,19,0,1,27,116,0,4,0,0,0,1,9,0,0,3,22,125,481,15,0,0,0,7,7,5,2,2,2,0,0,0,0,0,0,2,6,0,1,0,2,0,14
740,7397,34,1,2,9,139,0,1,1,0,0,1,6,0,0,3,49,281,774,15,4,0,1,8,8,6,2,1,1,0,1,1,0,3,0,0,1,1,0,1,0,0,19
750,7594,53,0,4,40,320,0,4,0,0,0,1,9,2,0,5,20,100,384,21,1,0,1,12,13,13,3,13,7,0,4,4,0,0,0,6,0,1,1,1,4,3,27
760,7790,61,1,2,51,300,0,2,0,0,0,3,4,0,2,0,33,75,685,22,1,0,0,12,26,16,4,8,4,0,3,3,1,1,0,4,0,1,7,0,8,0,13
770,7987,53,0,1,45,329,1,3,4,0,0,0,3,0,3,2,23,72,358,10,2,0,0,14,19,15,1,8,8,0,13,13,0,1,0,6,5,0,4,0,3,0,15
780,8183,23,0,0,64,342,2,5,0,0,0,0,4,0,0,0,36,47,290,13,3,0,0,8,16,19,3,8,0,0,1,1,0,0,0,3,1,0,1,0,0,0,16
790,8380,37,0,4,146,307,2,5,6,0,1,3,5,0,0,1,27,28,234,16,10,0,0,7,6,15,4,9,14,0,7,7,0,0,0,14,6,0,2,0,3,2,24
800,8576,35,0,0,68,345,1,1,0,0,0,0,2,2,0,0,37,20,228,16,3,0,0,2,7,20,0,7,0,0,2,2,0,1,0,0,2,0,0,0,0,5,16
810,8824,61,0,0,94,292,0,7,0,0,0,0,3,1,1,0,44,8,180,14,3,0,0,8,7,20,3,5,2,0,9,9,0,0,0,12,5,0,5,0,8,10,13
820,9088,29,0,4,72,335,2,0,2,0,0,1,0,3,3,0,59,12,212,15,6,0,0,4,18,22,2,12,1,0,2,2,1,0,0,2,0,0,0,1,1,0,14
830,9351,60,0,2,44,243,0,12,13,0,0,0,7,0,4,0,115,10,316,16,9,0,0,13,18,36,3,15,3,0,4,4,0,1,0,3,7,1,6,1,4,9,18
840,9647,18,0,0,13,230,0,5,14,0,0,2,22,3,0,12,158,7,265,29,7,1,0,22,17,33,5,14,25,1,9,9,0,4,0,0,1,0,4,3,1,9,17
846,9824,9,0,0,7,64,2,0,3,0,0,0,15,0,0,8,138,7,314,42,5,3,0,24,28,27,2,11,13,0,5,5,0,1,0,0,0,0,2,2,3,15,12
