"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Betula","Castanea","Cephalanthus","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus.undiff.","Ostrya.Carpinus","Picea","Pinus.undiff.","Quercus","Rumex","Salix","Sambucus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus.incana","Ambrosia","Populus","Amaranthaceae","Poaceae","Polygonum","Acer.saccharum","Ilex.Nemopanthus","Pinus.strobus","Pinus.banksiana.P..resinosa","Alnus.undiff.","Fagopyrum","Larix","Alnus.viridis.type","Tilia","Lamiaceae","Humulus","Artemisia","Carya","Juglans","Rosaceae.undiff.","Brassicaceae","Acer.undiff.","Dalea","Iva.undiff.","Shepherdia.canadensis","Prunus","Liquidambar","Celtis","Nyssa","Acer.saccharinum.type","Myrica","Caryophyllaceae","Apiaceae","Acer.pensylvanicum","Ranunculaceae","Fraxinus.pennsylvanica.type","Morus","Cornus","Asteraceae.subf..Cichorioideae","Rubus","Dryas","Iva.xanthifolia.type","Urtica.type","Acer.negundo","Saxifraga.type","Campanulaceae","Potentilla","Epilobium"
600,3569,522,0,4,82,1,0,3,0,0,0,117,7,21,2,33,60,0,0,0,65,5,5,2,0,2,0,0,0,10,4,82,2,5,0,2,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,3924,558,0,7,110,1,0,10,0,0,0,70,8,14,0,3,109,0,0,1,42,1,4,4,1,0,0,2,0,18,1,144,0,2,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,4286,545,0,8,111,1,4,6,0,1,0,77,8,23,1,4,136,0,0,0,20,0,3,3,0,0,0,2,0,11,1,117,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,4641,740,0,4,215,1,3,8,1,0,0,93,8,13,1,73,219,0,0,0,5,0,9,4,1,2,0,0,0,12,5,58,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,4976,364,0,2,65,0,1,16,0,0,0,61,8,7,0,52,72,0,1,0,20,1,3,1,0,1,0,0,0,5,2,36,6,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,5276,417,0,1,115,0,2,6,0,0,0,69,12,17,0,9,49,0,1,0,43,2,2,3,1,0,0,2,0,13,0,60,3,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
720,5526,445,0,4,63,0,0,8,0,0,0,37,7,6,1,0,87,0,0,1,60,1,9,1,1,2,0,0,0,12,4,136,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,5717,395,1,0,84,0,2,7,1,1,0,58,7,5,0,16,47,0,0,0,90,3,8,6,0,1,0,1,0,6,2,38,6,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,5855,505,0,3,116,0,0,3,0,0,0,69,16,5,0,38,55,0,0,0,115,3,6,3,0,0,1,1,0,9,0,58,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,5951,476,0,3,83,2,0,4,0,0,0,44,11,2,2,44,101,0,0,0,129,1,6,1,0,0,0,1,0,5,0,29,2,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,6012,314,0,0,54,1,0,3,0,1,0,17,0,11,0,18,51,0,1,0,77,0,4,0,2,2,2,0,0,2,1,47,4,4,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
820,6049,397,0,2,80,0,3,12,1,0,0,35,6,15,1,10,64,0,1,0,96,1,7,1,1,2,0,2,0,9,1,38,4,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
840,6076,328,0,3,81,0,0,13,0,0,0,34,12,4,1,16,58,0,0,0,70,0,6,2,0,0,0,1,0,6,2,15,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,6112,359,0,1,91,1,0,3,0,0,0,30,4,3,0,21,62,0,0,0,95,2,10,1,0,1,0,3,0,6,1,17,1,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
880,6177,355,0,6,81,0,1,1,0,0,0,55,14,0,1,21,26,0,1,0,109,0,8,2,0,1,0,0,0,1,2,9,4,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
900,6292,392,0,7,73,0,0,3,0,1,0,37,7,6,1,10,63,0,1,0,70,1,7,1,1,1,0,1,0,11,2,78,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
